Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Report_Period,User_Type
TS-093,V00102,Edge,Desktop,Low,Month,Admin
TS-093,V00103,Edge,Mobile,High,Month,Admin
TS-093,V00104,Edge,Mobile,Medium,Month,Admin
TS-093,V00105,Edge,Mobile,Low,Month,Admin
TS-093,V00106,Edge,Tablet,High,Month,Admin
TS-093,V00107,Edge,Tablet,Medium,Month,Admin
TS-093,V00108,Edge,Tablet,Low,Month,Admin
TS-093,V00109,Chrome,Desktop,High,Year,Admin
TS-093,V00110,Chrome,Desktop,Medium,Year,Admin
TS-093,V00111,Chrome,Desktop,Low,Year,Admin
TS-093,V00112,Chrome,Mobile,High,Year,Admin
TS-093,V00113,Chrome,Mobile,Medium,Year,Admin
TS-093,V00114,Chrome,Mobile,Low,Year,Admin
TS-093,V00115,Chrome,Tablet,High,Year,Admin
TS-093,V00116,Chrome,Tablet,Medium,Year,Admin
TS-093,V00117,Chrome,Tablet,Low,Year,Admin
TS-093,V00118,Firefox,Desktop,High,Year,Admin
TS-093,V00119,Firefox,Desktop,Medium,Year,Admin
TS-093,V00120,Firefox,Desktop,Low,Year,Admin
TS-093,V00121,Firefox,Mobile,High,Year,Admin
TS-093,V00122,Firefox,Mobile,Medium,Year,Admin
TS-093,V00123,Firefox,Mobile,Low,Year,Admin
TS-093,V00124,Firefox,Tablet,High,Year,Admin
TS-093,V00125,Firefox,Tablet,Medium,Year,Admin
TS-093,V00126,Firefox,Tablet,Low,Year,Admin
TS-093,V00127,Safari,Desktop,High,Year,Admin
TS-093,V00128,Safari,Desktop,Medium,Year,Admin
TS-093,V00129,Safari,Desktop,Low,Year,Admin
TS-093,V00130,Safari,Mobile,High,Year,Admin
TS-093,V00131,Safari,Mobile,Medium,Year,Admin
TS-093,V00132,Safari,Mobile,Low,Year,Admin
TS-093,V00133,Safari,Tablet,High,Year,Admin
TS-093,V00134,Safari,Tablet,Medium,Year,Admin
TS-093,V00135,Safari,Tablet,Low,Year,Admin
TS-093,V00136,Edge,Desktop,High,Year,Admin
TS-093,V00137,Edge,Desktop,Medium,Year,Admin
TS-093,V00138,Edge,Desktop,Low,Year,Admin
TS-093,V00139,Edge,Mobile,High,Year,Admin
TS-093,V00140,Edge,Mobile,Medium,Year,Admin
TS-093,V00141,Edge,Mobile,Low,Year,Admin
TS-093,V00142,Edge,Tablet,High,Year,Admin
TS-093,V00143,Edge,Tablet,Medium,Year,Admin
TS-093,V00144,Edge,Tablet,Low,Year,Admin
TS-093,V00145,Chrome,Desktop,High,Custom,Admin
TS-093,V00146,Chrome,Desktop,Medium,Custom,Admin
TS-093,V00147,Chrome,Desktop,Low,Custom,Admin
TS-093,V00148,Chrome,Mobile,High,Custom,Admin
TS-093,V00149,Chrome,Mobile,Medium,Custom,Admin
TS-093,V00150,Chrome,Mobile,Low,Custom,Admin
TS-093,V00151,Chrome,Tablet,High,Custom,Admin
TS-093,V00152,Chrome,Tablet,Medium,Custom,Admin
TS-093,V00153,Chrome,Tablet,Low,Custom,Admin
TS-093,V00154,Firefox,Desktop,High,Custom,Admin
TS-093,V00155,Firefox,Desktop,Medium,Custom,Admin
TS-093,V00156,Firefox,Desktop,Low,Custom,Admin
TS-093,V00157,Firefox,Mobile,High,Custom,Admin
TS-093,V00158,Firefox,Mobile,Medium,Custom,Admin
TS-093,V00159,Firefox,Mobile,Low,Custom,Admin
TS-093,V00160,Firefox,Tablet,High,Custom,Admin
TS-093,V00161,Firefox,Tablet,Medium,Custom,Admin
TS-093,V00162,Firefox,Tablet,Low,Custom,Admin
TS-093,V00163,Safari,Desktop,High,Custom,Admin
TS-093,V00164,Safari,Desktop,Medium,Custom,Admin
TS-093,V00165,Safari,Desktop,Low,Custom,Admin
TS-093,V00166,Safari,Mobile,High,Custom,Admin
TS-093,V00167,Safari,Mobile,Medium,Custom,Admin
TS-093,V00168,Safari,Mobile,Low,Custom,Admin
TS-093,V00169,Safari,Tablet,High,Custom,Admin
TS-093,V00170,Safari,Tablet,Medium,Custom,Admin
TS-093,V00171,Safari,Tablet,Low,Custom,Admin
TS-093,V00172,Edge,Desktop,High,Custom,Admin
TS-093,V00173,Edge,Desktop,Medium,Custom,Admin
TS-093,V00174,Edge,Desktop,Low,Custom,Admin
TS-093,V00175,Edge,Mobile,High,Custom,Admin
TS-093,V00176,Edge,Mobile,Medium,Custom,Admin
TS-093,V00177,Edge,Mobile,Low,Custom,Admin
TS-093,V00178,Edge,Tablet,High,Custom,Admin
TS-093,V00179,Edge,Tablet,Medium,Custom,Admin
TS-093,V00180,Edge,Tablet,Low,Custom,Admin
