Variant_ID,User_Type,Product_Category,Product_Type,Product_Size,Product_Color,Payment_Method,Order_Status,Has_Discount,Shipping_Region,Device_Type
V026,Registered_Buyer,Womens,Jeans,Small,Blue,Debit_Card,Delivered,No,Rural,Desktop
V027,Registered_Buyer,Womens,Jeans,Medium,Black,Net_Banking,Open,Yes,Suburban,Mobile
V028,Registered_Buyer,Womens,Jeans,Large,Blue,Credit_Card,Confirmed,No,Urban,Tablet
V029,Registered_Buyer,Womens,Skirts,Small,Black,Debit_Card,In_Process,Yes,Rural,Desktop
V030,Registered_Buyer,Womens,Skirts,Medium,Red,Net_Banking,Shipped,No,Suburban,Mobile
V031,Registered_Buyer,Kids,T-Shirts,Small,Blue,Credit_Card,Open,No,Urban,Desktop
V032,Registered_Buyer,Kids,T-Shirts,Medium,Red,Debit_Card,Confirmed,Yes,Suburban,Mobile
V033,Registered_Buyer,Kids,T-Shirts,Large,Green,Net_Banking,In_Process,No,Rural,Tablet
V034,Registered_Buyer,Kids,Jeans,Small,Blue,Credit_Card,Shipped,Yes,Urban,Desktop
V035,Registered_Buyer,Kids,Jeans,Medium,Black,Debit_Card,Delivered,No,Suburban,Mobile
V036,Registered_Buyer,Kids,Shorts,Small,Blue,Net_Banking,Open,No,Rural,Tablet
V037,Registered_Buyer,Kids,Shorts,Medium,Red,Credit_Card,Confirmed,Yes,Urban,Desktop
V038,Registered_Buyer,Kids,Dresses,Small,Pink,Debit_Card,In_Process,No,Suburban,Mobile
V039,Registered_Buyer,Kids,Dresses,Medium,White,Net_Banking,Shipped,Yes,Rural,Tablet
V040,Registered_Buyer,Accessories,Belts,N/A,Black,Credit_Card,Open,No,Urban,Desktop
V041,Registered_Buyer,Accessories,Belts,N/A,Brown,Debit_Card,Confirmed,Yes,Suburban,Mobile
V042,Registered_Buyer,Accessories,Hats,N/A,Black,Net_Banking,In_Process,No,Rural,Tablet
V043,Registered_Buyer,Accessories,Scarves,N/A,Red,Credit_Card,Shipped,Yes,Urban,Desktop
V044,Registered_Buyer,Accessories,Bags,N/A,Black,Debit_Card,Delivered,No,Suburban,Mobile
V045,Visitor,Mens,T-Shirts,N/A,N/A,N/A,N/A,N/A,Urban,Mobile
V046,Visitor,Womens,Tops,N/A,N/A,N/A,N/A,N/A,Suburban,Desktop
V047,Visitor,Kids,Jeans,N/A,N/A,N/A,N/A,N/A,Rural,Tablet
V048,Visitor,Accessories,Shoes,N/A,N/A,N/A,N/A,N/A,Urban,Mobile
V049,Registered_Buyer,Mens,T-Shirts,Small,White,Credit_Card,Open,Yes,Urban,Desktop
V050,Registered_Buyer,Mens,T-Shirts,Medium,Black,Debit_Card,Confirmed,No,Suburban,Mobile
V051,Registered_Buyer,Mens,T-Shirts,Large,Blue,Net_Banking,In_Process,Yes,Rural,Tablet
V052,Registered_Buyer,Mens,T-Shirts,XL,Red,Credit_Card,Shipped,No,Urban,Desktop
V053,Registered_Buyer,Mens,T-Shirts,XXL,Green,Debit_Card,Delivered,Yes,Suburban,Mobile
V054,Registered_Buyer,Mens,Hoodies,Medium,Black,Credit_Card,Open,No,Urban,Tablet
V055,Registered_Buyer,Mens,Hoodies,Large,Grey,Debit_Card,Confirmed,Yes,Rural,Desktop
V056,Registered_Buyer,Mens,Hoodies,XL,Navy,Net_Banking,Shipped,No,Suburban,Mobile
V057,Registered_Buyer,Womens,Jackets,Small,Black,Credit_Card,Open,Yes,Urban,Desktop
V058,Registered_Buyer,Womens,Jackets,Medium,Brown,Debit_Card,Confirmed,No,Suburban,Mobile
V059,Registered_Buyer,Womens,Jackets,Large,Navy,Net_Banking,In_Process,Yes,Rural,Tablet
V060,Registered_Buyer,Womens,Sweaters,Small,Red,Credit_Card,Shipped,No,Urban,Desktop
V061,Registered_Buyer,Womens,Sweaters,Medium,White,Debit_Card,Delivered,Yes,Suburban,Mobile
V062,Registered_Buyer,Womens,Sweaters,Large,Pink,Net_Banking,Open,No,Rural,Tablet
V063,Registered_Buyer,Kids,Jackets,Small,Blue,Credit_Card,Confirmed,Yes,Urban,Desktop
V064,Registered_Buyer,Kids,Jackets,Medium,Red,Debit_Card,In_Process,No,Suburban,Mobile
V065,Registered_Buyer,Kids,Hoodies,Small,Black,Net_Banking,Shipped,Yes,Rural,Tablet
V066,Registered_Buyer,Kids,Hoodies,Medium,Grey,Credit_Card,Delivered,No,Urban,Desktop
V067,Admin,N/A,N/A,N/A,N/A,N/A,Open,N/A,N/A,Desktop
V068,Admin,N/A,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,Mobile
V069,Admin,N/A,N/A,N/A,N/A,N/A,In_Process,N/A,N/A,Tablet
V070,Admin,N/A,N/A,N/A,N/A,N/A,Shipped,N/A,N/A,Desktop
V071,Admin,N/A,N/A,N/A,N/A,N/A,Delivered,N/A,N/A,Mobile
V072,Registered_Buyer,Mens,Shirts,Small,Red,Credit_Card,Open,Yes,Rural,Tablet
V073,Registered_Buyer,Mens,Shirts,Large,Blue,Debit_Card,Shipped,No,Urban,Mobile
V074,Registered_Buyer,Womens,Dresses,Medium,Green,Net_Banking,Confirmed,Yes,Suburban,Desktop
V075,Registered_Buyer,Womens,Tops,Small,Yellow,Credit_Card,In_Process,No,Rural,Tablet
V076,Registered_Buyer,Kids,T-Shirts,Large,Orange,Debit_Card,Delivered,Yes,Urban,Mobile
V077,Registered_Buyer,Mens,Jeans,Small,Grey,Net_Banking,Open,No,Suburban,Desktop
V078,Registered_Buyer,Womens,Jeans,XL,Blue,Credit_Card,Confirmed,Yes,Urban,Tablet
V079,Registered_Buyer,Mens,Hoodies,Small,Black,Debit_Card,Shipped,No,Rural,Mobile
V080,Registered_Buyer,Womens,Sweaters,XL,Grey,Net_Banking,Delivered,Yes,Suburban,Desktop
V081,Visitor,Mens,Hoodies,N/A,N/A,N/A,N/A,N/A,Urban,Tablet
V082,Visitor,Womens,Jackets,N/A,N/A,N/A,N/A,N/A,Suburban,Mobile
V083,Visitor,Accessories,Belts,N/A,N/A,N/A,N/A,N/A,Rural,Desktop
V084,Registered_Buyer,Accessories,Shoes,N/A,Brown,Credit_Card,Open,No,Urban,Desktop
V085,Registered_Buyer,Accessories,Shoes,N/A,Black,Debit_Card,Confirmed,Yes,Suburban,Mobile
V086,Registered_Buyer,Accessories,Wallets,N/A,Leather,Net_Banking,Shipped,No,Rural,Tablet
V087,Registered_Buyer,Mens,Shorts,Small,Blue,Credit_Card,Delivered,Yes,Urban,Desktop
V088,Registered_Buyer,Mens,Shorts,Medium,Khaki,Debit_Card,Open,No,Suburban,Mobile
V089,Registered_Buyer,Mens,Shorts,Large,Black,Net_Banking,Confirmed,Yes,Rural,Tablet
V090,Registered_Buyer,Womens,Shorts,Small,White,Credit_Card,In_Process,No,Urban,Desktop
V091,Registered_Buyer,Womens,Shorts,Medium,Pink,Debit_Card,Shipped,Yes,Suburban,Mobile
V092,Registered_Buyer,Kids,Sweaters,Small,Red,Net_Banking,Delivered,No,Rural,Tablet
V093,Registered_Buyer,Kids,Sweaters,Medium,Blue,Credit_Card,Open,Yes,Urban,Desktop
V094,Registered_Buyer,Mens,Suits,Large,Navy,Debit_Card,Confirmed,No,Suburban,Mobile
V095,Registered_Buyer,Mens,Suits,XL,Black,Net_Banking,Shipped,Yes,Rural,Tablet
V096,Registered_Buyer,Womens,Blouses,Small,White,Credit_Card,Delivered,No,Urban,Desktop
V097,Registered_Buyer,Womens,Blouses,Medium,Pink,Debit_Card,Open,Yes,Suburban,Mobile
V098,Registered_Buyer,Womens,Pants,Large,Black,Net_Banking,Confirmed,No,Rural,Tablet
V099,Registered_Buyer,Kids,Pants,Small,Blue,Credit_Card,In_Process,Yes,Urban,Desktop
V100,Registered_Buyer,Kids,Pants,Medium,Khaki,Debit_Card,Shipped,No,Suburban,Mobile
