Scenario_ID,Variant_ID,Auth_Method,Browser,Device,Input_Validity,Network_Speed,OAuth_State,User_Type
TS-010,V00140,Google,Edge,Mobile,Valid,Medium,New_Account,Visitor
TS-010,V00141,Google,Edge,Mobile,Valid,Low,New_Account,Visitor
TS-010,V00142,Google,Edge,Tablet,Valid,High,New_Account,Visitor
TS-010,V00143,Google,Edge,Tablet,Valid,Medium,New_Account,Visitor
TS-010,V00144,Google,Edge,Tablet,Valid,Low,New_Account,Visitor
TS-010,V00145,Google,Chrome,Desktop,Invalid,High,Authorized,Visitor
TS-010,V00146,Google,Chrome,Desktop,Invalid,Medium,Authorized,Visitor
TS-010,V00147,Google,Chrome,Desktop,Invalid,Low,Authorized,Visitor
TS-010,V00148,Google,Chrome,Mobile,Invalid,High,Authorized,Visitor
TS-010,V00149,Google,Chrome,Mobile,Invalid,Medium,Authorized,Visitor
TS-010,V00150,Google,Chrome,Mobile,Invalid,Low,Authorized,Visitor
TS-010,V00151,Google,Chrome,Tablet,Invalid,High,Authorized,Visitor
TS-010,V00152,Google,Chrome,Tablet,Invalid,Medium,Authorized,Visitor
TS-010,V00153,Google,Chrome,Tablet,Invalid,Low,Authorized,Visitor
TS-010,V00154,Google,Firefox,Desktop,Invalid,High,Authorized,Visitor
TS-010,V00155,Google,Firefox,Desktop,Invalid,Medium,Authorized,Visitor
TS-010,V00156,Google,Firefox,Desktop,Invalid,Low,Authorized,Visitor
TS-010,V00157,Google,Firefox,Mobile,Invalid,High,Authorized,Visitor
TS-010,V00158,Google,Firefox,Mobile,Invalid,Medium,Authorized,Visitor
TS-010,V00159,Google,Firefox,Mobile,Invalid,Low,Authorized,Visitor
TS-010,V00160,Google,Firefox,Tablet,Invalid,High,Authorized,Visitor
TS-010,V00161,Google,Firefox,Tablet,Invalid,Medium,Authorized,Visitor
TS-010,V00162,Google,Firefox,Tablet,Invalid,Low,Authorized,Visitor
TS-010,V00163,Google,Safari,Desktop,Invalid,High,Authorized,Visitor
TS-010,V00164,Google,Safari,Desktop,Invalid,Medium,Authorized,Visitor
TS-010,V00165,Google,Safari,Desktop,Invalid,Low,Authorized,Visitor
TS-010,V00166,Google,Safari,Mobile,Invalid,High,Authorized,Visitor
TS-010,V00167,Google,Safari,Mobile,Invalid,Medium,Authorized,Visitor
TS-010,V00168,Google,Safari,Mobile,Invalid,Low,Authorized,Visitor
TS-010,V00169,Google,Safari,Tablet,Invalid,High,Authorized,Visitor
TS-010,V00170,Google,Safari,Tablet,Invalid,Medium,Authorized,Visitor
TS-010,V00171,Google,Safari,Tablet,Invalid,Low,Authorized,Visitor
TS-010,V00172,Google,Edge,Desktop,Invalid,High,Authorized,Visitor
TS-010,V00173,Google,Edge,Desktop,Invalid,Medium,Authorized,Visitor
TS-010,V00174,Google,Edge,Desktop,Invalid,Low,Authorized,Visitor
TS-010,V00175,Google,Edge,Mobile,Invalid,High,Authorized,Visitor
TS-010,V00176,Google,Edge,Mobile,Invalid,Medium,Authorized,Visitor
TS-010,V00177,Google,Edge,Mobile,Invalid,Low,Authorized,Visitor
TS-010,V00178,Google,Edge,Tablet,Invalid,High,Authorized,Visitor
TS-010,V00179,Google,Edge,Tablet,Invalid,Medium,Authorized,Visitor
TS-010,V00180,Google,Edge,Tablet,Invalid,Low,Authorized,Visitor
TS-010,V00181,Google,Chrome,Desktop,Invalid,High,Denied,Visitor
TS-010,V00182,Google,Chrome,Desktop,Invalid,Medium,Denied,Visitor
TS-010,V00183,Google,Chrome,Desktop,Invalid,Low,Denied,Visitor
TS-010,V00184,Google,Chrome,Mobile,Invalid,High,Denied,Visitor
TS-010,V00185,Google,Chrome,Mobile,Invalid,Medium,Denied,Visitor
TS-010,V00186,Google,Chrome,Mobile,Invalid,Low,Denied,Visitor
TS-010,V00187,Google,Chrome,Tablet,Invalid,High,Denied,Visitor
TS-010,V00188,Google,Chrome,Tablet,Invalid,Medium,Denied,Visitor
TS-010,V00189,Google,Chrome,Tablet,Invalid,Low,Denied,Visitor
TS-010,V00190,Google,Firefox,Desktop,Invalid,High,Denied,Visitor
TS-010,V00191,Google,Firefox,Desktop,Invalid,Medium,Denied,Visitor
TS-010,V00192,Google,Firefox,Desktop,Invalid,Low,Denied,Visitor
TS-010,V00193,Google,Firefox,Mobile,Invalid,High,Denied,Visitor
TS-010,V00194,Google,Firefox,Mobile,Invalid,Medium,Denied,Visitor
TS-010,V00195,Google,Firefox,Mobile,Invalid,Low,Denied,Visitor
TS-010,V00196,Google,Firefox,Tablet,Invalid,High,Denied,Visitor
TS-010,V00197,Google,Firefox,Tablet,Invalid,Medium,Denied,Visitor
TS-010,V00198,Google,Firefox,Tablet,Invalid,Low,Denied,Visitor
TS-010,V00199,Google,Safari,Desktop,Invalid,High,Denied,Visitor
TS-010,V00200,Google,Safari,Desktop,Invalid,Medium,Denied,Visitor
TS-010,V00201,Google,Safari,Desktop,Invalid,Low,Denied,Visitor
TS-010,V00202,Google,Safari,Mobile,Invalid,High,Denied,Visitor
TS-010,V00203,Google,Safari,Mobile,Invalid,Medium,Denied,Visitor
TS-010,V00204,Google,Safari,Mobile,Invalid,Low,Denied,Visitor
TS-010,V00205,Google,Safari,Tablet,Invalid,High,Denied,Visitor
TS-010,V00206,Google,Safari,Tablet,Invalid,Medium,Denied,Visitor
TS-010,V00207,Google,Safari,Tablet,Invalid,Low,Denied,Visitor
TS-010,V00208,Google,Edge,Desktop,Invalid,High,Denied,Visitor
TS-010,V00209,Google,Edge,Desktop,Invalid,Medium,Denied,Visitor
TS-010,V00210,Google,Edge,Desktop,Invalid,Low,Denied,Visitor
TS-010,V00211,Google,Edge,Mobile,Invalid,High,Denied,Visitor
TS-010,V00212,Google,Edge,Mobile,Invalid,Medium,Denied,Visitor
TS-010,V00213,Google,Edge,Mobile,Invalid,Low,Denied,Visitor
TS-010,V00214,Google,Edge,Tablet,Invalid,High,Denied,Visitor
TS-010,V00215,Google,Edge,Tablet,Invalid,Medium,Denied,Visitor
TS-010,V00216,Google,Edge,Tablet,Invalid,Low,Denied,Visitor
TS-010,V00217,Google,Chrome,Desktop,Invalid,High,Already_Linked,Visitor
TS-010,V00218,Google,Chrome,Desktop,Invalid,Medium,Already_Linked,Visitor
TS-010,V00219,Google,Chrome,Desktop,Invalid,Low,Already_Linked,Visitor
TS-010,V00220,Google,Chrome,Mobile,Invalid,High,Already_Linked,Visitor
TS-010,V00221,Google,Chrome,Mobile,Invalid,Medium,Already_Linked,Visitor
TS-010,V00222,Google,Chrome,Mobile,Invalid,Low,Already_Linked,Visitor
TS-010,V00223,Google,Chrome,Tablet,Invalid,High,Already_Linked,Visitor
TS-010,V00224,Google,Chrome,Tablet,Invalid,Medium,Already_Linked,Visitor
TS-010,V00225,Google,Chrome,Tablet,Invalid,Low,Already_Linked,Visitor
TS-010,V00226,Google,Firefox,Desktop,Invalid,High,Already_Linked,Visitor
TS-010,V00227,Google,Firefox,Desktop,Invalid,Medium,Already_Linked,Visitor
TS-010,V00228,Google,Firefox,Desktop,Invalid,Low,Already_Linked,Visitor
TS-010,V00229,Google,Firefox,Mobile,Invalid,High,Already_Linked,Visitor
TS-010,V00230,Google,Firefox,Mobile,Invalid,Medium,Already_Linked,Visitor
TS-010,V00231,Google,Firefox,Mobile,Invalid,Low,Already_Linked,Visitor
TS-010,V00232,Google,Firefox,Tablet,Invalid,High,Already_Linked,Visitor
TS-010,V00233,Google,Firefox,Tablet,Invalid,Medium,Already_Linked,Visitor
TS-010,V00234,Google,Firefox,Tablet,Invalid,Low,Already_Linked,Visitor
TS-010,V00235,Google,Safari,Desktop,Invalid,High,Already_Linked,Visitor
TS-010,V00236,Google,Safari,Desktop,Invalid,Medium,Already_Linked,Visitor
TS-010,V00237,Google,Safari,Desktop,Invalid,Low,Already_Linked,Visitor
TS-010,V00238,Google,Safari,Mobile,Invalid,High,Already_Linked,Visitor
TS-010,V00239,Google,Safari,Mobile,Invalid,Medium,Already_Linked,Visitor
TS-010,V00240,Google,Safari,Mobile,Invalid,Low,Already_Linked,Visitor
TS-010,V00241,Google,Safari,Tablet,Invalid,High,Already_Linked,Visitor
TS-010,V00242,Google,Safari,Tablet,Invalid,Medium,Already_Linked,Visitor
TS-010,V00243,Google,Safari,Tablet,Invalid,Low,Already_Linked,Visitor
TS-010,V00244,Google,Edge,Desktop,Invalid,High,Already_Linked,Visitor
TS-010,V00245,Google,Edge,Desktop,Invalid,Medium,Already_Linked,Visitor
TS-010,V00246,Google,Edge,Desktop,Invalid,Low,Already_Linked,Visitor
TS-010,V00247,Google,Edge,Mobile,Invalid,High,Already_Linked,Visitor
TS-010,V00248,Google,Edge,Mobile,Invalid,Medium,Already_Linked,Visitor
TS-010,V00249,Google,Edge,Mobile,Invalid,Low,Already_Linked,Visitor
TS-010,V00250,Google,Edge,Tablet,Invalid,High,Already_Linked,Visitor
TS-010,V00251,Google,Edge,Tablet,Invalid,Medium,Already_Linked,Visitor
TS-010,V00252,Google,Edge,Tablet,Invalid,Low,Already_Linked,Visitor
TS-010,V00253,Google,Chrome,Desktop,Invalid,High,New_Account,Visitor
TS-010,V00254,Google,Chrome,Desktop,Invalid,Medium,New_Account,Visitor
TS-010,V00255,Google,Chrome,Desktop,Invalid,Low,New_Account,Visitor
TS-010,V00256,Google,Chrome,Mobile,Invalid,High,New_Account,Visitor
TS-010,V00257,Google,Chrome,Mobile,Invalid,Medium,New_Account,Visitor
TS-010,V00258,Google,Chrome,Mobile,Invalid,Low,New_Account,Visitor
TS-010,V00259,Google,Chrome,Tablet,Invalid,High,New_Account,Visitor
TS-010,V00260,Google,Chrome,Tablet,Invalid,Medium,New_Account,Visitor
TS-010,V00261,Google,Chrome,Tablet,Invalid,Low,New_Account,Visitor
TS-010,V00262,Google,Firefox,Desktop,Invalid,High,New_Account,Visitor
TS-010,V00263,Google,Firefox,Desktop,Invalid,Medium,New_Account,Visitor
TS-010,V00264,Google,Firefox,Desktop,Invalid,Low,New_Account,Visitor
TS-010,V00265,Google,Firefox,Mobile,Invalid,High,New_Account,Visitor
TS-010,V00266,Google,Firefox,Mobile,Invalid,Medium,New_Account,Visitor
TS-010,V00267,Google,Firefox,Mobile,Invalid,Low,New_Account,Visitor
TS-010,V00268,Google,Firefox,Tablet,Invalid,High,New_Account,Visitor
TS-010,V00269,Google,Firefox,Tablet,Invalid,Medium,New_Account,Visitor
TS-010,V00270,Google,Firefox,Tablet,Invalid,Low,New_Account,Visitor
TS-010,V00271,Google,Safari,Desktop,Invalid,High,New_Account,Visitor
TS-010,V00272,Google,Safari,Desktop,Invalid,Medium,New_Account,Visitor
TS-010,V00273,Google,Safari,Desktop,Invalid,Low,New_Account,Visitor
TS-010,V00274,Google,Safari,Mobile,Invalid,High,New_Account,Visitor
TS-010,V00275,Google,Safari,Mobile,Invalid,Medium,New_Account,Visitor
TS-010,V00276,Google,Safari,Mobile,Invalid,Low,New_Account,Visitor
TS-010,V00277,Google,Safari,Tablet,Invalid,High,New_Account,Visitor
TS-010,V00278,Google,Safari,Tablet,Invalid,Medium,New_Account,Visitor
TS-010,V00279,Google,Safari,Tablet,Invalid,Low,New_Account,Visitor
TS-010,V00280,Google,Edge,Desktop,Invalid,High,New_Account,Visitor
TS-010,V00281,Google,Edge,Desktop,Invalid,Medium,New_Account,Visitor
TS-010,V00282,Google,Edge,Desktop,Invalid,Low,New_Account,Visitor
TS-010,V00283,Google,Edge,Mobile,Invalid,High,New_Account,Visitor
TS-010,V00284,Google,Edge,Mobile,Invalid,Medium,New_Account,Visitor
TS-010,V00285,Google,Edge,Mobile,Invalid,Low,New_Account,Visitor
TS-010,V00286,Google,Edge,Tablet,Invalid,High,New_Account,Visitor
TS-010,V00287,Google,Edge,Tablet,Invalid,Medium,New_Account,Visitor
TS-010,V00288,Google,Edge,Tablet,Invalid,Low,New_Account,Visitor
