Scenario_ID,Variant_ID,Browser,Device,Input_Validity,Network_Speed,Results_Count,Search_Query,User_Type
TS-014,V00055,Safari,Desktop,Valid,High,Zero,Typo,Visitor
TS-014,V00056,Safari,Desktop,Valid,Medium,Zero,Typo,Visitor
TS-014,V00057,Safari,Desktop,Valid,Low,Zero,Typo,Visitor
TS-014,V00058,Safari,Mobile,Valid,High,Zero,Typo,Visitor
TS-014,V00059,Safari,Mobile,Valid,Medium,Zero,Typo,Visitor
TS-014,V00060,Safari,Mobile,Valid,Low,Zero,Typo,Visitor
TS-014,V00061,Safari,Tablet,Valid,High,Zero,Typo,Visitor
TS-014,V00062,Safari,Tablet,Valid,Medium,Zero,Typo,Visitor
TS-014,V00063,Safari,Tablet,Valid,Low,Zero,Typo,Visitor
TS-014,V00064,Edge,Desktop,Valid,High,Zero,Typo,Visitor
TS-014,V00065,Edge,Desktop,Valid,Medium,Zero,Typo,Visitor
TS-014,V00066,Edge,Desktop,Valid,Low,Zero,Typo,Visitor
TS-014,V00067,Edge,Mobile,Valid,High,Zero,Typo,Visitor
TS-014,V00068,Edge,Mobile,Valid,Medium,Zero,Typo,Visitor
TS-014,V00069,Edge,Mobile,Valid,Low,Zero,Typo,Visitor
TS-014,V00070,Edge,Tablet,Valid,High,Zero,Typo,Visitor
TS-014,V00071,Edge,Tablet,Valid,Medium,Zero,Typo,Visitor
TS-014,V00072,Edge,Tablet,Valid,Low,Zero,Typo,Visitor
TS-014,V00073,Chrome,Desktop,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00074,Chrome,Desktop,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00075,Chrome,Desktop,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00076,Chrome,Mobile,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00077,Chrome,Mobile,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00078,Chrome,Mobile,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00079,Chrome,Tablet,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00080,Chrome,Tablet,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00081,Chrome,Tablet,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00082,Firefox,Desktop,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00083,Firefox,Desktop,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00084,Firefox,Desktop,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00085,Firefox,Mobile,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00086,Firefox,Mobile,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00087,Firefox,Mobile,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00088,Firefox,Tablet,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00089,Firefox,Tablet,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00090,Firefox,Tablet,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00091,Safari,Desktop,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00092,Safari,Desktop,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00093,Safari,Desktop,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00094,Safari,Mobile,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00095,Safari,Mobile,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00096,Safari,Mobile,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00097,Safari,Tablet,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00098,Safari,Tablet,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00099,Safari,Tablet,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00100,Edge,Desktop,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00101,Edge,Desktop,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00102,Edge,Desktop,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00103,Edge,Mobile,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00104,Edge,Mobile,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00105,Edge,Mobile,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00106,Edge,Tablet,Valid,High,Zero,Special_Characters,Visitor
TS-014,V00107,Edge,Tablet,Valid,Medium,Zero,Special_Characters,Visitor
TS-014,V00108,Edge,Tablet,Valid,Low,Zero,Special_Characters,Visitor
TS-014,V00109,Chrome,Desktop,Valid,High,Zero,No_Match,Buyer
TS-014,V00110,Chrome,Desktop,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00111,Chrome,Desktop,Valid,Low,Zero,No_Match,Buyer
TS-014,V00112,Chrome,Mobile,Valid,High,Zero,No_Match,Buyer
TS-014,V00113,Chrome,Mobile,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00114,Chrome,Mobile,Valid,Low,Zero,No_Match,Buyer
TS-014,V00115,Chrome,Tablet,Valid,High,Zero,No_Match,Buyer
TS-014,V00116,Chrome,Tablet,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00117,Chrome,Tablet,Valid,Low,Zero,No_Match,Buyer
TS-014,V00118,Firefox,Desktop,Valid,High,Zero,No_Match,Buyer
TS-014,V00119,Firefox,Desktop,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00120,Firefox,Desktop,Valid,Low,Zero,No_Match,Buyer
TS-014,V00121,Firefox,Mobile,Valid,High,Zero,No_Match,Buyer
TS-014,V00122,Firefox,Mobile,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00123,Firefox,Mobile,Valid,Low,Zero,No_Match,Buyer
TS-014,V00124,Firefox,Tablet,Valid,High,Zero,No_Match,Buyer
TS-014,V00125,Firefox,Tablet,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00126,Firefox,Tablet,Valid,Low,Zero,No_Match,Buyer
TS-014,V00127,Safari,Desktop,Valid,High,Zero,No_Match,Buyer
TS-014,V00128,Safari,Desktop,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00129,Safari,Desktop,Valid,Low,Zero,No_Match,Buyer
TS-014,V00130,Safari,Mobile,Valid,High,Zero,No_Match,Buyer
TS-014,V00131,Safari,Mobile,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00132,Safari,Mobile,Valid,Low,Zero,No_Match,Buyer
TS-014,V00133,Safari,Tablet,Valid,High,Zero,No_Match,Buyer
TS-014,V00134,Safari,Tablet,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00135,Safari,Tablet,Valid,Low,Zero,No_Match,Buyer
TS-014,V00136,Edge,Desktop,Valid,High,Zero,No_Match,Buyer
TS-014,V00137,Edge,Desktop,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00138,Edge,Desktop,Valid,Low,Zero,No_Match,Buyer
TS-014,V00139,Edge,Mobile,Valid,High,Zero,No_Match,Buyer
TS-014,V00140,Edge,Mobile,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00141,Edge,Mobile,Valid,Low,Zero,No_Match,Buyer
TS-014,V00142,Edge,Tablet,Valid,High,Zero,No_Match,Buyer
TS-014,V00143,Edge,Tablet,Valid,Medium,Zero,No_Match,Buyer
TS-014,V00144,Edge,Tablet,Valid,Low,Zero,No_Match,Buyer
TS-014,V00145,Chrome,Desktop,Valid,High,Zero,Typo,Buyer
TS-014,V00146,Chrome,Desktop,Valid,Medium,Zero,Typo,Buyer
TS-014,V00147,Chrome,Desktop,Valid,Low,Zero,Typo,Buyer
TS-014,V00148,Chrome,Mobile,Valid,High,Zero,Typo,Buyer
TS-014,V00149,Chrome,Mobile,Valid,Medium,Zero,Typo,Buyer
TS-014,V00150,Chrome,Mobile,Valid,Low,Zero,Typo,Buyer
TS-014,V00151,Chrome,Tablet,Valid,High,Zero,Typo,Buyer
TS-014,V00152,Chrome,Tablet,Valid,Medium,Zero,Typo,Buyer
TS-014,V00153,Chrome,Tablet,Valid,Low,Zero,Typo,Buyer
TS-014,V00154,Firefox,Desktop,Valid,High,Zero,Typo,Buyer
TS-014,V00155,Firefox,Desktop,Valid,Medium,Zero,Typo,Buyer
TS-014,V00156,Firefox,Desktop,Valid,Low,Zero,Typo,Buyer
TS-014,V00157,Firefox,Mobile,Valid,High,Zero,Typo,Buyer
TS-014,V00158,Firefox,Mobile,Valid,Medium,Zero,Typo,Buyer
TS-014,V00159,Firefox,Mobile,Valid,Low,Zero,Typo,Buyer
TS-014,V00160,Firefox,Tablet,Valid,High,Zero,Typo,Buyer
TS-014,V00161,Firefox,Tablet,Valid,Medium,Zero,Typo,Buyer
TS-014,V00162,Firefox,Tablet,Valid,Low,Zero,Typo,Buyer
TS-014,V00163,Safari,Desktop,Valid,High,Zero,Typo,Buyer
TS-014,V00164,Safari,Desktop,Valid,Medium,Zero,Typo,Buyer
TS-014,V00165,Safari,Desktop,Valid,Low,Zero,Typo,Buyer
TS-014,V00166,Safari,Mobile,Valid,High,Zero,Typo,Buyer
TS-014,V00167,Safari,Mobile,Valid,Medium,Zero,Typo,Buyer
TS-014,V00168,Safari,Mobile,Valid,Low,Zero,Typo,Buyer
TS-014,V00169,Safari,Tablet,Valid,High,Zero,Typo,Buyer
TS-014,V00170,Safari,Tablet,Valid,Medium,Zero,Typo,Buyer
TS-014,V00171,Safari,Tablet,Valid,Low,Zero,Typo,Buyer
TS-014,V00172,Edge,Desktop,Valid,High,Zero,Typo,Buyer
TS-014,V00173,Edge,Desktop,Valid,Medium,Zero,Typo,Buyer
TS-014,V00174,Edge,Desktop,Valid,Low,Zero,Typo,Buyer
TS-014,V00175,Edge,Mobile,Valid,High,Zero,Typo,Buyer
TS-014,V00176,Edge,Mobile,Valid,Medium,Zero,Typo,Buyer
TS-014,V00177,Edge,Mobile,Valid,Low,Zero,Typo,Buyer
TS-014,V00178,Edge,Tablet,Valid,High,Zero,Typo,Buyer
TS-014,V00179,Edge,Tablet,Valid,Medium,Zero,Typo,Buyer
TS-014,V00180,Edge,Tablet,Valid,Low,Zero,Typo,Buyer
TS-014,V00181,Chrome,Desktop,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00182,Chrome,Desktop,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00183,Chrome,Desktop,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00184,Chrome,Mobile,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00185,Chrome,Mobile,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00186,Chrome,Mobile,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00187,Chrome,Tablet,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00188,Chrome,Tablet,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00189,Chrome,Tablet,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00190,Firefox,Desktop,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00191,Firefox,Desktop,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00192,Firefox,Desktop,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00193,Firefox,Mobile,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00194,Firefox,Mobile,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00195,Firefox,Mobile,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00196,Firefox,Tablet,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00197,Firefox,Tablet,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00198,Firefox,Tablet,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00199,Safari,Desktop,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00200,Safari,Desktop,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00201,Safari,Desktop,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00202,Safari,Mobile,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00203,Safari,Mobile,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00204,Safari,Mobile,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00205,Safari,Tablet,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00206,Safari,Tablet,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00207,Safari,Tablet,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00208,Edge,Desktop,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00209,Edge,Desktop,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00210,Edge,Desktop,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00211,Edge,Mobile,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00212,Edge,Mobile,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00213,Edge,Mobile,Valid,Low,Zero,Special_Characters,Buyer
TS-014,V00214,Edge,Tablet,Valid,High,Zero,Special_Characters,Buyer
TS-014,V00215,Edge,Tablet,Valid,Medium,Zero,Special_Characters,Buyer
TS-014,V00216,Edge,Tablet,Valid,Low,Zero,Special_Characters,Buyer
