Requirement_ID,Requirement_Description,Priority,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-025,Users shall be able to search for products without logging in,N/A,"TS-021, TS-022, TS-023, TS-024, TS-025, TS-027",Yes,Covered,
REQ-026,Users shall be able to view product listings with product title,N/A,TS-028,Yes,Covered,
REQ-027,Users shall be able to view product listings with thumbnail image,N/A,TS-028,Yes,Covered,
REQ-028,Users shall be able to view product listings with price,N/A,TS-028,Yes,Covered,
REQ-029,Users shall be able to view product listings with ratings and reviews,N/A,"TS-028, TS-086",Yes,Covered,
REQ-030,Users shall be able to click on product title to navigate to product detail page,N/A,TS-029,Yes,Covered,
REQ-031,Users shall be able to click on product image to navigate to product detail page,N/A,TS-030,Yes,Covered,
REQ-032,Users shall be able to view product listings without logging in,N/A,"TS-028, TS-029, TS-030",Yes,Covered,
REQ-033,Users shall be able to view all product details without logging in,N/A,TS-031,Yes,Covered,
REQ-034,Users shall be able to check shipping availability by entering PIN code,N/A,"TS-033, TS-034",Yes,Covered,
REQ-035,Product detail page shall display product title,N/A,TS-032,Yes,Covered,
REQ-036,Product detail page shall display thumbnail image,N/A,"TS-032, TS-035",Yes,Covered,
REQ-037,Product detail page shall display multiple product images,N/A,"TS-032, TS-035",Yes,Covered,
REQ-038,Product detail page shall display product description,N/A,TS-032,Yes,Covered,
REQ-039,Product detail page shall display price,N/A,TS-032,Yes,Covered,
REQ-040,Product detail page shall display available sizes,N/A,"TS-032, TS-037",Yes,Covered,
REQ-041,Product detail page shall display available colors,N/A,"TS-032, TS-037",Yes,Covered,
REQ-042,Product detail page shall display ratings and reviews,N/A,"TS-032, TS-036, TS-087",Yes,Covered,
REQ-043,Users shall be able to add products to shopping cart from product detail page,N/A,TS-045,Yes,Covered,
REQ-044,Users shall be able to add products to wishlist from product detail page,N/A,"TS-038, TS-039",Yes,Covered,
REQ-045,Users must be registered and logged in to maintain a wishlist,N/A,"TS-038, TS-039",Yes,Covered,
REQ-046,Users shall be able to view items in their wishlist,N/A,TS-040,Yes,Covered,
REQ-047,Users shall be able to add products to their wishlist,N/A,TS-038,Yes,Covered,
REQ-048,Users shall be able to delete products from their wishlist,N/A,TS-041,Yes,Covered,
REQ-049,Users shall be able to proceed to checkout from wishlist items,N/A,TS-042,Yes,Covered,
REQ-050,Users shall be able to share products on social media,N/A,"TS-043, TS-044",Yes,Covered,
REQ-051,Login shall not be required to share products on social media,N/A,TS-044,Yes,Covered,
REQ-052,Users shall be able to share products from the product detail page,N/A,"TS-043, TS-044",Yes,Covered,
REQ-053,Users shall be able to add products to shopping cart from product detail page,N/A,"TS-045, TS-046, TS-047",Yes,Covered,
REQ-054,Users must be registered and logged in to manage shopping cart items,N/A,"TS-045, TS-046",Yes,Covered,
REQ-055,Users shall be able to add items to shopping cart,N/A,"TS-045, TS-047, TS-063",Yes,Covered,
REQ-056,Users shall be able to remove items from shopping cart,N/A,TS-050,Yes,Covered,
REQ-057,Users shall be able to update quantity of items in shopping cart,N/A,TS-049,Yes,Covered,
REQ-058,Users shall be able to proceed to checkout from shopping cart,N/A,TS-051,Yes,Covered,
REQ-059,Users shall be able to view item price in shopping cart,N/A,TS-048,Yes,Covered,
REQ-060,Users shall be able to view sub-total in shopping cart,N/A,TS-048,Yes,Covered,
REQ-061,Users shall be able to view total price in shopping cart,N/A,TS-048,Yes,Covered,
REQ-062,Only items selected from shopping cart shall be included in checkout,N/A,TS-052,Yes,Covered,
REQ-063,Users must be logged in to checkout and make payment,N/A,TS-052,Yes,Covered,
REQ-064,Users shall enter billing address before checkout,N/A,"TS-052, TS-053, TS-055",Yes,Covered,
REQ-065,Users shall enter shipping address before checkout,N/A,"TS-052, TS-054, TS-055",Yes,Covered,
REQ-066,Users shall select payment method (credit/debit card or net banking),N/A,"TS-052, TS-057, TS-058, TS-059, TS-061",Yes,Covered,
REQ-067,Users shall be able to view order summary before payment,N/A,TS-056,Yes,Covered,
REQ-068,Order summary shall display item total,N/A,TS-056,Yes,Covered,
REQ-069,Order summary shall display sub-total,N/A,TS-056,Yes,Covered,
REQ-070,Order summary shall display shipping cost,N/A,TS-056,Yes,Covered,
REQ-071,Order summary shall display tax,N/A,TS-056,Yes,Covered,
REQ-072,Order summary shall display order total,N/A,TS-056,Yes,Covered,
REQ-073,Users shall receive email notifications for order status updates,N/A,"TS-062, TS-069, TS-112",Yes,Covered,
REQ-074,Users shall be able to place orders after successful payment,N/A,"TS-060, TS-063",Yes,Covered,
REQ-075,Users shall receive order confirmation after placing an order,N/A,"TS-060, TS-062",Yes,Covered,
REQ-076,Users shall be able to view list of all past orders,N/A,TS-064,Yes,Covered,
REQ-077,Users shall be able to view order details including total amount paid,N/A,TS-065,Yes,Covered,
REQ-078,Users shall be able to view shipping address for each order,N/A,TS-065,Yes,Covered,
REQ-079,Users shall be able to view item quantity for each order,N/A,TS-065,Yes,Covered,
REQ-080,Users shall be able to view price per unit for each order,N/A,TS-065,Yes,Covered,
REQ-081,Users shall be able to reorder items from past orders,N/A,TS-066,Yes,Covered,
REQ-082,Users shall be able to track current orders from My Orders section,N/A,"TS-067, TS-068",Yes,Covered,
REQ-083,"Users shall be able to manage profile details (email, phone number)",N/A,"TS-070, TS-071",Yes,Covered,
REQ-084,Users shall be able to change password,N/A,TS-072,Yes,Covered,
REQ-085,Users shall be able to manage addresses in address book,N/A,"TS-073, TS-074, TS-075",Yes,Covered,
REQ-086,Users shall be able to access My Orders from My Account,N/A,"TS-070, TS-076",Yes,Covered,
REQ-087,Users shall be able to access My Wishlist from My Account,N/A,"TS-070, TS-077",Yes,Covered,
REQ-088,Users shall be able to access Shopping Cart from My Account,N/A,"TS-070, TS-078",Yes,Covered,
REQ-089,Users shall be able to access Ratings and Reviews from My Account,N/A,"TS-070, TS-079",Yes,Covered,
REQ-090,Users shall be able to log out from My Account,N/A,TS-080,Yes,Covered,
REQ-091,Users shall be able to add new addresses to address book,N/A,TS-073,Yes,Covered,
REQ-092,Users shall be able to edit existing addresses in address book,N/A,TS-074,Yes,Covered,
REQ-093,Users shall be able to delete addresses from address book,N/A,TS-075,Yes,Covered,
REQ-094,Users shall be able to select addresses from address book during checkout,N/A,TS-055,Yes,Covered,
REQ-095,Users shall be able to rate products they have ordered,N/A,TS-081,Yes,Covered,
REQ-096,Users shall be able to review products they have ordered,N/A,TS-082,Yes,Covered,
REQ-097,Users shall only be able to rate and review products they have ordered,N/A,"TS-081, TS-082, TS-083, TS-084",Yes,Covered,
REQ-098,Users must be logged in and registered to post ratings and reviews,N/A,"TS-081, TS-082, TS-085",Yes,Covered,
REQ-099,Users shall be able to view product ratings in product listings,N/A,TS-086,Yes,Covered,
REQ-100,Users shall be able to view product reviews on product detail page,N/A,"TS-036, TS-087",Yes,Covered,
REQ-101,Users shall be able to view ratings and reviews without logging in,N/A,TS-036,Yes,Covered,
REQ-102,Users shall be able to contact support team via email,N/A,TS-088,Yes,Covered,
REQ-103,Users shall be able to post name in contact support form,N/A,TS-088,Yes,Covered,
REQ-104,Users shall be able to post email in contact support form,N/A,"TS-088, TS-090",Yes,Covered,
REQ-105,Users shall be able to post contact number in contact support form,N/A,TS-088,Yes,Covered,
REQ-106,Users shall be able to post message in contact support form,N/A,TS-088,Yes,Covered,
REQ-107,Admin shall receive email when user submits support request,N/A,TS-089,Yes,Covered,
REQ-108,Admin shall be able to view total number of active registered buyers,N/A,"TS-091, TS-092",Yes,Covered,
REQ-109,Admin shall be able to view total number of inactive registered buyers,N/A,"TS-091, TS-093",Yes,Covered,
REQ-110,Admin shall be able to view total number of products uploaded on website,N/A,"TS-091, TS-094",Yes,Covered,
REQ-111,Admin shall be able to view total revenue for today,N/A,"TS-091, TS-095",Yes,Covered,
REQ-112,Admin shall be able to view total revenue for current month,N/A,"TS-091, TS-096",Yes,Covered,
REQ-113,Admin shall be able to view all buyer account information,N/A,TS-097,Yes,Covered,
REQ-114,Admin shall be able to edit buyer account information,N/A,TS-099,Yes,Covered,
REQ-115,Admin shall be able to activate buyer accounts,N/A,TS-100,Yes,Covered,
REQ-116,Admin shall be able to deactivate buyer accounts,N/A,TS-101,Yes,Covered,
REQ-117,Admin shall be able to view buyer profile details,N/A,TS-098,Yes,Covered,
REQ-118,Admin shall be able to view buyer addresses,N/A,TS-098,Yes,Covered,
REQ-119,Admin shall be able to view buyer orders,N/A,TS-098,Yes,Covered,
REQ-120,Admin shall be able to view buyer wishlist,N/A,TS-098,Yes,Covered,
REQ-121,Admin shall be able to view buyer cart items,N/A,TS-098,Yes,Covered,
REQ-122,Admin shall be able to view list of all orders placed by buyers,N/A,TS-102,Yes,Covered,
REQ-123,Admin shall be able to view current status of each order,N/A,TS-103,Yes,Covered,
REQ-124,Admin shall be able to view order details,N/A,TS-104,Yes,Covered,
REQ-125,Admin shall be able to edit order details,N/A,TS-105,Yes,Covered,
REQ-126,"Admin shall be able to update order status to ""Open""",N/A,"TS-068, TS-106",Yes,Covered,
REQ-127,"Admin shall be able to update order status to ""Confirmed""",N/A,"TS-068, TS-107",Yes,Covered,
REQ-128,"Admin shall be able to update order status to ""In Process""",N/A,"TS-068, TS-108",Yes,Covered,
REQ-129,"Admin shall be able to update order status to ""Shipped""",N/A,"TS-068, TS-109",Yes,Covered,
REQ-130,"Admin shall be able to update order status to ""Delivered""",N/A,"TS-068, TS-110",Yes,Covered,
REQ-131,Admin shall be responsible for shipping orders placed by buyers,N/A,TS-111,Yes,Covered,
REQ-132,Admin shall be able to maintain shipping carrier information,N/A,TS-111,Yes,Covered,
REQ-133,Admin shall be able to maintain tracking ID for shipments,N/A,TS-111,Yes,Covered,
REQ-134,Admin shall be able to maintain current shipment status,N/A,TS-111,Yes,Covered,
REQ-135,Admin shall be able to maintain delivery location/address,N/A,TS-111,Yes,Covered,
REQ-136,Admin shall be able to maintain shipping cost,N/A,TS-111,Yes,Covered,
REQ-137,Admin shall be able to add product categories,N/A,TS-113,Yes,Covered,
REQ-138,Admin shall be able to edit product categories,N/A,TS-114,Yes,Covered,
REQ-139,Admin shall be able to activate product categories,N/A,TS-115,Yes,Covered,
REQ-140,Admin shall be able to deactivate product categories,N/A,TS-116,Yes,Covered,
REQ-141,Admin shall be able to add product sub-categories,N/A,TS-117,Yes,Covered,
REQ-142,Admin shall be able to edit product sub-categories,N/A,TS-118,Yes,Covered,
REQ-143,Admin shall be able to activate product sub-categories,N/A,TS-119,Yes,Covered,
REQ-144,Admin shall be able to deactivate product sub-categories,N/A,TS-120,Yes,Covered,
REQ-145,Admin shall be able to add new products to catalog,N/A,TS-121,Yes,Covered,
REQ-146,Admin shall be able to edit existing products in catalog,N/A,TS-122,Yes,Covered,
REQ-147,Admin shall be able to activate products,N/A,TS-123,Yes,Covered,
REQ-148,Admin shall be able to deactivate products,N/A,TS-124,Yes,Covered,
REQ-149,Admin shall be able to manage product name,N/A,"TS-121, TS-122",Yes,Covered,
REQ-150,Admin shall be able to manage product images,N/A,"TS-121, TS-122, TS-125",Yes,Covered,
REQ-151,Admin shall be able to manage product description,N/A,"TS-121, TS-122",Yes,Covered,
REQ-152,Admin shall be able to manage product keywords,N/A,"TS-121, TS-122",Yes,Covered,
REQ-153,Admin shall be able to manage product color variations,N/A,"TS-121, TS-122, TS-126",Yes,Covered,
REQ-154,Admin shall be able to manage product size variations,N/A,"TS-121, TS-122, TS-126",Yes,Covered,
REQ-155,Admin shall be able to view payment information (bank account details),N/A,TS-127,Yes,Covered,
REQ-156,Admin shall be able to edit payment information,N/A,TS-128,Yes,Covered,
REQ-157,Admin shall be able to view payment status of each order,N/A,TS-129,Yes,Covered,
REQ-158,System shall use Stripe payment gateway for online payments,N/A,"TS-059, TS-130",Yes,Covered,
REQ-159,Admin shall be able to approve ratings posted by buyers,N/A,"TS-131, TS-132",Yes,Covered,
REQ-160,Admin shall be able to reject ratings posted by buyers,N/A,"TS-131, TS-133",Yes,Covered,
REQ-161,Admin shall be able to approve reviews posted by buyers,N/A,"TS-134, TS-135",Yes,Covered,
REQ-162,Admin shall be able to reject reviews posted by buyers,N/A,"TS-134, TS-136",Yes,Covered,
REQ-163,Admin shall be able to view products uploaded by date range (From-To),N/A,TS-137,Yes,Covered,
REQ-164,Admin shall be able to view products uploaded by month,N/A,TS-138,Yes,Covered,
REQ-165,Admin shall be able to view products uploaded by year,N/A,TS-139,Yes,Covered,
REQ-166,Admin shall be able to view revenue/total sales for today,N/A,TS-140,Yes,Covered,
REQ-167,Admin shall be able to view revenue/total sales for current week,N/A,TS-141,Yes,Covered,
REQ-168,Admin shall be able to view revenue/total sales by date range (From-To),N/A,TS-142,Yes,Covered,
REQ-169,Admin shall be able to view revenue/total sales by month,N/A,TS-143,Yes,Covered,
REQ-170,Admin shall be able to view revenue/total sales by year,N/A,TS-144,Yes,Covered,
REQ-171,Admin shall be able to export reports in PDF format,N/A,TS-145,Yes,Covered,
REQ-172,Admin shall be able to export reports in Excel format,N/A,TS-146,Yes,Covered,
REQ-173,Admin shall be able to create sub-users,N/A,TS-147,Yes,Covered,
REQ-174,Admin shall be able to edit sub-users,N/A,TS-148,Yes,Covered,
REQ-175,Admin shall be able to delete sub-users,N/A,TS-149,Yes,Covered,
REQ-176,Admin shall be able to activate sub-users,N/A,TS-150,Yes,Covered,
REQ-177,Admin shall be able to deactivate sub-users,N/A,TS-151,Yes,Covered,
REQ-178,Sub-users shall be able to operate various sectional operations,N/A,TS-152,Yes,Covered,
REQ-179,Admin shall be able to add roles for sub-admin users,N/A,TS-153,Yes,Covered,
REQ-180,Admin shall be able to edit roles for sub-admin users,N/A,TS-154,Yes,Covered,
REQ-181,Admin shall be able to delete roles for sub-admin users,N/A,TS-155,Yes,Covered,
REQ-182,Admin shall be able to activate roles,N/A,TS-156,Yes,Covered,
REQ-183,Admin shall be able to deactivate roles,N/A,TS-157,Yes,Covered,
REQ-184,Roles shall provide role-based access control,N/A,"TS-152, TS-153, TS-154, TS-158",Yes,Covered,
REQ-185,"Admin shall be able to edit content for ""About Us"" page",N/A,TS-159,Yes,Covered,
REQ-186,"Admin shall be able to edit content for ""Contact Us"" page",N/A,TS-160,Yes,Covered,
REQ-187,"Admin shall be able to edit content for ""Privacy Policy"" page",N/A,TS-161,Yes,Covered,
REQ-188,"Admin shall be able to edit content for ""Terms and Conditions"" page",N/A,TS-162,Yes,Covered,
REQ-189,Admin shall be able to add email content for buyer communications,N/A,TS-163,Yes,Covered,
REQ-190,Admin shall be able to edit email content for buyer communications,N/A,TS-164,Yes,Covered,
REQ-191,Admin shall be able to delete email content,N/A,TS-165,Yes,Covered,
REQ-192,Admin shall be able to send emails regarding new product launches,N/A,TS-166,Yes,Covered,
REQ-193,Admin shall be able to send emails regarding offers,N/A,TS-167,Yes,Covered,
REQ-194,Admin shall be able to send emails regarding promotions,N/A,TS-167,Yes,Covered,
REQ-195,Admin shall be able to view queries received from buyers,N/A,TS-168,Yes,Covered,
REQ-196,Admin shall be able to view complaints received from buyers,N/A,TS-169,Yes,Covered,
REQ-197,Admin shall be able to view feedback received from buyers,N/A,TS-170,Yes,Covered,
REQ-198,Admin shall receive email notifications for feedback/complaints/queries from buyers,N/A,TS-171,Yes,Covered,
REQ-199,System shall accommodate up to 100 concurrent users,N/A,TS-172,Yes,Covered,
REQ-200,Web pages shall not take more than 30 seconds to load with good internet speed,N/A,TS-173,Yes,Covered,
REQ-201,Web pages shall not display broken pages,N/A,TS-174,Yes,Covered,
REQ-202,"Web pages shall display ""page not found"" error when page is not available",N/A,TS-174,Yes,Covered,
REQ-203,System shall use SSL security for online payments,N/A,TS-175,Yes,Covered,
REQ-204,System shall use encryption for online payments,N/A,TS-176,Yes,Covered,
REQ-205,System shall assume physical inventory/warehouse is established,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-206,System shall assume admin manages product catalog with SKU codes,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-207,System shall not support custom size and color products,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-208,System shall use USD as currency,N/A,TS-178,Yes,Covered,
REQ-209,System shall accept orders from US country only,N/A,TS-177,Yes,Covered,
REQ-210,System shall NOT support ordering customized products,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-211,System shall NOT support real-time order tracking,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-212,System shall NOT support cash on delivery payment option,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
