Scenario_ID,Variant_ID,User_Type,Input_Validity,Data_State,Browser,Device,Network_Speed,Field_Values,System_State,Auth_Method,Payment_Method,Product_Type,Order_Status,Notification_Type
TS-002,V021,Buyer,Invalid,Registered_Unverified,Chrome,Desktop,High,Used_Token,Active,Email,N/A,N/A,N/A,Email_Verification
TS-003,V022,Visitor,Invalid,New,Chrome,Desktop,High,Email_Missing_At,Active,N/A,N/A,N/A,N/A,N/A
TS-003,V023,Visitor,Invalid,New,Chrome,Desktop,High,Email_Missing_Domain,Active,N/A,N/A,N/A,N/A,N/A
TS-003,V024,Visitor,Invalid,New,Chrome,Desktop,High,Email_Invalid_Characters,Active,N/A,N/A,N/A,N/A,N/A
TS-003,V025,Visitor,Invalid,New,Chrome,Desktop,High,Email_Too_Long,Active,N/A,N/A,N/A,N/A,N/A
TS-004,V026,Visitor,Invalid,New,Chrome,Desktop,High,Password_Mismatch,Active,N/A,N/A,N/A,N/A,N/A
TS-004,V027,Visitor,Invalid,New,Firefox,Desktop,High,Password_Mismatch,Active,N/A,N/A,N/A,N/A,N/A
TS-004,V028,Visitor,Invalid,New,Chrome,Mobile,High,Password_Mismatch,Active,N/A,N/A,N/A,N/A,N/A
TS-005,V029,Visitor,Invalid,New,Chrome,Desktop,High,Terms_Not_Accepted,Active,N/A,N/A,N/A,N/A,N/A
TS-005,V030,Visitor,Invalid,New,Firefox,Desktop,High,Terms_Not_Accepted,Active,N/A,N/A,N/A,N/A,N/A
TS-006,V031,Visitor,Invalid,Existing_User,Chrome,Desktop,High,Duplicate_Email,Active,N/A,N/A,N/A,N/A,N/A
TS-006,V032,Visitor,Invalid,Existing_User,Firefox,Desktop,High,Duplicate_Email,Active,N/A,N/A,N/A,N/A,N/A
TS-007,V033,Buyer,Valid,Registered_Verified,Chrome,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-007,V034,Buyer,Valid,Registered_Verified,Firefox,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-007,V035,Buyer,Valid,Registered_Verified,Safari,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-007,V036,Buyer,Valid,Registered_Verified,Chrome,Mobile,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-007,V037,Buyer,Valid,Registered_Verified,Chrome,Tablet,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-008,V038,Buyer,Invalid,Registered_Unverified,Chrome,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-008,V039,Buyer,Invalid,Registered_Unverified,Firefox,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-009,V040,Buyer,Invalid,Registered_Verified,Chrome,Desktop,High,Wrong_Password,Active,Email,N/A,N/A,N/A,N/A
TS-009,V041,Buyer,Invalid,Registered_Verified,Chrome,Desktop,High,Wrong_Email,Active,Email,N/A,N/A,N/A,N/A
TS-009,V042,Buyer,Invalid,Registered_Verified,Chrome,Desktop,High,Email_Not_Exist,Active,Email,N/A,N/A,N/A,N/A
TS-009,V043,Buyer,Invalid,Registered_Verified,Firefox,Desktop,High,Wrong_Password,Active,Email,N/A,N/A,N/A,N/A
TS-010,V044,Buyer,Valid,New,Chrome,Desktop,High,Valid_FB_Token,Active,Facebook,N/A,N/A,N/A,N/A
TS-010,V045,Buyer,Valid,New,Firefox,Desktop,High,Valid_FB_Token,Active,Facebook,N/A,N/A,N/A,N/A
TS-010,V046,Buyer,Valid,New,Chrome,Mobile,High,Valid_FB_Token,Active,Facebook,N/A,N/A,N/A,N/A
TS-010,V047,Buyer,Valid,Existing_User,Chrome,Desktop,High,Valid_FB_Token,Active,Facebook,N/A,N/A,N/A,N/A
TS-010,V048,Buyer,Invalid,New,Chrome,Desktop,High,Invalid_FB_Token,Active,Facebook,N/A,N/A,N/A,N/A
TS-011,V049,Buyer,Valid,New,Chrome,Desktop,High,Valid_Google_Token,Active,Google,N/A,N/A,N/A,N/A
TS-011,V050,Buyer,Valid,New,Firefox,Desktop,High,Valid_Google_Token,Active,Google,N/A,N/A,N/A,N/A
TS-011,V051,Buyer,Valid,New,Chrome,Mobile,High,Valid_Google_Token,Active,Google,N/A,N/A,N/A,N/A
TS-011,V052,Buyer,Valid,Existing_User,Chrome,Desktop,High,Valid_Google_Token,Active,Google,N/A,N/A,N/A,N/A
TS-011,V053,Buyer,Invalid,New,Chrome,Desktop,High,Invalid_Google_Token,Active,Google,N/A,N/A,N/A,N/A
TS-012,V054,Buyer,Valid,New,Chrome,Desktop,High,First_Time_FB,Active,Facebook,N/A,N/A,N/A,N/A
TS-012,V055,Buyer,Valid,New,Chrome,Desktop,High,First_Time_Google,Active,Google,N/A,N/A,N/A,N/A
TS-013,V056,Buyer,Valid,Registered_Verified,Chrome,Desktop,High,Valid_Email,Active,Email,N/A,N/A,N/A,Password_Reset
TS-013,V057,Buyer,Valid,Registered_Verified,Firefox,Desktop,High,Valid_Email,Active,Email,N/A,N/A,N/A,Password_Reset
TS-013,V058,Buyer,Invalid,Registered_Verified,Chrome,Desktop,High,Invalid_Email,Active,Email,N/A,N/A,N/A,Password_Reset
TS-013,V059,Buyer,Invalid,New,Chrome,Desktop,High,Email_Not_Exist,Active,Email,N/A,N/A,N/A,Password_Reset
TS-014,V060,Buyer,Valid,Registered_Verified,Chrome,Desktop,High,Valid_Reset_Link,Active,Email,N/A,N/A,N/A,Password_Reset
TS-014,V061,Buyer,Valid,Registered_Verified,Firefox,Desktop,High,Valid_Reset_Link,Active,Email,N/A,N/A,N/A,Password_Reset
TS-014,V062,Buyer,Valid,Registered_Verified,Chrome,Mobile,High,Valid_Reset_Link,Active,Email,N/A,N/A,N/A,Password_Reset
TS-015,V063,Buyer,Valid,Reset_Requested,Chrome,Desktop,High,Valid_New_Password,Active,Email,N/A,N/A,N/A,N/A
TS-015,V064,Buyer,Valid,Reset_Requested,Firefox,Desktop,High,Valid_New_Password,Active,Email,N/A,N/A,N/A,N/A
TS-015,V065,Buyer,Invalid,Reset_Requested,Chrome,Desktop,High,Password_Too_Short,Active,Email,N/A,N/A,N/A,N/A
TS-015,V066,Buyer,Invalid,Reset_Requested,Chrome,Desktop,High,Password_Mismatch,Active,Email,N/A,N/A,N/A,N/A
TS-016,V067,Buyer,Invalid,Reset_Requested,Chrome,Desktop,High,Expired_Reset_Token,Active,Email,N/A,N/A,N/A,N/A
TS-016,V068,Buyer,Invalid,Reset_Requested,Firefox,Desktop,High,Expired_Reset_Token,Active,Email,N/A,N/A,N/A,N/A
TS-017,V069,Buyer,Valid,Password_Reset,Chrome,Desktop,High,New_Password,Active,Email,N/A,N/A,N/A,N/A
TS-017,V070,Buyer,Valid,Password_Reset,Firefox,Desktop,High,New_Password,Active,Email,N/A,N/A,N/A,N/A
TS-018,V071,Admin,Valid,Active_Admin,Chrome,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-018,V072,Admin,Valid,Active_Admin,Firefox,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-018,V073,Admin,Valid,Active_Admin,Edge,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-018,V074,Sub_Admin,Valid,Active_Sub_Admin,Chrome,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-019,V075,Admin,Invalid,Active_Admin,Chrome,Desktop,High,Wrong_Password,Active,Email,N/A,N/A,N/A,N/A
TS-019,V076,Admin,Invalid,Active_Admin,Chrome,Desktop,High,Wrong_Username,Active,Email,N/A,N/A,N/A,N/A
TS-019,V077,Admin,Invalid,Inactive_Admin,Chrome,Desktop,High,Correct_Credentials,Active,Email,N/A,N/A,N/A,N/A
TS-020,V078,Admin,Valid,Active_Admin,Chrome,Desktop,High,Valid_Reset_Request,Active,Email,N/A,N/A,N/A,Password_Reset
TS-020,V079,Admin,Valid,Active_Admin,Firefox,Desktop,High,Valid_Reset_Request,Active,Email,N/A,N/A,N/A,Password_Reset
TS-021,V080,Visitor,Valid,N/A,Chrome,Desktop,High,Keyword_Exact_Match,Active,N/A,N/A,N/A,N/A,N/A
TS-021,V081,Visitor,Valid,N/A,Chrome,Desktop,High,Keyword_Partial_Match,Active,N/A,N/A,N/A,N/A,N/A
TS-021,V082,Visitor,Valid,N/A,Chrome,Desktop,High,Keyword_Multiple_Words,Active,N/A,N/A,N/A,N/A,N/A
TS-021,V083,Visitor,Valid,N/A,Firefox,Desktop,High,Keyword_Exact_Match,Active,N/A,N/A,N/A,N/A,N/A
TS-021,V084,Buyer,Valid,Logged_In,Chrome,Desktop,High,Keyword_Exact_Match,Active,Email,N/A,N/A,N/A,N/A
TS-021,V085,Visitor,Valid,N/A,Chrome,Mobile,High,Keyword_Exact_Match,Active,N/A,N/A,N/A,N/A,N/A
TS-022,V086,Visitor,Valid,N/A,Chrome,Desktop,High,Category_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-022,V087,Visitor,Valid,N/A,Chrome,Desktop,High,Category_Jeans,Active,N/A,N/A,Apparel,N/A,N/A
TS-022,V088,Visitor,Valid,N/A,Firefox,Desktop,High,Category_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-022,V089,Buyer,Valid,Logged_In,Chrome,Desktop,High,Category_Shirts,Active,Email,N/A,Apparel,N/A,N/A
TS-022,V090,Visitor,Valid,N/A,Chrome,Mobile,High,Category_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-023,V091,Visitor,Valid,N/A,Chrome,Desktop,High,SubCategory_Mens_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-023,V092,Visitor,Valid,N/A,Chrome,Desktop,High,SubCategory_Womens_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-023,V093,Visitor,Valid,N/A,Firefox,Desktop,High,SubCategory_Mens_Shirts,Active,N/A,N/A,Apparel,N/A,N/A
TS-023,V094,Buyer,Valid,Logged_In,Chrome,Desktop,High,SubCategory_Mens_Shirts,Active,Email,N/A,Apparel,N/A,N/A
TS-024,V095,Visitor,Valid,Search_Results,Chrome,Desktop,High,Filter_Price_Range,Active,N/A,N/A,N/A,N/A,N/A
TS-024,V096,Visitor,Valid,Search_Results,Chrome,Desktop,High,Filter_Color,Active,N/A,N/A,N/A,N/A,N/A
TS-024,V097,Visitor,Valid,Search_Results,Chrome,Desktop,High,Filter_Size,Active,N/A,N/A,N/A,N/A,N/A
TS-024,V098,Visitor,Valid,Search_Results,Chrome,Desktop,High,Filter_Multiple,Active,N/A,N/A,N/A,N/A,N/A
TS-024,V099,Visitor,Valid,Search_Results,Firefox,Desktop,High,Filter_Price_Range,Active,N/A,N/A,N/A,N/A,N/A
TS-025,V100,Visitor,Valid,Search_Results,Chrome,Desktop,High,Sort_Price_Low_To_High,Active,N/A,N/A,N/A,N/A,N/A
TS-025,V101,Visitor,Valid,Search_Results,Chrome,Desktop,High,Sort_Price_High_To_Low,Active,N/A,N/A,N/A,N/A,N/A
TS-025,V102,Visitor,Valid,Search_Results,Chrome,Desktop,High,Sort_Popularity,Active,N/A,N/A,N/A,N/A,N/A
TS-025,V103,Visitor,Valid,Search_Results,Chrome,Desktop,High,Sort_Rating,Active,N/A,N/A,N/A,N/A,N/A
TS-025,V104,Visitor,Valid,Search_Results,Chrome,Desktop,High,Sort_Newest,Active,N/A,N/A,N/A,N/A,N/A
TS-026,V105,Visitor,Valid,N/A,Chrome,Desktop,High,No_Results_Keyword,Active,N/A,N/A,N/A,N/A,N/A
TS-026,V106,Visitor,Valid,N/A,Firefox,Desktop,High,No_Results_Keyword,Active,N/A,N/A,N/A,N/A,N/A
TS-027,V107,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,Search_Guest,Active,N/A,N/A,N/A,N/A,N/A
TS-027,V108,Visitor,Valid,Not_Logged_In,Firefox,Desktop,High,Search_Guest,Active,N/A,N/A,N/A,N/A,N/A
TS-028,V109,Visitor,Valid,Product_Listing,Chrome,Desktop,High,View_Listing,Active,N/A,N/A,Apparel,N/A,N/A
TS-028,V110,Visitor,Valid,Product_Listing,Firefox,Desktop,High,View_Listing,Active,N/A,N/A,Apparel,N/A,N/A
TS-028,V111,Buyer,Valid,Product_Listing,Chrome,Desktop,High,View_Listing,Active,Email,N/A,Apparel,N/A,N/A
TS-029,V112,Visitor,Valid,Product_Listing,Chrome,Desktop,High,Click_Title,Active,N/A,N/A,Apparel,N/A,N/A
TS-029,V113,Visitor,Valid,Product_Listing,Firefox,Desktop,High,Click_Title,Active,N/A,N/A,Apparel,N/A,N/A
TS-030,V114,Visitor,Valid,Product_Listing,Chrome,Desktop,High,Click_Image,Active,N/A,N/A,Apparel,N/A,N/A
TS-030,V115,Visitor,Valid,Product_Listing,Firefox,Desktop,High,Click_Image,Active,N/A,N/A,Apparel,N/A,N/A
TS-031,V116,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,View_Details_Guest,Active,N/A,N/A,Apparel,N/A,N/A
TS-031,V117,Visitor,Valid,Not_Logged_In,Firefox,Desktop,High,View_Details_Guest,Active,N/A,N/A,Apparel,N/A,N/A
TS-032,V118,Visitor,Valid,Product_Details,Chrome,Desktop,High,View_All_Details,Active,N/A,N/A,Apparel,N/A,N/A
TS-032,V119,Visitor,Valid,Product_Details,Firefox,Desktop,High,View_All_Details,Active,N/A,N/A,Apparel,N/A,N/A
TS-032,V120,Buyer,Valid,Product_Details,Chrome,Desktop,High,View_All_Details,Active,Email,N/A,Apparel,N/A,N/A
TS-033,V121,Visitor,Valid,Product_Details,Chrome,Desktop,High,Valid_ZIP_Available,Active,N/A,N/A,Apparel,N/A,N/A
TS-033,V122,Visitor,Valid,Product_Details,Chrome,Desktop,High,Valid_ZIP_Not_Available,Active,N/A,N/A,Apparel,N/A,N/A
TS-033,V123,Visitor,Valid,Product_Details,Firefox,Desktop,High,Valid_ZIP_Available,Active,N/A,N/A,Apparel,N/A,N/A
TS-034,V124,Visitor,Invalid,Product_Details,Chrome,Desktop,High,Invalid_ZIP_Format,Active,N/A,N/A,Apparel,N/A,N/A
TS-034,V125,Visitor,Invalid,Product_Details,Chrome,Desktop,High,Non_US_ZIP,Active,N/A,N/A,Apparel,N/A,N/A
TS-035,V126,Visitor,Valid,Product_Details,Chrome,Desktop,High,View_Multiple_Images,Active,N/A,N/A,Apparel,N/A,N/A
TS-035,V127,Visitor,Valid,Product_Details,Firefox,Desktop,High,View_Multiple_Images,Active,N/A,N/A,Apparel,N/A,N/A
TS-036,V128,Visitor,Valid,Product_Details,Chrome,Desktop,High,View_Ratings_Reviews,Active,N/A,N/A,Apparel,N/A,N/A
TS-036,V129,Visitor,Valid,Product_Details,Firefox,Desktop,High,View_Ratings_Reviews,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V130,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Size_Small,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V131,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Size_Medium,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V132,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Size_Large,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V133,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Color_Red,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V134,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Color_Blue,Active,N/A,N/A,Apparel,N/A,N/A
TS-037,V135,Visitor,Valid,Product_Details,Chrome,Desktop,High,Select_Size_And_Color,Active,N/A,N/A,Apparel,N/A,N/A
TS-038,V136,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_To_Wishlist,Active,Email,N/A,Apparel,N/A,N/A
TS-038,V137,Buyer,Valid,Logged_In,Firefox,Desktop,High,Add_To_Wishlist,Active,Email,N/A,Apparel,N/A,N/A
TS-038,V138,Buyer,Valid,Logged_In,Chrome,Mobile,High,Add_To_Wishlist,Active,Email,N/A,Apparel,N/A,N/A
TS-039,V139,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,Add_To_Wishlist_Redirect,Active,N/A,N/A,Apparel,N/A,N/A
TS-039,V140,Visitor,Valid,Not_Logged_In,Firefox,Desktop,High,Add_To_Wishlist_Redirect,Active,N/A,N/A,Apparel,N/A,N/A
TS-040,V141,Buyer,Valid,Wishlist_Has_Items,Chrome,Desktop,High,View_Wishlist,Active,Email,N/A,N/A,N/A,N/A
TS-040,V142,Buyer,Valid,Wishlist_Empty,Chrome,Desktop,High,View_Wishlist_Empty,Active,Email,N/A,N/A,N/A,N/A
TS-041,V143,Buyer,Valid,Wishlist_Has_Items,Chrome,Desktop,High,Remove_Item,Active,Email,N/A,Apparel,N/A,N/A
TS-041,V144,Buyer,Valid,Wishlist_Has_Items,Firefox,Desktop,High,Remove_Item,Active,Email,N/A,Apparel,N/A,N/A
TS-042,V145,Buyer,Valid,Wishlist_Has_Items,Chrome,Desktop,High,Checkout_From_Wishlist,Active,Email,N/A,Apparel,N/A,N/A
TS-042,V146,Buyer,Valid,Wishlist_Has_Items,Firefox,Desktop,High,Checkout_From_Wishlist,Active,Email,N/A,Apparel,N/A,N/A
TS-043,V147,Buyer,Valid,Logged_In,Chrome,Desktop,High,Share_Facebook,Active,Email,N/A,Apparel,N/A,N/A
TS-043,V148,Buyer,Valid,Logged_In,Chrome,Desktop,High,Share_Twitter,Active,Email,N/A,Apparel,N/A,N/A
TS-043,V149,Buyer,Valid,Logged_In,Chrome,Desktop,High,Share_Instagram,Active,Email,N/A,Apparel,N/A,N/A
TS-044,V150,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,Share_Facebook,Active,N/A,N/A,Apparel,N/A,N/A
TS-044,V151,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,Share_Twitter,Active,N/A,N/A,Apparel,N/A,N/A
TS-045,V152,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_To_Cart,Active,Email,N/A,Apparel,N/A,N/A
TS-045,V153,Buyer,Valid,Logged_In,Firefox,Desktop,High,Add_To_Cart,Active,Email,N/A,Apparel,N/A,N/A
TS-045,V154,Buyer,Valid,Logged_In,Chrome,Mobile,High,Add_To_Cart,Active,Email,N/A,Apparel,N/A,N/A
TS-046,V155,Visitor,Valid,Not_Logged_In,Chrome,Desktop,High,Add_To_Cart_Redirect,Active,N/A,N/A,Apparel,N/A,N/A
TS-046,V156,Visitor,Valid,Not_Logged_In,Firefox,Desktop,High,Add_To_Cart_Redirect,Active,N/A,N/A,Apparel,N/A,N/A
TS-047,V157,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_With_Size_Small,Active,Email,N/A,Apparel,N/A,N/A
TS-047,V158,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_With_Size_Large,Active,Email,N/A,Apparel,N/A,N/A
TS-047,V159,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_With_Color_Red,Active,Email,N/A,Apparel,N/A,N/A
TS-047,V160,Buyer,Valid,Logged_In,Chrome,Desktop,High,Add_With_Size_Color,Active,Email,N/A,Apparel,N/A,N/A
TS-048,V161,Buyer,Valid,Cart_Has_Items,Chrome,Desktop,High,View_Cart,Active,Email,N/A,N/A,N/A,N/A
TS-048,V162,Buyer,Valid,Cart_Empty,Chrome,Desktop,High,View_Cart_Empty,Active,Email,N/A,N/A,N/A,N/A
TS-048,V163,Buyer,Valid,Cart_Has_Items,Firefox,Desktop,High,View_Cart,Active,Email,N/A,N/A,N/A,N/A
TS-049,V164,Buyer,Valid,Cart_Has_Items,Chrome,Desktop,High,Update_Qty_Increase,Active,Email,N/A,Apparel,N/A,N/A
TS-049,V165,Buyer,Valid,Cart_Has_Items,Chrome,Desktop,High,Update_Qty_Decrease,Active,Email,N/A,Apparel,N/A,N/A
TS-049,V166,Buyer,Valid,Cart_Has_Items,Firefox,Desktop,High,Update_Qty_Increase,Active,Email,N/A,Apparel,N/A,N/A
TS-050,V167,Buyer,Valid,Cart_Has_Items,Chrome,Desktop,High,Remove_Item,Active,Email,N/A,Apparel,N/A,N/A
TS-050,V168,Buyer,Valid,Cart_Has_Items,Firefox,Desktop,High,Remove_Item,Active,Email,N/A,Apparel,N/A,N/A
TS-051,V169,Buyer,Valid,Cart_Has_Items,Chrome,Desktop,High,Proceed_Checkout,Active,Email,N/A,N/A,N/A,N/A
TS-051,V170,Buyer,Valid,Cart_Has_Items,Firefox,Desktop,High,Proceed_Checkout,Active,Email,N/A,N/A,N/A,N/A
TS-052,V171,Buyer,Valid,Checkout,Chrome,Desktop,High,Full_Checkout_Flow,Active,Email,Credit_Card,Apparel,N/A,N/A
TS-052,V172,Buyer,Valid,Checkout,Chrome,Desktop,High,Full_Checkout_Flow,Active,Email,Debit_Card,Apparel,N/A,N/A
TS-052,V173,Buyer,Valid,Checkout,Chrome,Desktop,High,Full_Checkout_Flow,Active,Email,Net_Banking,Apparel,N/A,N/A
TS-053,V174,Buyer,Valid,Checkout,Chrome,Desktop,High,Enter_Billing_New,Active,Email,N/A,N/A,N/A,N/A
TS-053,V175,Buyer,Valid,Checkout,Firefox,Desktop,High,Enter_Billing_New,Active,Email,N/A,N/A,N/A,N/A
TS-054,V176,Buyer,Valid,Checkout,Chrome,Desktop,High,Enter_Shipping_New,Active,Email,N/A,N/A,N/A,N/A
TS-054,V177,Buyer,Valid,Checkout,Firefox,Desktop,High,Enter_Shipping_New,Active,Email,N/A,N/A,N/A,N/A
TS-055,V178,Buyer,Valid,Checkout,Chrome,Desktop,High,Select_Saved_Billing,Active,Email,N/A,N/A,N/A,N/A
TS-055,V179,Buyer,Valid,Checkout,Chrome,Desktop,High,Select_Saved_Shipping,Active,Email,N/A,N/A,N/A,N/A
TS-056,V180,Buyer,Valid,Checkout,Chrome,Desktop,High,View_Order_Summary,Active,Email,N/A,Apparel,N/A,N/A
TS-056,V181,Buyer,Valid,Checkout,Firefox,Desktop,High,View_Order_Summary,Active,Email,N/A,Apparel,N/A,N/A
TS-057,V182,Buyer,Valid,Payment,Chrome,Desktop,High,Select_Credit_Card,Active,Email,Credit_Card,N/A,N/A,N/A
TS-057,V183,Buyer,Valid,Payment,Chrome,Desktop,High,Select_Debit_Card,Active,Email,Debit_Card,N/A,N/A,N/A
TS-057,V184,Buyer,Valid,Payment,Firefox,Desktop,High,Select_Credit_Card,Active,Email,Credit_Card,N/A,N/A,N/A
TS-058,V185,Buyer,Valid,Payment,Chrome,Desktop,High,Select_Net_Banking,Active,Email,Net_Banking,N/A,N/A,N/A
TS-058,V186,Buyer,Valid,Payment,Firefox,Desktop,High,Select_Net_Banking,Active,Email,Net_Banking,N/A,N/A,N/A
TS-059,V187,Buyer,Valid,Payment,Chrome,Desktop,High,Stripe_Payment_Success,Active,Email,Credit_Card,N/A,N/A,N/A
TS-059,V188,Buyer,Valid,Payment,Chrome,Desktop,High,Stripe_Payment_Success,Active,Email,Debit_Card,N/A,N/A,N/A
TS-059,V189,Buyer,Valid,Payment,Chrome,Desktop,High,Stripe_Payment_Success,Active,Email,Net_Banking,N/A,N/A,N/A
TS-060,V190,Buyer,Valid,Order_Placed,Chrome,Desktop,High,Payment_Success,Active,Email,Credit_Card,Apparel,Open,Order_Confirmation
TS-060,V191,Buyer,Valid,Order_Placed,Firefox,Desktop,High,Payment_Success,Active,Email,Debit_Card,Apparel,Open,Order_Confirmation
TS-061,V192,Buyer,Invalid,Payment,Chrome,Desktop,High,Payment_Failed,Active,Email,Credit_Card,N/A,N/A,N/A
TS-061,V193,Buyer,Invalid,Payment,Firefox,Desktop,High,Payment_Failed,Active,Email,Credit_Card,N/A,N/A,N/A
TS-062,V194,Buyer,Valid,Order_Placed,Chrome,Desktop,High,Receive_Email,Active,Email,N/A,Apparel,Open,Order_Confirmation
TS-062,V195,Buyer,Valid,Order_Placed,Firefox,Desktop,High,Receive_Email,Active,Email,N/A,Apparel,Open,Order_Confirmation
TS-063,V196,Buyer,Valid,Order_Placed,Chrome,Desktop,High,Cart_Cleared,Active,Email,N/A,Apparel,Open,N/A
TS-063,V197,Buyer,Valid,Order_Placed,Firefox,Desktop,High,Cart_Cleared,Active,Email,N/A,Apparel,Open,N/A
TS-064,V198,Buyer,Valid,Has_Orders,Chrome,Desktop,High,View_Order_History,Active,Email,N/A,N/A,N/A,N/A
TS-064,V199,Buyer,Valid,Has_Orders,Firefox,Desktop,High,View_Order_History,Active,Email,N/A,N/A,N/A,N/A
TS-064,V200,Buyer,Valid,No_Orders,Chrome,Desktop,High,View_Empty_History,Active,Email,N/A,N/A,N/A,N/A
TS-065,V201,Buyer,Valid,Has_Orders,Chrome,Desktop,High,View_Order_Details,Active,Email,N/A,Apparel,Open,N/A
TS-065,V202,Buyer,Valid,Has_Orders,Chrome,Desktop,High,View_Order_Details,Active,Email,N/A,Apparel,Confirmed,N/A
TS-065,V203,Buyer,Valid,Has_Orders,Chrome,Desktop,High,View_Order_Details,Active,Email,N/A,Apparel,Shipped,N/A
