Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Quantity_Change,Stock_Level,User_Type
TS-027,V00047,Firefox,Desktop,Medium,Increase,Insufficient,Buyer
TS-027,V00048,Firefox,Desktop,Low,Increase,Insufficient,Buyer
TS-027,V00049,Firefox,Mobile,High,Increase,Insufficient,Buyer
TS-027,V00050,Firefox,Mobile,Medium,Increase,Insufficient,Buyer
TS-027,V00051,Firefox,Mobile,Low,Increase,Insufficient,Buyer
TS-027,V00052,Firefox,Tablet,High,Increase,Insufficient,Buyer
TS-027,V00053,Firefox,Tablet,Medium,Increase,Insufficient,Buyer
TS-027,V00054,Firefox,Tablet,Low,Increase,Insufficient,Buyer
TS-027,V00055,Safari,Desktop,High,Increase,Insufficient,Buyer
TS-027,V00056,Safari,Desktop,Medium,Increase,Insufficient,Buyer
TS-027,V00057,Safari,Desktop,Low,Increase,Insufficient,Buyer
TS-027,V00058,Safari,Mobile,High,Increase,Insufficient,Buyer
TS-027,V00059,Safari,Mobile,Medium,Increase,Insufficient,Buyer
TS-027,V00060,Safari,Mobile,Low,Increase,Insufficient,Buyer
TS-027,V00061,Safari,Tablet,High,Increase,Insufficient,Buyer
TS-027,V00062,Safari,Tablet,Medium,Increase,Insufficient,Buyer
TS-027,V00063,Safari,Tablet,Low,Increase,Insufficient,Buyer
TS-027,V00064,Edge,Desktop,High,Increase,Insufficient,Buyer
TS-027,V00065,Edge,Desktop,Medium,Increase,Insufficient,Buyer
TS-027,V00066,Edge,Desktop,Low,Increase,Insufficient,Buyer
TS-027,V00067,Edge,Mobile,High,Increase,Insufficient,Buyer
TS-027,V00068,Edge,Mobile,Medium,Increase,Insufficient,Buyer
TS-027,V00069,Edge,Mobile,Low,Increase,Insufficient,Buyer
TS-027,V00070,Edge,Tablet,High,Increase,Insufficient,Buyer
TS-027,V00071,Edge,Tablet,Medium,Increase,Insufficient,Buyer
TS-027,V00072,Edge,Tablet,Low,Increase,Insufficient,Buyer
TS-027,V00073,Chrome,Desktop,High,Decrease,Sufficient,Buyer
TS-027,V00074,Chrome,Desktop,Medium,Decrease,Sufficient,Buyer
TS-027,V00075,Chrome,Desktop,Low,Decrease,Sufficient,Buyer
TS-027,V00076,Chrome,Mobile,High,Decrease,Sufficient,Buyer
TS-027,V00077,Chrome,Mobile,Medium,Decrease,Sufficient,Buyer
TS-027,V00078,Chrome,Mobile,Low,Decrease,Sufficient,Buyer
TS-027,V00079,Chrome,Tablet,High,Decrease,Sufficient,Buyer
TS-027,V00080,Chrome,Tablet,Medium,Decrease,Sufficient,Buyer
TS-027,V00081,Chrome,Tablet,Low,Decrease,Sufficient,Buyer
TS-027,V00082,Firefox,Desktop,High,Decrease,Sufficient,Buyer
TS-027,V00083,Firefox,Desktop,Medium,Decrease,Sufficient,Buyer
TS-027,V00084,Firefox,Desktop,Low,Decrease,Sufficient,Buyer
TS-027,V00085,Firefox,Mobile,High,Decrease,Sufficient,Buyer
TS-027,V00086,Firefox,Mobile,Medium,Decrease,Sufficient,Buyer
TS-027,V00087,Firefox,Mobile,Low,Decrease,Sufficient,Buyer
TS-027,V00088,Firefox,Tablet,High,Decrease,Sufficient,Buyer
TS-027,V00089,Firefox,Tablet,Medium,Decrease,Sufficient,Buyer
TS-027,V00090,Firefox,Tablet,Low,Decrease,Sufficient,Buyer
TS-027,V00091,Safari,Desktop,High,Decrease,Sufficient,Buyer
TS-027,V00092,Safari,Desktop,Medium,Decrease,Sufficient,Buyer
TS-027,V00093,Safari,Desktop,Low,Decrease,Sufficient,Buyer
TS-027,V00094,Safari,Mobile,High,Decrease,Sufficient,Buyer
TS-027,V00095,Safari,Mobile,Medium,Decrease,Sufficient,Buyer
TS-027,V00096,Safari,Mobile,Low,Decrease,Sufficient,Buyer
TS-027,V00097,Safari,Tablet,High,Decrease,Sufficient,Buyer
TS-027,V00098,Safari,Tablet,Medium,Decrease,Sufficient,Buyer
TS-027,V00099,Safari,Tablet,Low,Decrease,Sufficient,Buyer
TS-027,V00100,Edge,Desktop,High,Decrease,Sufficient,Buyer
TS-027,V00101,Edge,Desktop,Medium,Decrease,Sufficient,Buyer
TS-027,V00102,Edge,Desktop,Low,Decrease,Sufficient,Buyer
TS-027,V00103,Edge,Mobile,High,Decrease,Sufficient,Buyer
TS-027,V00104,Edge,Mobile,Medium,Decrease,Sufficient,Buyer
TS-027,V00105,Edge,Mobile,Low,Decrease,Sufficient,Buyer
TS-027,V00106,Edge,Tablet,High,Decrease,Sufficient,Buyer
TS-027,V00107,Edge,Tablet,Medium,Decrease,Sufficient,Buyer
TS-027,V00108,Edge,Tablet,Low,Decrease,Sufficient,Buyer
TS-027,V00109,Chrome,Desktop,High,Decrease,Insufficient,Buyer
TS-027,V00110,Chrome,Desktop,Medium,Decrease,Insufficient,Buyer
TS-027,V00111,Chrome,Desktop,Low,Decrease,Insufficient,Buyer
TS-027,V00112,Chrome,Mobile,High,Decrease,Insufficient,Buyer
TS-027,V00113,Chrome,Mobile,Medium,Decrease,Insufficient,Buyer
TS-027,V00114,Chrome,Mobile,Low,Decrease,Insufficient,Buyer
TS-027,V00115,Chrome,Tablet,High,Decrease,Insufficient,Buyer
TS-027,V00116,Chrome,Tablet,Medium,Decrease,Insufficient,Buyer
TS-027,V00117,Chrome,Tablet,Low,Decrease,Insufficient,Buyer
TS-027,V00118,Firefox,Desktop,High,Decrease,Insufficient,Buyer
TS-027,V00119,Firefox,Desktop,Medium,Decrease,Insufficient,Buyer
TS-027,V00120,Firefox,Desktop,Low,Decrease,Insufficient,Buyer
TS-027,V00121,Firefox,Mobile,High,Decrease,Insufficient,Buyer
TS-027,V00122,Firefox,Mobile,Medium,Decrease,Insufficient,Buyer
TS-027,V00123,Firefox,Mobile,Low,Decrease,Insufficient,Buyer
TS-027,V00124,Firefox,Tablet,High,Decrease,Insufficient,Buyer
TS-027,V00125,Firefox,Tablet,Medium,Decrease,Insufficient,Buyer
TS-027,V00126,Firefox,Tablet,Low,Decrease,Insufficient,Buyer
TS-027,V00127,Safari,Desktop,High,Decrease,Insufficient,Buyer
TS-027,V00128,Safari,Desktop,Medium,Decrease,Insufficient,Buyer
TS-027,V00129,Safari,Desktop,Low,Decrease,Insufficient,Buyer
TS-027,V00130,Safari,Mobile,High,Decrease,Insufficient,Buyer
TS-027,V00131,Safari,Mobile,Medium,Decrease,Insufficient,Buyer
TS-027,V00132,Safari,Mobile,Low,Decrease,Insufficient,Buyer
TS-027,V00133,Safari,Tablet,High,Decrease,Insufficient,Buyer
TS-027,V00134,Safari,Tablet,Medium,Decrease,Insufficient,Buyer
TS-027,V00135,Safari,Tablet,Low,Decrease,Insufficient,Buyer
TS-027,V00136,Edge,Desktop,High,Decrease,Insufficient,Buyer
TS-027,V00137,Edge,Desktop,Medium,Decrease,Insufficient,Buyer
TS-027,V00138,Edge,Desktop,Low,Decrease,Insufficient,Buyer
TS-027,V00139,Edge,Mobile,High,Decrease,Insufficient,Buyer
TS-027,V00140,Edge,Mobile,Medium,Decrease,Insufficient,Buyer
TS-027,V00141,Edge,Mobile,Low,Decrease,Insufficient,Buyer
TS-027,V00142,Edge,Tablet,High,Decrease,Insufficient,Buyer
TS-027,V00143,Edge,Tablet,Medium,Decrease,Insufficient,Buyer
TS-027,V00144,Edge,Tablet,Low,Decrease,Insufficient,Buyer
TS-027,V00145,Chrome,Desktop,High,Max_Limit,Sufficient,Buyer
TS-027,V00146,Chrome,Desktop,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00147,Chrome,Desktop,Low,Max_Limit,Sufficient,Buyer
TS-027,V00148,Chrome,Mobile,High,Max_Limit,Sufficient,Buyer
TS-027,V00149,Chrome,Mobile,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00150,Chrome,Mobile,Low,Max_Limit,Sufficient,Buyer
TS-027,V00151,Chrome,Tablet,High,Max_Limit,Sufficient,Buyer
TS-027,V00152,Chrome,Tablet,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00153,Chrome,Tablet,Low,Max_Limit,Sufficient,Buyer
TS-027,V00154,Firefox,Desktop,High,Max_Limit,Sufficient,Buyer
TS-027,V00155,Firefox,Desktop,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00156,Firefox,Desktop,Low,Max_Limit,Sufficient,Buyer
TS-027,V00157,Firefox,Mobile,High,Max_Limit,Sufficient,Buyer
TS-027,V00158,Firefox,Mobile,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00159,Firefox,Mobile,Low,Max_Limit,Sufficient,Buyer
TS-027,V00160,Firefox,Tablet,High,Max_Limit,Sufficient,Buyer
TS-027,V00161,Firefox,Tablet,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00162,Firefox,Tablet,Low,Max_Limit,Sufficient,Buyer
TS-027,V00163,Safari,Desktop,High,Max_Limit,Sufficient,Buyer
TS-027,V00164,Safari,Desktop,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00165,Safari,Desktop,Low,Max_Limit,Sufficient,Buyer
TS-027,V00166,Safari,Mobile,High,Max_Limit,Sufficient,Buyer
TS-027,V00167,Safari,Mobile,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00168,Safari,Mobile,Low,Max_Limit,Sufficient,Buyer
TS-027,V00169,Safari,Tablet,High,Max_Limit,Sufficient,Buyer
TS-027,V00170,Safari,Tablet,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00171,Safari,Tablet,Low,Max_Limit,Sufficient,Buyer
TS-027,V00172,Edge,Desktop,High,Max_Limit,Sufficient,Buyer
TS-027,V00173,Edge,Desktop,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00174,Edge,Desktop,Low,Max_Limit,Sufficient,Buyer
TS-027,V00175,Edge,Mobile,High,Max_Limit,Sufficient,Buyer
TS-027,V00176,Edge,Mobile,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00177,Edge,Mobile,Low,Max_Limit,Sufficient,Buyer
TS-027,V00178,Edge,Tablet,High,Max_Limit,Sufficient,Buyer
TS-027,V00179,Edge,Tablet,Medium,Max_Limit,Sufficient,Buyer
TS-027,V00180,Edge,Tablet,Low,Max_Limit,Sufficient,Buyer
TS-027,V00181,Chrome,Desktop,High,Max_Limit,Insufficient,Buyer
TS-027,V00182,Chrome,Desktop,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00183,Chrome,Desktop,Low,Max_Limit,Insufficient,Buyer
TS-027,V00184,Chrome,Mobile,High,Max_Limit,Insufficient,Buyer
TS-027,V00185,Chrome,Mobile,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00186,Chrome,Mobile,Low,Max_Limit,Insufficient,Buyer
TS-027,V00187,Chrome,Tablet,High,Max_Limit,Insufficient,Buyer
TS-027,V00188,Chrome,Tablet,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00189,Chrome,Tablet,Low,Max_Limit,Insufficient,Buyer
TS-027,V00190,Firefox,Desktop,High,Max_Limit,Insufficient,Buyer
TS-027,V00191,Firefox,Desktop,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00192,Firefox,Desktop,Low,Max_Limit,Insufficient,Buyer
TS-027,V00193,Firefox,Mobile,High,Max_Limit,Insufficient,Buyer
TS-027,V00194,Firefox,Mobile,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00195,Firefox,Mobile,Low,Max_Limit,Insufficient,Buyer
TS-027,V00196,Firefox,Tablet,High,Max_Limit,Insufficient,Buyer
TS-027,V00197,Firefox,Tablet,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00198,Firefox,Tablet,Low,Max_Limit,Insufficient,Buyer
TS-027,V00199,Safari,Desktop,High,Max_Limit,Insufficient,Buyer
TS-027,V00200,Safari,Desktop,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00201,Safari,Desktop,Low,Max_Limit,Insufficient,Buyer
TS-027,V00202,Safari,Mobile,High,Max_Limit,Insufficient,Buyer
TS-027,V00203,Safari,Mobile,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00204,Safari,Mobile,Low,Max_Limit,Insufficient,Buyer
TS-027,V00205,Safari,Tablet,High,Max_Limit,Insufficient,Buyer
TS-027,V00206,Safari,Tablet,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00207,Safari,Tablet,Low,Max_Limit,Insufficient,Buyer
TS-027,V00208,Edge,Desktop,High,Max_Limit,Insufficient,Buyer
TS-027,V00209,Edge,Desktop,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00210,Edge,Desktop,Low,Max_Limit,Insufficient,Buyer
TS-027,V00211,Edge,Mobile,High,Max_Limit,Insufficient,Buyer
TS-027,V00212,Edge,Mobile,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00213,Edge,Mobile,Low,Max_Limit,Insufficient,Buyer
TS-027,V00214,Edge,Tablet,High,Max_Limit,Insufficient,Buyer
TS-027,V00215,Edge,Tablet,Medium,Max_Limit,Insufficient,Buyer
TS-027,V00216,Edge,Tablet,Low,Max_Limit,Insufficient,Buyer
TS-027,V00217,Chrome,Desktop,High,Zero,Sufficient,Buyer
TS-027,V00218,Chrome,Desktop,Medium,Zero,Sufficient,Buyer
TS-027,V00219,Chrome,Desktop,Low,Zero,Sufficient,Buyer
TS-027,V00220,Chrome,Mobile,High,Zero,Sufficient,Buyer
TS-027,V00221,Chrome,Mobile,Medium,Zero,Sufficient,Buyer
TS-027,V00222,Chrome,Mobile,Low,Zero,Sufficient,Buyer
TS-027,V00223,Chrome,Tablet,High,Zero,Sufficient,Buyer
TS-027,V00224,Chrome,Tablet,Medium,Zero,Sufficient,Buyer
TS-027,V00225,Chrome,Tablet,Low,Zero,Sufficient,Buyer
TS-027,V00226,Firefox,Desktop,High,Zero,Sufficient,Buyer
TS-027,V00227,Firefox,Desktop,Medium,Zero,Sufficient,Buyer
TS-027,V00228,Firefox,Desktop,Low,Zero,Sufficient,Buyer
TS-027,V00229,Firefox,Mobile,High,Zero,Sufficient,Buyer
TS-027,V00230,Firefox,Mobile,Medium,Zero,Sufficient,Buyer
TS-027,V00231,Firefox,Mobile,Low,Zero,Sufficient,Buyer
TS-027,V00232,Firefox,Tablet,High,Zero,Sufficient,Buyer
TS-027,V00233,Firefox,Tablet,Medium,Zero,Sufficient,Buyer
TS-027,V00234,Firefox,Tablet,Low,Zero,Sufficient,Buyer
TS-027,V00235,Safari,Desktop,High,Zero,Sufficient,Buyer
TS-027,V00236,Safari,Desktop,Medium,Zero,Sufficient,Buyer
TS-027,V00237,Safari,Desktop,Low,Zero,Sufficient,Buyer
TS-027,V00238,Safari,Mobile,High,Zero,Sufficient,Buyer
TS-027,V00239,Safari,Mobile,Medium,Zero,Sufficient,Buyer
TS-027,V00240,Safari,Mobile,Low,Zero,Sufficient,Buyer
TS-027,V00241,Safari,Tablet,High,Zero,Sufficient,Buyer
TS-027,V00242,Safari,Tablet,Medium,Zero,Sufficient,Buyer
TS-027,V00243,Safari,Tablet,Low,Zero,Sufficient,Buyer
TS-027,V00244,Edge,Desktop,High,Zero,Sufficient,Buyer
TS-027,V00245,Edge,Desktop,Medium,Zero,Sufficient,Buyer
TS-027,V00246,Edge,Desktop,Low,Zero,Sufficient,Buyer
TS-027,V00247,Edge,Mobile,High,Zero,Sufficient,Buyer
TS-027,V00248,Edge,Mobile,Medium,Zero,Sufficient,Buyer
TS-027,V00249,Edge,Mobile,Low,Zero,Sufficient,Buyer
TS-027,V00250,Edge,Tablet,High,Zero,Sufficient,Buyer
TS-027,V00251,Edge,Tablet,Medium,Zero,Sufficient,Buyer
TS-027,V00252,Edge,Tablet,Low,Zero,Sufficient,Buyer
TS-027,V00253,Chrome,Desktop,High,Zero,Insufficient,Buyer
TS-027,V00254,Chrome,Desktop,Medium,Zero,Insufficient,Buyer
TS-027,V00255,Chrome,Desktop,Low,Zero,Insufficient,Buyer
TS-027,V00256,Chrome,Mobile,High,Zero,Insufficient,Buyer
TS-027,V00257,Chrome,Mobile,Medium,Zero,Insufficient,Buyer
TS-027,V00258,Chrome,Mobile,Low,Zero,Insufficient,Buyer
TS-027,V00259,Chrome,Tablet,High,Zero,Insufficient,Buyer
TS-027,V00260,Chrome,Tablet,Medium,Zero,Insufficient,Buyer
TS-027,V00261,Chrome,Tablet,Low,Zero,Insufficient,Buyer
TS-027,V00262,Firefox,Desktop,High,Zero,Insufficient,Buyer
TS-027,V00263,Firefox,Desktop,Medium,Zero,Insufficient,Buyer
TS-027,V00264,Firefox,Desktop,Low,Zero,Insufficient,Buyer
TS-027,V00265,Firefox,Mobile,High,Zero,Insufficient,Buyer
TS-027,V00266,Firefox,Mobile,Medium,Zero,Insufficient,Buyer
TS-027,V00267,Firefox,Mobile,Low,Zero,Insufficient,Buyer
TS-027,V00268,Firefox,Tablet,High,Zero,Insufficient,Buyer
TS-027,V00269,Firefox,Tablet,Medium,Zero,Insufficient,Buyer
TS-027,V00270,Firefox,Tablet,Low,Zero,Insufficient,Buyer
TS-027,V00271,Safari,Desktop,High,Zero,Insufficient,Buyer
TS-027,V00272,Safari,Desktop,Medium,Zero,Insufficient,Buyer
TS-027,V00273,Safari,Desktop,Low,Zero,Insufficient,Buyer
TS-027,V00274,Safari,Mobile,High,Zero,Insufficient,Buyer
TS-027,V00275,Safari,Mobile,Medium,Zero,Insufficient,Buyer
TS-027,V00276,Safari,Mobile,Low,Zero,Insufficient,Buyer
TS-027,V00277,Safari,Tablet,High,Zero,Insufficient,Buyer
TS-027,V00278,Safari,Tablet,Medium,Zero,Insufficient,Buyer
TS-027,V00279,Safari,Tablet,Low,Zero,Insufficient,Buyer
TS-027,V00280,Edge,Desktop,High,Zero,Insufficient,Buyer
TS-027,V00281,Edge,Desktop,Medium,Zero,Insufficient,Buyer
TS-027,V00282,Edge,Desktop,Low,Zero,Insufficient,Buyer
TS-027,V00283,Edge,Mobile,High,Zero,Insufficient,Buyer
TS-027,V00284,Edge,Mobile,Medium,Zero,Insufficient,Buyer
TS-027,V00285,Edge,Mobile,Low,Zero,Insufficient,Buyer
TS-027,V00286,Edge,Tablet,High,Zero,Insufficient,Buyer
TS-027,V00287,Edge,Tablet,Medium,Zero,Insufficient,Buyer
TS-027,V00288,Edge,Tablet,Low,Zero,Insufficient,Buyer
