Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Filter,User_Type
TS-070,V00090,Firefox,Tablet,Low,By_Date,Admin
TS-070,V00091,Safari,Desktop,High,By_Date,Admin
TS-070,V00092,Safari,Desktop,Medium,By_Date,Admin
TS-070,V00093,Safari,Desktop,Low,By_Date,Admin
TS-070,V00094,Safari,Mobile,High,By_Date,Admin
TS-070,V00095,Safari,Mobile,Medium,By_Date,Admin
TS-070,V00096,Safari,Mobile,Low,By_Date,Admin
TS-070,V00097,Safari,Tablet,High,By_Date,Admin
TS-070,V00098,Safari,Tablet,Medium,By_Date,Admin
TS-070,V00099,Safari,Tablet,Low,By_Date,Admin
TS-070,V00100,Edge,Desktop,High,By_Date,Admin
TS-070,V00101,Edge,Desktop,Medium,By_Date,Admin
TS-070,V00102,Edge,Desktop,Low,By_Date,Admin
TS-070,V00103,Edge,Mobile,High,By_Date,Admin
TS-070,V00104,Edge,Mobile,Medium,By_Date,Admin
TS-070,V00105,Edge,Mobile,Low,By_Date,Admin
TS-070,V00106,Edge,Tablet,High,By_Date,Admin
TS-070,V00107,Edge,Tablet,Medium,By_Date,Admin
TS-070,V00108,Edge,Tablet,Low,By_Date,Admin
