Scenario_ID,Variant_ID,Browser,Device,Image_Count,Network_Speed,Product_Type,User_Type
TS-078,V00132,Safari,Mobile,Multiple,Low,With_Variations,Admin
TS-078,V00133,Safari,Tablet,Multiple,High,With_Variations,Admin
TS-078,V00134,Safari,Tablet,Multiple,Medium,With_Variations,Admin
TS-078,V00135,Safari,Tablet,Multiple,Low,With_Variations,Admin
TS-078,V00136,Edge,Desktop,Multiple,High,With_Variations,Admin
TS-078,V00137,Edge,Desktop,Multiple,Medium,With_Variations,Admin
TS-078,V00138,Edge,Desktop,Multiple,Low,With_Variations,Admin
TS-078,V00139,Edge,Mobile,Multiple,High,With_Variations,Admin
TS-078,V00140,Edge,Mobile,Multiple,Medium,With_Variations,Admin
TS-078,V00141,Edge,Mobile,Multiple,Low,With_Variations,Admin
TS-078,V00142,Edge,Tablet,Multiple,High,With_Variations,Admin
TS-078,V00143,Edge,Tablet,Multiple,Medium,With_Variations,Admin
TS-078,V00144,Edge,Tablet,Multiple,Low,With_Variations,Admin
