Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Count,User_Type
TS-054,V00074,Chrome,Desktop,Medium,Multiple,Buyer
TS-054,V00075,Chrome,Desktop,Low,Multiple,Buyer
TS-054,V00076,Chrome,Mobile,High,Multiple,Buyer
TS-054,V00077,Chrome,Mobile,Medium,Multiple,Buyer
TS-054,V00078,Chrome,Mobile,Low,Multiple,Buyer
TS-054,V00079,Chrome,Tablet,High,Multiple,Buyer
TS-054,V00080,Chrome,Tablet,Medium,Multiple,Buyer
TS-054,V00081,Chrome,Tablet,Low,Multiple,Buyer
TS-054,V00082,Firefox,Desktop,High,Multiple,Buyer
TS-054,V00083,Firefox,Desktop,Medium,Multiple,Buyer
TS-054,V00084,Firefox,Desktop,Low,Multiple,Buyer
TS-054,V00085,Firefox,Mobile,High,Multiple,Buyer
TS-054,V00086,Firefox,Mobile,Medium,Multiple,Buyer
TS-054,V00087,Firefox,Mobile,Low,Multiple,Buyer
TS-054,V00088,Firefox,Tablet,High,Multiple,Buyer
TS-054,V00089,Firefox,Tablet,Medium,Multiple,Buyer
TS-054,V00090,Firefox,Tablet,Low,Multiple,Buyer
TS-054,V00091,Safari,Desktop,High,Multiple,Buyer
TS-054,V00092,Safari,Desktop,Medium,Multiple,Buyer
TS-054,V00093,Safari,Desktop,Low,Multiple,Buyer
TS-054,V00094,Safari,Mobile,High,Multiple,Buyer
TS-054,V00095,Safari,Mobile,Medium,Multiple,Buyer
TS-054,V00096,Safari,Mobile,Low,Multiple,Buyer
TS-054,V00097,Safari,Tablet,High,Multiple,Buyer
TS-054,V00098,Safari,Tablet,Medium,Multiple,Buyer
TS-054,V00099,Safari,Tablet,Low,Multiple,Buyer
TS-054,V00100,Edge,Desktop,High,Multiple,Buyer
TS-054,V00101,Edge,Desktop,Medium,Multiple,Buyer
TS-054,V00102,Edge,Desktop,Low,Multiple,Buyer
TS-054,V00103,Edge,Mobile,High,Multiple,Buyer
TS-054,V00104,Edge,Mobile,Medium,Multiple,Buyer
TS-054,V00105,Edge,Mobile,Low,Multiple,Buyer
TS-054,V00106,Edge,Tablet,High,Multiple,Buyer
TS-054,V00107,Edge,Tablet,Medium,Multiple,Buyer
TS-054,V00108,Edge,Tablet,Low,Multiple,Buyer
