Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,Reset_Link_State,User_Type
TS-011,V00033,Edge,Mobile,Registered,Valid,Low,Valid,Buyer
TS-011,V00034,Edge,Tablet,Registered,Valid,High,Valid,Buyer
TS-011,V00035,Edge,Tablet,Registered,Valid,Medium,Valid,Buyer
TS-011,V00036,Edge,Tablet,Registered,Valid,Low,Valid,Buyer
TS-011,V00037,Chrome,Desktop,Registered,Valid,High,Expired,Buyer
TS-011,V00038,Chrome,Desktop,Registered,Valid,Medium,Expired,Buyer
TS-011,V00039,Chrome,Desktop,Registered,Valid,Low,Expired,Buyer
TS-011,V00040,Chrome,Mobile,Registered,Valid,High,Expired,Buyer
TS-011,V00041,Chrome,Mobile,Registered,Valid,Medium,Expired,Buyer
TS-011,V00042,Chrome,Mobile,Registered,Valid,Low,Expired,Buyer
TS-011,V00043,Chrome,Tablet,Registered,Valid,High,Expired,Buyer
TS-011,V00044,Chrome,Tablet,Registered,Valid,Medium,Expired,Buyer
TS-011,V00045,Chrome,Tablet,Registered,Valid,Low,Expired,Buyer
TS-011,V00046,Firefox,Desktop,Registered,Valid,High,Expired,Buyer
TS-011,V00047,Firefox,Desktop,Registered,Valid,Medium,Expired,Buyer
TS-011,V00048,Firefox,Desktop,Registered,Valid,Low,Expired,Buyer
TS-011,V00049,Firefox,Mobile,Registered,Valid,High,Expired,Buyer
TS-011,V00050,Firefox,Mobile,Registered,Valid,Medium,Expired,Buyer
TS-011,V00051,Firefox,Mobile,Registered,Valid,Low,Expired,Buyer
TS-011,V00052,Firefox,Tablet,Registered,Valid,High,Expired,Buyer
TS-011,V00053,Firefox,Tablet,Registered,Valid,Medium,Expired,Buyer
TS-011,V00054,Firefox,Tablet,Registered,Valid,Low,Expired,Buyer
TS-011,V00055,Safari,Desktop,Registered,Valid,High,Expired,Buyer
TS-011,V00056,Safari,Desktop,Registered,Valid,Medium,Expired,Buyer
TS-011,V00057,Safari,Desktop,Registered,Valid,Low,Expired,Buyer
TS-011,V00058,Safari,Mobile,Registered,Valid,High,Expired,Buyer
TS-011,V00059,Safari,Mobile,Registered,Valid,Medium,Expired,Buyer
TS-011,V00060,Safari,Mobile,Registered,Valid,Low,Expired,Buyer
TS-011,V00061,Safari,Tablet,Registered,Valid,High,Expired,Buyer
TS-011,V00062,Safari,Tablet,Registered,Valid,Medium,Expired,Buyer
TS-011,V00063,Safari,Tablet,Registered,Valid,Low,Expired,Buyer
TS-011,V00064,Edge,Desktop,Registered,Valid,High,Expired,Buyer
TS-011,V00065,Edge,Desktop,Registered,Valid,Medium,Expired,Buyer
TS-011,V00066,Edge,Desktop,Registered,Valid,Low,Expired,Buyer
TS-011,V00067,Edge,Mobile,Registered,Valid,High,Expired,Buyer
TS-011,V00068,Edge,Mobile,Registered,Valid,Medium,Expired,Buyer
TS-011,V00069,Edge,Mobile,Registered,Valid,Low,Expired,Buyer
TS-011,V00070,Edge,Tablet,Registered,Valid,High,Expired,Buyer
TS-011,V00071,Edge,Tablet,Registered,Valid,Medium,Expired,Buyer
TS-011,V00072,Edge,Tablet,Registered,Valid,Low,Expired,Buyer
TS-011,V00073,Chrome,Desktop,Registered,Valid,High,Already_Used,Buyer
TS-011,V00074,Chrome,Desktop,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00075,Chrome,Desktop,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00076,Chrome,Mobile,Registered,Valid,High,Already_Used,Buyer
TS-011,V00077,Chrome,Mobile,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00078,Chrome,Mobile,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00079,Chrome,Tablet,Registered,Valid,High,Already_Used,Buyer
TS-011,V00080,Chrome,Tablet,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00081,Chrome,Tablet,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00082,Firefox,Desktop,Registered,Valid,High,Already_Used,Buyer
TS-011,V00083,Firefox,Desktop,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00084,Firefox,Desktop,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00085,Firefox,Mobile,Registered,Valid,High,Already_Used,Buyer
TS-011,V00086,Firefox,Mobile,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00087,Firefox,Mobile,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00088,Firefox,Tablet,Registered,Valid,High,Already_Used,Buyer
TS-011,V00089,Firefox,Tablet,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00090,Firefox,Tablet,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00091,Safari,Desktop,Registered,Valid,High,Already_Used,Buyer
TS-011,V00092,Safari,Desktop,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00093,Safari,Desktop,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00094,Safari,Mobile,Registered,Valid,High,Already_Used,Buyer
TS-011,V00095,Safari,Mobile,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00096,Safari,Mobile,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00097,Safari,Tablet,Registered,Valid,High,Already_Used,Buyer
TS-011,V00098,Safari,Tablet,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00099,Safari,Tablet,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00100,Edge,Desktop,Registered,Valid,High,Already_Used,Buyer
TS-011,V00101,Edge,Desktop,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00102,Edge,Desktop,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00103,Edge,Mobile,Registered,Valid,High,Already_Used,Buyer
TS-011,V00104,Edge,Mobile,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00105,Edge,Mobile,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00106,Edge,Tablet,Registered,Valid,High,Already_Used,Buyer
TS-011,V00107,Edge,Tablet,Registered,Valid,Medium,Already_Used,Buyer
TS-011,V00108,Edge,Tablet,Registered,Valid,Low,Already_Used,Buyer
TS-011,V00109,Chrome,Desktop,Verified,Valid,High,Valid,Buyer
TS-011,V00110,Chrome,Desktop,Verified,Valid,Medium,Valid,Buyer
TS-011,V00111,Chrome,Desktop,Verified,Valid,Low,Valid,Buyer
TS-011,V00112,Chrome,Mobile,Verified,Valid,High,Valid,Buyer
TS-011,V00113,Chrome,Mobile,Verified,Valid,Medium,Valid,Buyer
TS-011,V00114,Chrome,Mobile,Verified,Valid,Low,Valid,Buyer
TS-011,V00115,Chrome,Tablet,Verified,Valid,High,Valid,Buyer
TS-011,V00116,Chrome,Tablet,Verified,Valid,Medium,Valid,Buyer
TS-011,V00117,Chrome,Tablet,Verified,Valid,Low,Valid,Buyer
TS-011,V00118,Firefox,Desktop,Verified,Valid,High,Valid,Buyer
TS-011,V00119,Firefox,Desktop,Verified,Valid,Medium,Valid,Buyer
TS-011,V00120,Firefox,Desktop,Verified,Valid,Low,Valid,Buyer
TS-011,V00121,Firefox,Mobile,Verified,Valid,High,Valid,Buyer
TS-011,V00122,Firefox,Mobile,Verified,Valid,Medium,Valid,Buyer
TS-011,V00123,Firefox,Mobile,Verified,Valid,Low,Valid,Buyer
TS-011,V00124,Firefox,Tablet,Verified,Valid,High,Valid,Buyer
TS-011,V00125,Firefox,Tablet,Verified,Valid,Medium,Valid,Buyer
TS-011,V00126,Firefox,Tablet,Verified,Valid,Low,Valid,Buyer
TS-011,V00127,Safari,Desktop,Verified,Valid,High,Valid,Buyer
TS-011,V00128,Safari,Desktop,Verified,Valid,Medium,Valid,Buyer
TS-011,V00129,Safari,Desktop,Verified,Valid,Low,Valid,Buyer
TS-011,V00130,Safari,Mobile,Verified,Valid,High,Valid,Buyer
TS-011,V00131,Safari,Mobile,Verified,Valid,Medium,Valid,Buyer
TS-011,V00132,Safari,Mobile,Verified,Valid,Low,Valid,Buyer
TS-011,V00133,Safari,Tablet,Verified,Valid,High,Valid,Buyer
TS-011,V00134,Safari,Tablet,Verified,Valid,Medium,Valid,Buyer
TS-011,V00135,Safari,Tablet,Verified,Valid,Low,Valid,Buyer
TS-011,V00136,Edge,Desktop,Verified,Valid,High,Valid,Buyer
TS-011,V00137,Edge,Desktop,Verified,Valid,Medium,Valid,Buyer
TS-011,V00138,Edge,Desktop,Verified,Valid,Low,Valid,Buyer
TS-011,V00139,Edge,Mobile,Verified,Valid,High,Valid,Buyer
TS-011,V00140,Edge,Mobile,Verified,Valid,Medium,Valid,Buyer
TS-011,V00141,Edge,Mobile,Verified,Valid,Low,Valid,Buyer
TS-011,V00142,Edge,Tablet,Verified,Valid,High,Valid,Buyer
TS-011,V00143,Edge,Tablet,Verified,Valid,Medium,Valid,Buyer
TS-011,V00144,Edge,Tablet,Verified,Valid,Low,Valid,Buyer
TS-011,V00145,Chrome,Desktop,Verified,Valid,High,Expired,Buyer
TS-011,V00146,Chrome,Desktop,Verified,Valid,Medium,Expired,Buyer
TS-011,V00147,Chrome,Desktop,Verified,Valid,Low,Expired,Buyer
TS-011,V00148,Chrome,Mobile,Verified,Valid,High,Expired,Buyer
TS-011,V00149,Chrome,Mobile,Verified,Valid,Medium,Expired,Buyer
TS-011,V00150,Chrome,Mobile,Verified,Valid,Low,Expired,Buyer
TS-011,V00151,Chrome,Tablet,Verified,Valid,High,Expired,Buyer
TS-011,V00152,Chrome,Tablet,Verified,Valid,Medium,Expired,Buyer
TS-011,V00153,Chrome,Tablet,Verified,Valid,Low,Expired,Buyer
TS-011,V00154,Firefox,Desktop,Verified,Valid,High,Expired,Buyer
TS-011,V00155,Firefox,Desktop,Verified,Valid,Medium,Expired,Buyer
TS-011,V00156,Firefox,Desktop,Verified,Valid,Low,Expired,Buyer
TS-011,V00157,Firefox,Mobile,Verified,Valid,High,Expired,Buyer
TS-011,V00158,Firefox,Mobile,Verified,Valid,Medium,Expired,Buyer
TS-011,V00159,Firefox,Mobile,Verified,Valid,Low,Expired,Buyer
TS-011,V00160,Firefox,Tablet,Verified,Valid,High,Expired,Buyer
TS-011,V00161,Firefox,Tablet,Verified,Valid,Medium,Expired,Buyer
TS-011,V00162,Firefox,Tablet,Verified,Valid,Low,Expired,Buyer
TS-011,V00163,Safari,Desktop,Verified,Valid,High,Expired,Buyer
TS-011,V00164,Safari,Desktop,Verified,Valid,Medium,Expired,Buyer
TS-011,V00165,Safari,Desktop,Verified,Valid,Low,Expired,Buyer
TS-011,V00166,Safari,Mobile,Verified,Valid,High,Expired,Buyer
TS-011,V00167,Safari,Mobile,Verified,Valid,Medium,Expired,Buyer
TS-011,V00168,Safari,Mobile,Verified,Valid,Low,Expired,Buyer
TS-011,V00169,Safari,Tablet,Verified,Valid,High,Expired,Buyer
TS-011,V00170,Safari,Tablet,Verified,Valid,Medium,Expired,Buyer
TS-011,V00171,Safari,Tablet,Verified,Valid,Low,Expired,Buyer
TS-011,V00172,Edge,Desktop,Verified,Valid,High,Expired,Buyer
TS-011,V00173,Edge,Desktop,Verified,Valid,Medium,Expired,Buyer
TS-011,V00174,Edge,Desktop,Verified,Valid,Low,Expired,Buyer
TS-011,V00175,Edge,Mobile,Verified,Valid,High,Expired,Buyer
TS-011,V00176,Edge,Mobile,Verified,Valid,Medium,Expired,Buyer
TS-011,V00177,Edge,Mobile,Verified,Valid,Low,Expired,Buyer
TS-011,V00178,Edge,Tablet,Verified,Valid,High,Expired,Buyer
TS-011,V00179,Edge,Tablet,Verified,Valid,Medium,Expired,Buyer
TS-011,V00180,Edge,Tablet,Verified,Valid,Low,Expired,Buyer
TS-011,V00181,Chrome,Desktop,Verified,Valid,High,Already_Used,Buyer
TS-011,V00182,Chrome,Desktop,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00183,Chrome,Desktop,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00184,Chrome,Mobile,Verified,Valid,High,Already_Used,Buyer
TS-011,V00185,Chrome,Mobile,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00186,Chrome,Mobile,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00187,Chrome,Tablet,Verified,Valid,High,Already_Used,Buyer
TS-011,V00188,Chrome,Tablet,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00189,Chrome,Tablet,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00190,Firefox,Desktop,Verified,Valid,High,Already_Used,Buyer
TS-011,V00191,Firefox,Desktop,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00192,Firefox,Desktop,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00193,Firefox,Mobile,Verified,Valid,High,Already_Used,Buyer
TS-011,V00194,Firefox,Mobile,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00195,Firefox,Mobile,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00196,Firefox,Tablet,Verified,Valid,High,Already_Used,Buyer
TS-011,V00197,Firefox,Tablet,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00198,Firefox,Tablet,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00199,Safari,Desktop,Verified,Valid,High,Already_Used,Buyer
TS-011,V00200,Safari,Desktop,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00201,Safari,Desktop,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00202,Safari,Mobile,Verified,Valid,High,Already_Used,Buyer
TS-011,V00203,Safari,Mobile,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00204,Safari,Mobile,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00205,Safari,Tablet,Verified,Valid,High,Already_Used,Buyer
TS-011,V00206,Safari,Tablet,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00207,Safari,Tablet,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00208,Edge,Desktop,Verified,Valid,High,Already_Used,Buyer
TS-011,V00209,Edge,Desktop,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00210,Edge,Desktop,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00211,Edge,Mobile,Verified,Valid,High,Already_Used,Buyer
TS-011,V00212,Edge,Mobile,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00213,Edge,Mobile,Verified,Valid,Low,Already_Used,Buyer
TS-011,V00214,Edge,Tablet,Verified,Valid,High,Already_Used,Buyer
TS-011,V00215,Edge,Tablet,Verified,Valid,Medium,Already_Used,Buyer
TS-011,V00216,Edge,Tablet,Verified,Valid,Low,Already_Used,Buyer
