Scenario_ID,Variant_ID,Browser,Device,Input_Validity,Network_Speed,Password_State,User_Type
TS-003,V00076,Chrome,Mobile,Invalid,High,Empty_Confirm,Visitor
TS-003,V00077,Chrome,Mobile,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00078,Chrome,Mobile,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00079,Chrome,Tablet,Invalid,High,Empty_Confirm,Visitor
TS-003,V00080,Chrome,Tablet,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00081,Chrome,Tablet,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00082,Firefox,Desktop,Invalid,High,Empty_Confirm,Visitor
TS-003,V00083,Firefox,Desktop,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00084,Firefox,Desktop,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00085,Firefox,Mobile,Invalid,High,Empty_Confirm,Visitor
TS-003,V00086,Firefox,Mobile,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00087,Firefox,Mobile,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00088,Firefox,Tablet,Invalid,High,Empty_Confirm,Visitor
TS-003,V00089,Firefox,Tablet,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00090,Firefox,Tablet,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00091,Safari,Desktop,Invalid,High,Empty_Confirm,Visitor
TS-003,V00092,Safari,Desktop,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00093,Safari,Desktop,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00094,Safari,Mobile,Invalid,High,Empty_Confirm,Visitor
TS-003,V00095,Safari,Mobile,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00096,Safari,Mobile,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00097,Safari,Tablet,Invalid,High,Empty_Confirm,Visitor
TS-003,V00098,Safari,Tablet,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00099,Safari,Tablet,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00100,Edge,Desktop,Invalid,High,Empty_Confirm,Visitor
TS-003,V00101,Edge,Desktop,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00102,Edge,Desktop,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00103,Edge,Mobile,Invalid,High,Empty_Confirm,Visitor
TS-003,V00104,Edge,Mobile,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00105,Edge,Mobile,Invalid,Low,Empty_Confirm,Visitor
TS-003,V00106,Edge,Tablet,Invalid,High,Empty_Confirm,Visitor
TS-003,V00107,Edge,Tablet,Invalid,Medium,Empty_Confirm,Visitor
TS-003,V00108,Edge,Tablet,Invalid,Low,Empty_Confirm,Visitor
