Scenario_ID,Variant_ID,Browser,Credential_Error,Device,Input_Validity,Network_Speed,User_Type
TS-007,V00073,Chrome,Both_Wrong,Desktop,Invalid,High,Visitor
TS-007,V00074,Chrome,Both_Wrong,Desktop,Invalid,Medium,Visitor
TS-007,V00075,Chrome,Both_Wrong,Desktop,Invalid,Low,Visitor
TS-007,V00076,Chrome,Both_Wrong,Mobile,Invalid,High,Visitor
TS-007,V00077,Chrome,Both_Wrong,Mobile,Invalid,Medium,Visitor
TS-007,V00078,Chrome,Both_Wrong,Mobile,Invalid,Low,Visitor
TS-007,V00079,Chrome,Both_Wrong,Tablet,Invalid,High,Visitor
TS-007,V00080,Chrome,Both_Wrong,Tablet,Invalid,Medium,Visitor
TS-007,V00081,Chrome,Both_Wrong,Tablet,Invalid,Low,Visitor
TS-007,V00082,Firefox,Both_Wrong,Desktop,Invalid,High,Visitor
TS-007,V00083,Firefox,Both_Wrong,Desktop,Invalid,Medium,Visitor
TS-007,V00084,Firefox,Both_Wrong,Desktop,Invalid,Low,Visitor
TS-007,V00085,Firefox,Both_Wrong,Mobile,Invalid,High,Visitor
TS-007,V00086,Firefox,Both_Wrong,Mobile,Invalid,Medium,Visitor
TS-007,V00087,Firefox,Both_Wrong,Mobile,Invalid,Low,Visitor
TS-007,V00088,Firefox,Both_Wrong,Tablet,Invalid,High,Visitor
TS-007,V00089,Firefox,Both_Wrong,Tablet,Invalid,Medium,Visitor
TS-007,V00090,Firefox,Both_Wrong,Tablet,Invalid,Low,Visitor
TS-007,V00091,Safari,Both_Wrong,Desktop,Invalid,High,Visitor
TS-007,V00092,Safari,Both_Wrong,Desktop,Invalid,Medium,Visitor
TS-007,V00093,Safari,Both_Wrong,Desktop,Invalid,Low,Visitor
TS-007,V00094,Safari,Both_Wrong,Mobile,Invalid,High,Visitor
TS-007,V00095,Safari,Both_Wrong,Mobile,Invalid,Medium,Visitor
TS-007,V00096,Safari,Both_Wrong,Mobile,Invalid,Low,Visitor
TS-007,V00097,Safari,Both_Wrong,Tablet,Invalid,High,Visitor
TS-007,V00098,Safari,Both_Wrong,Tablet,Invalid,Medium,Visitor
TS-007,V00099,Safari,Both_Wrong,Tablet,Invalid,Low,Visitor
TS-007,V00100,Edge,Both_Wrong,Desktop,Invalid,High,Visitor
TS-007,V00101,Edge,Both_Wrong,Desktop,Invalid,Medium,Visitor
TS-007,V00102,Edge,Both_Wrong,Desktop,Invalid,Low,Visitor
TS-007,V00103,Edge,Both_Wrong,Mobile,Invalid,High,Visitor
TS-007,V00104,Edge,Both_Wrong,Mobile,Invalid,Medium,Visitor
TS-007,V00105,Edge,Both_Wrong,Mobile,Invalid,Low,Visitor
TS-007,V00106,Edge,Both_Wrong,Tablet,Invalid,High,Visitor
TS-007,V00107,Edge,Both_Wrong,Tablet,Invalid,Medium,Visitor
TS-007,V00108,Edge,Both_Wrong,Tablet,Invalid,Low,Visitor
TS-007,V00109,Chrome,Empty_Email,Desktop,Invalid,High,Visitor
TS-007,V00110,Chrome,Empty_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00111,Chrome,Empty_Email,Desktop,Invalid,Low,Visitor
TS-007,V00112,Chrome,Empty_Email,Mobile,Invalid,High,Visitor
TS-007,V00113,Chrome,Empty_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00114,Chrome,Empty_Email,Mobile,Invalid,Low,Visitor
TS-007,V00115,Chrome,Empty_Email,Tablet,Invalid,High,Visitor
TS-007,V00116,Chrome,Empty_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00117,Chrome,Empty_Email,Tablet,Invalid,Low,Visitor
TS-007,V00118,Firefox,Empty_Email,Desktop,Invalid,High,Visitor
TS-007,V00119,Firefox,Empty_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00120,Firefox,Empty_Email,Desktop,Invalid,Low,Visitor
TS-007,V00121,Firefox,Empty_Email,Mobile,Invalid,High,Visitor
TS-007,V00122,Firefox,Empty_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00123,Firefox,Empty_Email,Mobile,Invalid,Low,Visitor
TS-007,V00124,Firefox,Empty_Email,Tablet,Invalid,High,Visitor
TS-007,V00125,Firefox,Empty_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00126,Firefox,Empty_Email,Tablet,Invalid,Low,Visitor
TS-007,V00127,Safari,Empty_Email,Desktop,Invalid,High,Visitor
TS-007,V00128,Safari,Empty_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00129,Safari,Empty_Email,Desktop,Invalid,Low,Visitor
TS-007,V00130,Safari,Empty_Email,Mobile,Invalid,High,Visitor
TS-007,V00131,Safari,Empty_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00132,Safari,Empty_Email,Mobile,Invalid,Low,Visitor
TS-007,V00133,Safari,Empty_Email,Tablet,Invalid,High,Visitor
TS-007,V00134,Safari,Empty_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00135,Safari,Empty_Email,Tablet,Invalid,Low,Visitor
TS-007,V00136,Edge,Empty_Email,Desktop,Invalid,High,Visitor
TS-007,V00137,Edge,Empty_Email,Desktop,Invalid,Medium,Visitor
TS-007,V00138,Edge,Empty_Email,Desktop,Invalid,Low,Visitor
TS-007,V00139,Edge,Empty_Email,Mobile,Invalid,High,Visitor
TS-007,V00140,Edge,Empty_Email,Mobile,Invalid,Medium,Visitor
TS-007,V00141,Edge,Empty_Email,Mobile,Invalid,Low,Visitor
TS-007,V00142,Edge,Empty_Email,Tablet,Invalid,High,Visitor
TS-007,V00143,Edge,Empty_Email,Tablet,Invalid,Medium,Visitor
TS-007,V00144,Edge,Empty_Email,Tablet,Invalid,Low,Visitor
TS-007,V00145,Chrome,Empty_Password,Desktop,Invalid,High,Visitor
TS-007,V00146,Chrome,Empty_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00147,Chrome,Empty_Password,Desktop,Invalid,Low,Visitor
TS-007,V00148,Chrome,Empty_Password,Mobile,Invalid,High,Visitor
TS-007,V00149,Chrome,Empty_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00150,Chrome,Empty_Password,Mobile,Invalid,Low,Visitor
TS-007,V00151,Chrome,Empty_Password,Tablet,Invalid,High,Visitor
TS-007,V00152,Chrome,Empty_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00153,Chrome,Empty_Password,Tablet,Invalid,Low,Visitor
TS-007,V00154,Firefox,Empty_Password,Desktop,Invalid,High,Visitor
TS-007,V00155,Firefox,Empty_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00156,Firefox,Empty_Password,Desktop,Invalid,Low,Visitor
TS-007,V00157,Firefox,Empty_Password,Mobile,Invalid,High,Visitor
TS-007,V00158,Firefox,Empty_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00159,Firefox,Empty_Password,Mobile,Invalid,Low,Visitor
TS-007,V00160,Firefox,Empty_Password,Tablet,Invalid,High,Visitor
TS-007,V00161,Firefox,Empty_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00162,Firefox,Empty_Password,Tablet,Invalid,Low,Visitor
TS-007,V00163,Safari,Empty_Password,Desktop,Invalid,High,Visitor
TS-007,V00164,Safari,Empty_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00165,Safari,Empty_Password,Desktop,Invalid,Low,Visitor
TS-007,V00166,Safari,Empty_Password,Mobile,Invalid,High,Visitor
TS-007,V00167,Safari,Empty_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00168,Safari,Empty_Password,Mobile,Invalid,Low,Visitor
TS-007,V00169,Safari,Empty_Password,Tablet,Invalid,High,Visitor
TS-007,V00170,Safari,Empty_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00171,Safari,Empty_Password,Tablet,Invalid,Low,Visitor
TS-007,V00172,Edge,Empty_Password,Desktop,Invalid,High,Visitor
TS-007,V00173,Edge,Empty_Password,Desktop,Invalid,Medium,Visitor
TS-007,V00174,Edge,Empty_Password,Desktop,Invalid,Low,Visitor
TS-007,V00175,Edge,Empty_Password,Mobile,Invalid,High,Visitor
TS-007,V00176,Edge,Empty_Password,Mobile,Invalid,Medium,Visitor
TS-007,V00177,Edge,Empty_Password,Mobile,Invalid,Low,Visitor
TS-007,V00178,Edge,Empty_Password,Tablet,Invalid,High,Visitor
TS-007,V00179,Edge,Empty_Password,Tablet,Invalid,Medium,Visitor
TS-007,V00180,Edge,Empty_Password,Tablet,Invalid,Low,Visitor
