Scenario_ID,Variant_ID,Browser,Buyer_Status,Device,Network_Speed,User_Type
TS-066,V00098,Safari,Has_Orders,Tablet,Medium,Admin
TS-066,V00099,Safari,Has_Orders,Tablet,Low,Admin
TS-066,V00100,Edge,Has_Orders,Desktop,High,Admin
TS-066,V00101,Edge,Has_Orders,Desktop,Medium,Admin
TS-066,V00102,Edge,Has_Orders,Desktop,Low,Admin
TS-066,V00103,Edge,Has_Orders,Mobile,High,Admin
TS-066,V00104,Edge,Has_Orders,Mobile,Medium,Admin
TS-066,V00105,Edge,Has_Orders,Mobile,Low,Admin
TS-066,V00106,Edge,Has_Orders,Tablet,High,Admin
TS-066,V00107,Edge,Has_Orders,Tablet,Medium,Admin
TS-066,V00108,Edge,Has_Orders,Tablet,Low,Admin
TS-066,V00109,Chrome,No_Orders,Desktop,High,Admin
TS-066,V00110,Chrome,No_Orders,Desktop,Medium,Admin
TS-066,V00111,Chrome,No_Orders,Desktop,Low,Admin
TS-066,V00112,Chrome,No_Orders,Mobile,High,Admin
TS-066,V00113,Chrome,No_Orders,Mobile,Medium,Admin
TS-066,V00114,Chrome,No_Orders,Mobile,Low,Admin
TS-066,V00115,Chrome,No_Orders,Tablet,High,Admin
TS-066,V00116,Chrome,No_Orders,Tablet,Medium,Admin
TS-066,V00117,Chrome,No_Orders,Tablet,Low,Admin
TS-066,V00118,Firefox,No_Orders,Desktop,High,Admin
TS-066,V00119,Firefox,No_Orders,Desktop,Medium,Admin
TS-066,V00120,Firefox,No_Orders,Desktop,Low,Admin
TS-066,V00121,Firefox,No_Orders,Mobile,High,Admin
TS-066,V00122,Firefox,No_Orders,Mobile,Medium,Admin
TS-066,V00123,Firefox,No_Orders,Mobile,Low,Admin
TS-066,V00124,Firefox,No_Orders,Tablet,High,Admin
TS-066,V00125,Firefox,No_Orders,Tablet,Medium,Admin
TS-066,V00126,Firefox,No_Orders,Tablet,Low,Admin
TS-066,V00127,Safari,No_Orders,Desktop,High,Admin
TS-066,V00128,Safari,No_Orders,Desktop,Medium,Admin
TS-066,V00129,Safari,No_Orders,Desktop,Low,Admin
TS-066,V00130,Safari,No_Orders,Mobile,High,Admin
TS-066,V00131,Safari,No_Orders,Mobile,Medium,Admin
TS-066,V00132,Safari,No_Orders,Mobile,Low,Admin
TS-066,V00133,Safari,No_Orders,Tablet,High,Admin
TS-066,V00134,Safari,No_Orders,Tablet,Medium,Admin
TS-066,V00135,Safari,No_Orders,Tablet,Low,Admin
TS-066,V00136,Edge,No_Orders,Desktop,High,Admin
TS-066,V00137,Edge,No_Orders,Desktop,Medium,Admin
TS-066,V00138,Edge,No_Orders,Desktop,Low,Admin
TS-066,V00139,Edge,No_Orders,Mobile,High,Admin
TS-066,V00140,Edge,No_Orders,Mobile,Medium,Admin
TS-066,V00141,Edge,No_Orders,Mobile,Low,Admin
TS-066,V00142,Edge,No_Orders,Tablet,High,Admin
TS-066,V00143,Edge,No_Orders,Tablet,Medium,Admin
TS-066,V00144,Edge,No_Orders,Tablet,Low,Admin
