Scenario_ID,Variant_ID,Account_State,Browser,Device,Email_Verification,Input_Validity,Network_Speed,User_Type
TS-008,V00037,Unverified,Chrome,Desktop,Link_Expired,Valid,High,Buyer
TS-008,V00038,Unverified,Chrome,Desktop,Link_Expired,Valid,Medium,Buyer
TS-008,V00039,Unverified,Chrome,Desktop,Link_Expired,Valid,Low,Buyer
TS-008,V00040,Unverified,Chrome,Mobile,Link_Expired,Valid,High,Buyer
TS-008,V00041,Unverified,Chrome,Mobile,Link_Expired,Valid,Medium,Buyer
TS-008,V00042,Unverified,Chrome,Mobile,Link_Expired,Valid,Low,Buyer
TS-008,V00043,Unverified,Chrome,Tablet,Link_Expired,Valid,High,Buyer
TS-008,V00044,Unverified,Chrome,Tablet,Link_Expired,Valid,Medium,Buyer
TS-008,V00045,Unverified,Chrome,Tablet,Link_Expired,Valid,Low,Buyer
TS-008,V00046,Unverified,Firefox,Desktop,Link_Expired,Valid,High,Buyer
TS-008,V00047,Unverified,Firefox,Desktop,Link_Expired,Valid,Medium,Buyer
TS-008,V00048,Unverified,Firefox,Desktop,Link_Expired,Valid,Low,Buyer
TS-008,V00049,Unverified,Firefox,Mobile,Link_Expired,Valid,High,Buyer
TS-008,V00050,Unverified,Firefox,Mobile,Link_Expired,Valid,Medium,Buyer
TS-008,V00051,Unverified,Firefox,Mobile,Link_Expired,Valid,Low,Buyer
TS-008,V00052,Unverified,Firefox,Tablet,Link_Expired,Valid,High,Buyer
TS-008,V00053,Unverified,Firefox,Tablet,Link_Expired,Valid,Medium,Buyer
TS-008,V00054,Unverified,Firefox,Tablet,Link_Expired,Valid,Low,Buyer
TS-008,V00055,Unverified,Safari,Desktop,Link_Expired,Valid,High,Buyer
TS-008,V00056,Unverified,Safari,Desktop,Link_Expired,Valid,Medium,Buyer
TS-008,V00057,Unverified,Safari,Desktop,Link_Expired,Valid,Low,Buyer
TS-008,V00058,Unverified,Safari,Mobile,Link_Expired,Valid,High,Buyer
TS-008,V00059,Unverified,Safari,Mobile,Link_Expired,Valid,Medium,Buyer
TS-008,V00060,Unverified,Safari,Mobile,Link_Expired,Valid,Low,Buyer
TS-008,V00061,Unverified,Safari,Tablet,Link_Expired,Valid,High,Buyer
TS-008,V00062,Unverified,Safari,Tablet,Link_Expired,Valid,Medium,Buyer
TS-008,V00063,Unverified,Safari,Tablet,Link_Expired,Valid,Low,Buyer
TS-008,V00064,Unverified,Edge,Desktop,Link_Expired,Valid,High,Buyer
TS-008,V00065,Unverified,Edge,Desktop,Link_Expired,Valid,Medium,Buyer
TS-008,V00066,Unverified,Edge,Desktop,Link_Expired,Valid,Low,Buyer
TS-008,V00067,Unverified,Edge,Mobile,Link_Expired,Valid,High,Buyer
TS-008,V00068,Unverified,Edge,Mobile,Link_Expired,Valid,Medium,Buyer
TS-008,V00069,Unverified,Edge,Mobile,Link_Expired,Valid,Low,Buyer
TS-008,V00070,Unverified,Edge,Tablet,Link_Expired,Valid,High,Buyer
TS-008,V00071,Unverified,Edge,Tablet,Link_Expired,Valid,Medium,Buyer
TS-008,V00072,Unverified,Edge,Tablet,Link_Expired,Valid,Low,Buyer
