Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Removal_Action,User_Type,Wishlist_State
TS-033,V00056,Safari,Desktop,Medium,Remove_All,Buyer,Single_Item
TS-033,V00057,Safari,Desktop,Low,Remove_All,Buyer,Single_Item
TS-033,V00058,Safari,Mobile,High,Remove_All,Buyer,Single_Item
TS-033,V00059,Safari,Mobile,Medium,Remove_All,Buyer,Single_Item
TS-033,V00060,Safari,Mobile,Low,Remove_All,Buyer,Single_Item
TS-033,V00061,Safari,Tablet,High,Remove_All,Buyer,Single_Item
TS-033,V00062,Safari,Tablet,Medium,Remove_All,Buyer,Single_Item
TS-033,V00063,Safari,Tablet,Low,Remove_All,Buyer,Single_Item
TS-033,V00064,Edge,Desktop,High,Remove_All,Buyer,Single_Item
TS-033,V00065,Edge,Desktop,Medium,Remove_All,Buyer,Single_Item
TS-033,V00066,Edge,Desktop,Low,Remove_All,Buyer,Single_Item
TS-033,V00067,Edge,Mobile,High,Remove_All,Buyer,Single_Item
TS-033,V00068,Edge,Mobile,Medium,Remove_All,Buyer,Single_Item
TS-033,V00069,Edge,Mobile,Low,Remove_All,Buyer,Single_Item
TS-033,V00070,Edge,Tablet,High,Remove_All,Buyer,Single_Item
TS-033,V00071,Edge,Tablet,Medium,Remove_All,Buyer,Single_Item
TS-033,V00072,Edge,Tablet,Low,Remove_All,Buyer,Single_Item
TS-033,V00073,Chrome,Desktop,High,Remove_One,Buyer,Multiple_Items
TS-033,V00074,Chrome,Desktop,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00075,Chrome,Desktop,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00076,Chrome,Mobile,High,Remove_One,Buyer,Multiple_Items
TS-033,V00077,Chrome,Mobile,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00078,Chrome,Mobile,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00079,Chrome,Tablet,High,Remove_One,Buyer,Multiple_Items
TS-033,V00080,Chrome,Tablet,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00081,Chrome,Tablet,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00082,Firefox,Desktop,High,Remove_One,Buyer,Multiple_Items
TS-033,V00083,Firefox,Desktop,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00084,Firefox,Desktop,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00085,Firefox,Mobile,High,Remove_One,Buyer,Multiple_Items
TS-033,V00086,Firefox,Mobile,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00087,Firefox,Mobile,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00088,Firefox,Tablet,High,Remove_One,Buyer,Multiple_Items
TS-033,V00089,Firefox,Tablet,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00090,Firefox,Tablet,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00091,Safari,Desktop,High,Remove_One,Buyer,Multiple_Items
TS-033,V00092,Safari,Desktop,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00093,Safari,Desktop,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00094,Safari,Mobile,High,Remove_One,Buyer,Multiple_Items
TS-033,V00095,Safari,Mobile,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00096,Safari,Mobile,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00097,Safari,Tablet,High,Remove_One,Buyer,Multiple_Items
TS-033,V00098,Safari,Tablet,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00099,Safari,Tablet,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00100,Edge,Desktop,High,Remove_One,Buyer,Multiple_Items
TS-033,V00101,Edge,Desktop,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00102,Edge,Desktop,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00103,Edge,Mobile,High,Remove_One,Buyer,Multiple_Items
TS-033,V00104,Edge,Mobile,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00105,Edge,Mobile,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00106,Edge,Tablet,High,Remove_One,Buyer,Multiple_Items
TS-033,V00107,Edge,Tablet,Medium,Remove_One,Buyer,Multiple_Items
TS-033,V00108,Edge,Tablet,Low,Remove_One,Buyer,Multiple_Items
TS-033,V00109,Chrome,Desktop,High,Remove_All,Buyer,Multiple_Items
TS-033,V00110,Chrome,Desktop,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00111,Chrome,Desktop,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00112,Chrome,Mobile,High,Remove_All,Buyer,Multiple_Items
TS-033,V00113,Chrome,Mobile,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00114,Chrome,Mobile,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00115,Chrome,Tablet,High,Remove_All,Buyer,Multiple_Items
TS-033,V00116,Chrome,Tablet,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00117,Chrome,Tablet,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00118,Firefox,Desktop,High,Remove_All,Buyer,Multiple_Items
TS-033,V00119,Firefox,Desktop,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00120,Firefox,Desktop,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00121,Firefox,Mobile,High,Remove_All,Buyer,Multiple_Items
TS-033,V00122,Firefox,Mobile,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00123,Firefox,Mobile,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00124,Firefox,Tablet,High,Remove_All,Buyer,Multiple_Items
TS-033,V00125,Firefox,Tablet,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00126,Firefox,Tablet,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00127,Safari,Desktop,High,Remove_All,Buyer,Multiple_Items
TS-033,V00128,Safari,Desktop,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00129,Safari,Desktop,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00130,Safari,Mobile,High,Remove_All,Buyer,Multiple_Items
TS-033,V00131,Safari,Mobile,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00132,Safari,Mobile,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00133,Safari,Tablet,High,Remove_All,Buyer,Multiple_Items
TS-033,V00134,Safari,Tablet,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00135,Safari,Tablet,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00136,Edge,Desktop,High,Remove_All,Buyer,Multiple_Items
TS-033,V00137,Edge,Desktop,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00138,Edge,Desktop,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00139,Edge,Mobile,High,Remove_All,Buyer,Multiple_Items
TS-033,V00140,Edge,Mobile,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00141,Edge,Mobile,Low,Remove_All,Buyer,Multiple_Items
TS-033,V00142,Edge,Tablet,High,Remove_All,Buyer,Multiple_Items
TS-033,V00143,Edge,Tablet,Medium,Remove_All,Buyer,Multiple_Items
TS-033,V00144,Edge,Tablet,Low,Remove_All,Buyer,Multiple_Items
