Scenario_ID,Variant_ID,Browser,Device,Filter_Type,Filter_Value,Network_Speed,User_Type
TS-017,V00131,Safari,Mobile,Color,Multiple_Values,Medium,Visitor
TS-017,V00132,Safari,Mobile,Color,Multiple_Values,Low,Visitor
TS-017,V00133,Safari,Tablet,Color,Multiple_Values,High,Visitor
TS-017,V00134,Safari,Tablet,Color,Multiple_Values,Medium,Visitor
TS-017,V00135,Safari,Tablet,Color,Multiple_Values,Low,Visitor
TS-017,V00136,Edge,Desktop,Color,Multiple_Values,High,Visitor
TS-017,V00137,Edge,Desktop,Color,Multiple_Values,Medium,Visitor
TS-017,V00138,Edge,Desktop,Color,Multiple_Values,Low,Visitor
TS-017,V00139,Edge,Mobile,Color,Multiple_Values,High,Visitor
TS-017,V00140,Edge,Mobile,Color,Multiple_Values,Medium,Visitor
TS-017,V00141,Edge,Mobile,Color,Multiple_Values,Low,Visitor
TS-017,V00142,Edge,Tablet,Color,Multiple_Values,High,Visitor
TS-017,V00143,Edge,Tablet,Color,Multiple_Values,Medium,Visitor
TS-017,V00144,Edge,Tablet,Color,Multiple_Values,Low,Visitor
TS-017,V00145,Chrome,Desktop,Price_Range,Single_Value,High,Visitor
TS-017,V00146,Chrome,Desktop,Price_Range,Single_Value,Medium,Visitor
TS-017,V00147,Chrome,Desktop,Price_Range,Single_Value,Low,Visitor
TS-017,V00148,Chrome,Mobile,Price_Range,Single_Value,High,Visitor
TS-017,V00149,Chrome,Mobile,Price_Range,Single_Value,Medium,Visitor
TS-017,V00150,Chrome,Mobile,Price_Range,Single_Value,Low,Visitor
TS-017,V00151,Chrome,Tablet,Price_Range,Single_Value,High,Visitor
TS-017,V00152,Chrome,Tablet,Price_Range,Single_Value,Medium,Visitor
TS-017,V00153,Chrome,Tablet,Price_Range,Single_Value,Low,Visitor
TS-017,V00154,Firefox,Desktop,Price_Range,Single_Value,High,Visitor
TS-017,V00155,Firefox,Desktop,Price_Range,Single_Value,Medium,Visitor
TS-017,V00156,Firefox,Desktop,Price_Range,Single_Value,Low,Visitor
TS-017,V00157,Firefox,Mobile,Price_Range,Single_Value,High,Visitor
TS-017,V00158,Firefox,Mobile,Price_Range,Single_Value,Medium,Visitor
TS-017,V00159,Firefox,Mobile,Price_Range,Single_Value,Low,Visitor
TS-017,V00160,Firefox,Tablet,Price_Range,Single_Value,High,Visitor
TS-017,V00161,Firefox,Tablet,Price_Range,Single_Value,Medium,Visitor
TS-017,V00162,Firefox,Tablet,Price_Range,Single_Value,Low,Visitor
TS-017,V00163,Safari,Desktop,Price_Range,Single_Value,High,Visitor
TS-017,V00164,Safari,Desktop,Price_Range,Single_Value,Medium,Visitor
TS-017,V00165,Safari,Desktop,Price_Range,Single_Value,Low,Visitor
TS-017,V00166,Safari,Mobile,Price_Range,Single_Value,High,Visitor
TS-017,V00167,Safari,Mobile,Price_Range,Single_Value,Medium,Visitor
TS-017,V00168,Safari,Mobile,Price_Range,Single_Value,Low,Visitor
TS-017,V00169,Safari,Tablet,Price_Range,Single_Value,High,Visitor
TS-017,V00170,Safari,Tablet,Price_Range,Single_Value,Medium,Visitor
TS-017,V00171,Safari,Tablet,Price_Range,Single_Value,Low,Visitor
TS-017,V00172,Edge,Desktop,Price_Range,Single_Value,High,Visitor
TS-017,V00173,Edge,Desktop,Price_Range,Single_Value,Medium,Visitor
TS-017,V00174,Edge,Desktop,Price_Range,Single_Value,Low,Visitor
TS-017,V00175,Edge,Mobile,Price_Range,Single_Value,High,Visitor
TS-017,V00176,Edge,Mobile,Price_Range,Single_Value,Medium,Visitor
TS-017,V00177,Edge,Mobile,Price_Range,Single_Value,Low,Visitor
TS-017,V00178,Edge,Tablet,Price_Range,Single_Value,High,Visitor
TS-017,V00179,Edge,Tablet,Price_Range,Single_Value,Medium,Visitor
TS-017,V00180,Edge,Tablet,Price_Range,Single_Value,Low,Visitor
TS-017,V00181,Chrome,Desktop,Price_Range,Multiple_Values,High,Visitor
TS-017,V00182,Chrome,Desktop,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00183,Chrome,Desktop,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00184,Chrome,Mobile,Price_Range,Multiple_Values,High,Visitor
TS-017,V00185,Chrome,Mobile,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00186,Chrome,Mobile,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00187,Chrome,Tablet,Price_Range,Multiple_Values,High,Visitor
TS-017,V00188,Chrome,Tablet,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00189,Chrome,Tablet,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00190,Firefox,Desktop,Price_Range,Multiple_Values,High,Visitor
TS-017,V00191,Firefox,Desktop,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00192,Firefox,Desktop,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00193,Firefox,Mobile,Price_Range,Multiple_Values,High,Visitor
TS-017,V00194,Firefox,Mobile,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00195,Firefox,Mobile,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00196,Firefox,Tablet,Price_Range,Multiple_Values,High,Visitor
TS-017,V00197,Firefox,Tablet,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00198,Firefox,Tablet,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00199,Safari,Desktop,Price_Range,Multiple_Values,High,Visitor
TS-017,V00200,Safari,Desktop,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00201,Safari,Desktop,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00202,Safari,Mobile,Price_Range,Multiple_Values,High,Visitor
TS-017,V00203,Safari,Mobile,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00204,Safari,Mobile,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00205,Safari,Tablet,Price_Range,Multiple_Values,High,Visitor
TS-017,V00206,Safari,Tablet,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00207,Safari,Tablet,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00208,Edge,Desktop,Price_Range,Multiple_Values,High,Visitor
TS-017,V00209,Edge,Desktop,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00210,Edge,Desktop,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00211,Edge,Mobile,Price_Range,Multiple_Values,High,Visitor
TS-017,V00212,Edge,Mobile,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00213,Edge,Mobile,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00214,Edge,Tablet,Price_Range,Multiple_Values,High,Visitor
TS-017,V00215,Edge,Tablet,Price_Range,Multiple_Values,Medium,Visitor
TS-017,V00216,Edge,Tablet,Price_Range,Multiple_Values,Low,Visitor
TS-017,V00217,Chrome,Desktop,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00218,Chrome,Desktop,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00219,Chrome,Desktop,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00220,Chrome,Mobile,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00221,Chrome,Mobile,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00222,Chrome,Mobile,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00223,Chrome,Tablet,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00224,Chrome,Tablet,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00225,Chrome,Tablet,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00226,Firefox,Desktop,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00227,Firefox,Desktop,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00228,Firefox,Desktop,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00229,Firefox,Mobile,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00230,Firefox,Mobile,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00231,Firefox,Mobile,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00232,Firefox,Tablet,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00233,Firefox,Tablet,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00234,Firefox,Tablet,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00235,Safari,Desktop,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00236,Safari,Desktop,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00237,Safari,Desktop,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00238,Safari,Mobile,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00239,Safari,Mobile,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00240,Safari,Mobile,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00241,Safari,Tablet,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00242,Safari,Tablet,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00243,Safari,Tablet,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00244,Edge,Desktop,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00245,Edge,Desktop,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00246,Edge,Desktop,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00247,Edge,Mobile,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00248,Edge,Mobile,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00249,Edge,Mobile,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00250,Edge,Tablet,Multiple_Filters,Single_Value,High,Visitor
TS-017,V00251,Edge,Tablet,Multiple_Filters,Single_Value,Medium,Visitor
TS-017,V00252,Edge,Tablet,Multiple_Filters,Single_Value,Low,Visitor
TS-017,V00253,Chrome,Desktop,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00254,Chrome,Desktop,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00255,Chrome,Desktop,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00256,Chrome,Mobile,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00257,Chrome,Mobile,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00258,Chrome,Mobile,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00259,Chrome,Tablet,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00260,Chrome,Tablet,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00261,Chrome,Tablet,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00262,Firefox,Desktop,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00263,Firefox,Desktop,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00264,Firefox,Desktop,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00265,Firefox,Mobile,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00266,Firefox,Mobile,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00267,Firefox,Mobile,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00268,Firefox,Tablet,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00269,Firefox,Tablet,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00270,Firefox,Tablet,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00271,Safari,Desktop,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00272,Safari,Desktop,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00273,Safari,Desktop,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00274,Safari,Mobile,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00275,Safari,Mobile,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00276,Safari,Mobile,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00277,Safari,Tablet,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00278,Safari,Tablet,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00279,Safari,Tablet,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00280,Edge,Desktop,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00281,Edge,Desktop,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00282,Edge,Desktop,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00283,Edge,Mobile,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00284,Edge,Mobile,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00285,Edge,Mobile,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00286,Edge,Tablet,Multiple_Filters,Multiple_Values,High,Visitor
TS-017,V00287,Edge,Tablet,Multiple_Filters,Multiple_Values,Medium,Visitor
TS-017,V00288,Edge,Tablet,Multiple_Filters,Multiple_Values,Low,Visitor
TS-017,V00289,Chrome,Desktop,Size,Single_Value,High,Buyer
TS-017,V00290,Chrome,Desktop,Size,Single_Value,Medium,Buyer
TS-017,V00291,Chrome,Desktop,Size,Single_Value,Low,Buyer
TS-017,V00292,Chrome,Mobile,Size,Single_Value,High,Buyer
TS-017,V00293,Chrome,Mobile,Size,Single_Value,Medium,Buyer
TS-017,V00294,Chrome,Mobile,Size,Single_Value,Low,Buyer
TS-017,V00295,Chrome,Tablet,Size,Single_Value,High,Buyer
TS-017,V00296,Chrome,Tablet,Size,Single_Value,Medium,Buyer
TS-017,V00297,Chrome,Tablet,Size,Single_Value,Low,Buyer
TS-017,V00298,Firefox,Desktop,Size,Single_Value,High,Buyer
TS-017,V00299,Firefox,Desktop,Size,Single_Value,Medium,Buyer
TS-017,V00300,Firefox,Desktop,Size,Single_Value,Low,Buyer
TS-017,V00301,Firefox,Mobile,Size,Single_Value,High,Buyer
TS-017,V00302,Firefox,Mobile,Size,Single_Value,Medium,Buyer
TS-017,V00303,Firefox,Mobile,Size,Single_Value,Low,Buyer
TS-017,V00304,Firefox,Tablet,Size,Single_Value,High,Buyer
TS-017,V00305,Firefox,Tablet,Size,Single_Value,Medium,Buyer
TS-017,V00306,Firefox,Tablet,Size,Single_Value,Low,Buyer
TS-017,V00307,Safari,Desktop,Size,Single_Value,High,Buyer
TS-017,V00308,Safari,Desktop,Size,Single_Value,Medium,Buyer
TS-017,V00309,Safari,Desktop,Size,Single_Value,Low,Buyer
TS-017,V00310,Safari,Mobile,Size,Single_Value,High,Buyer
TS-017,V00311,Safari,Mobile,Size,Single_Value,Medium,Buyer
TS-017,V00312,Safari,Mobile,Size,Single_Value,Low,Buyer
TS-017,V00313,Safari,Tablet,Size,Single_Value,High,Buyer
TS-017,V00314,Safari,Tablet,Size,Single_Value,Medium,Buyer
TS-017,V00315,Safari,Tablet,Size,Single_Value,Low,Buyer
TS-017,V00316,Edge,Desktop,Size,Single_Value,High,Buyer
TS-017,V00317,Edge,Desktop,Size,Single_Value,Medium,Buyer
TS-017,V00318,Edge,Desktop,Size,Single_Value,Low,Buyer
TS-017,V00319,Edge,Mobile,Size,Single_Value,High,Buyer
TS-017,V00320,Edge,Mobile,Size,Single_Value,Medium,Buyer
TS-017,V00321,Edge,Mobile,Size,Single_Value,Low,Buyer
TS-017,V00322,Edge,Tablet,Size,Single_Value,High,Buyer
TS-017,V00323,Edge,Tablet,Size,Single_Value,Medium,Buyer
TS-017,V00324,Edge,Tablet,Size,Single_Value,Low,Buyer
TS-017,V00325,Chrome,Desktop,Size,Multiple_Values,High,Buyer
TS-017,V00326,Chrome,Desktop,Size,Multiple_Values,Medium,Buyer
TS-017,V00327,Chrome,Desktop,Size,Multiple_Values,Low,Buyer
TS-017,V00328,Chrome,Mobile,Size,Multiple_Values,High,Buyer
TS-017,V00329,Chrome,Mobile,Size,Multiple_Values,Medium,Buyer
TS-017,V00330,Chrome,Mobile,Size,Multiple_Values,Low,Buyer
TS-017,V00331,Chrome,Tablet,Size,Multiple_Values,High,Buyer
TS-017,V00332,Chrome,Tablet,Size,Multiple_Values,Medium,Buyer
TS-017,V00333,Chrome,Tablet,Size,Multiple_Values,Low,Buyer
TS-017,V00334,Firefox,Desktop,Size,Multiple_Values,High,Buyer
TS-017,V00335,Firefox,Desktop,Size,Multiple_Values,Medium,Buyer
TS-017,V00336,Firefox,Desktop,Size,Multiple_Values,Low,Buyer
TS-017,V00337,Firefox,Mobile,Size,Multiple_Values,High,Buyer
TS-017,V00338,Firefox,Mobile,Size,Multiple_Values,Medium,Buyer
TS-017,V00339,Firefox,Mobile,Size,Multiple_Values,Low,Buyer
TS-017,V00340,Firefox,Tablet,Size,Multiple_Values,High,Buyer
TS-017,V00341,Firefox,Tablet,Size,Multiple_Values,Medium,Buyer
TS-017,V00342,Firefox,Tablet,Size,Multiple_Values,Low,Buyer
TS-017,V00343,Safari,Desktop,Size,Multiple_Values,High,Buyer
TS-017,V00344,Safari,Desktop,Size,Multiple_Values,Medium,Buyer
TS-017,V00345,Safari,Desktop,Size,Multiple_Values,Low,Buyer
TS-017,V00346,Safari,Mobile,Size,Multiple_Values,High,Buyer
TS-017,V00347,Safari,Mobile,Size,Multiple_Values,Medium,Buyer
TS-017,V00348,Safari,Mobile,Size,Multiple_Values,Low,Buyer
TS-017,V00349,Safari,Tablet,Size,Multiple_Values,High,Buyer
TS-017,V00350,Safari,Tablet,Size,Multiple_Values,Medium,Buyer
TS-017,V00351,Safari,Tablet,Size,Multiple_Values,Low,Buyer
TS-017,V00352,Edge,Desktop,Size,Multiple_Values,High,Buyer
TS-017,V00353,Edge,Desktop,Size,Multiple_Values,Medium,Buyer
TS-017,V00354,Edge,Desktop,Size,Multiple_Values,Low,Buyer
TS-017,V00355,Edge,Mobile,Size,Multiple_Values,High,Buyer
TS-017,V00356,Edge,Mobile,Size,Multiple_Values,Medium,Buyer
TS-017,V00357,Edge,Mobile,Size,Multiple_Values,Low,Buyer
TS-017,V00358,Edge,Tablet,Size,Multiple_Values,High,Buyer
TS-017,V00359,Edge,Tablet,Size,Multiple_Values,Medium,Buyer
TS-017,V00360,Edge,Tablet,Size,Multiple_Values,Low,Buyer
TS-017,V00361,Chrome,Desktop,Color,Single_Value,High,Buyer
TS-017,V00362,Chrome,Desktop,Color,Single_Value,Medium,Buyer
TS-017,V00363,Chrome,Desktop,Color,Single_Value,Low,Buyer
