Scenario_ID,Variant_ID,Address_Action,Browser,Device,Network_Speed,User_Type
TS-053,V00081,Delete,Chrome,Tablet,Low,Buyer
TS-053,V00082,Delete,Firefox,Desktop,High,Buyer
TS-053,V00083,Delete,Firefox,Desktop,Medium,Buyer
TS-053,V00084,Delete,Firefox,Desktop,Low,Buyer
TS-053,V00085,Delete,Firefox,Mobile,High,Buyer
TS-053,V00086,Delete,Firefox,Mobile,Medium,Buyer
TS-053,V00087,Delete,Firefox,Mobile,Low,Buyer
TS-053,V00088,Delete,Firefox,Tablet,High,Buyer
TS-053,V00089,Delete,Firefox,Tablet,Medium,Buyer
TS-053,V00090,Delete,Firefox,Tablet,Low,Buyer
TS-053,V00091,Delete,Safari,Desktop,High,Buyer
TS-053,V00092,Delete,Safari,Desktop,Medium,Buyer
TS-053,V00093,Delete,Safari,Desktop,Low,Buyer
TS-053,V00094,Delete,Safari,Mobile,High,Buyer
TS-053,V00095,Delete,Safari,Mobile,Medium,Buyer
TS-053,V00096,Delete,Safari,Mobile,Low,Buyer
TS-053,V00097,Delete,Safari,Tablet,High,Buyer
TS-053,V00098,Delete,Safari,Tablet,Medium,Buyer
TS-053,V00099,Delete,Safari,Tablet,Low,Buyer
TS-053,V00100,Delete,Edge,Desktop,High,Buyer
TS-053,V00101,Delete,Edge,Desktop,Medium,Buyer
TS-053,V00102,Delete,Edge,Desktop,Low,Buyer
TS-053,V00103,Delete,Edge,Mobile,High,Buyer
TS-053,V00104,Delete,Edge,Mobile,Medium,Buyer
TS-053,V00105,Delete,Edge,Mobile,Low,Buyer
TS-053,V00106,Delete,Edge,Tablet,High,Buyer
TS-053,V00107,Delete,Edge,Tablet,Medium,Buyer
TS-053,V00108,Delete,Edge,Tablet,Low,Buyer
TS-053,V00109,Set_Default,Chrome,Desktop,High,Buyer
TS-053,V00110,Set_Default,Chrome,Desktop,Medium,Buyer
TS-053,V00111,Set_Default,Chrome,Desktop,Low,Buyer
TS-053,V00112,Set_Default,Chrome,Mobile,High,Buyer
TS-053,V00113,Set_Default,Chrome,Mobile,Medium,Buyer
TS-053,V00114,Set_Default,Chrome,Mobile,Low,Buyer
TS-053,V00115,Set_Default,Chrome,Tablet,High,Buyer
TS-053,V00116,Set_Default,Chrome,Tablet,Medium,Buyer
TS-053,V00117,Set_Default,Chrome,Tablet,Low,Buyer
TS-053,V00118,Set_Default,Firefox,Desktop,High,Buyer
TS-053,V00119,Set_Default,Firefox,Desktop,Medium,Buyer
TS-053,V00120,Set_Default,Firefox,Desktop,Low,Buyer
TS-053,V00121,Set_Default,Firefox,Mobile,High,Buyer
TS-053,V00122,Set_Default,Firefox,Mobile,Medium,Buyer
TS-053,V00123,Set_Default,Firefox,Mobile,Low,Buyer
TS-053,V00124,Set_Default,Firefox,Tablet,High,Buyer
TS-053,V00125,Set_Default,Firefox,Tablet,Medium,Buyer
TS-053,V00126,Set_Default,Firefox,Tablet,Low,Buyer
TS-053,V00127,Set_Default,Safari,Desktop,High,Buyer
TS-053,V00128,Set_Default,Safari,Desktop,Medium,Buyer
TS-053,V00129,Set_Default,Safari,Desktop,Low,Buyer
TS-053,V00130,Set_Default,Safari,Mobile,High,Buyer
TS-053,V00131,Set_Default,Safari,Mobile,Medium,Buyer
TS-053,V00132,Set_Default,Safari,Mobile,Low,Buyer
TS-053,V00133,Set_Default,Safari,Tablet,High,Buyer
TS-053,V00134,Set_Default,Safari,Tablet,Medium,Buyer
TS-053,V00135,Set_Default,Safari,Tablet,Low,Buyer
TS-053,V00136,Set_Default,Edge,Desktop,High,Buyer
TS-053,V00137,Set_Default,Edge,Desktop,Medium,Buyer
TS-053,V00138,Set_Default,Edge,Desktop,Low,Buyer
TS-053,V00139,Set_Default,Edge,Mobile,High,Buyer
TS-053,V00140,Set_Default,Edge,Mobile,Medium,Buyer
TS-053,V00141,Set_Default,Edge,Mobile,Low,Buyer
TS-053,V00142,Set_Default,Edge,Tablet,High,Buyer
TS-053,V00143,Set_Default,Edge,Tablet,Medium,Buyer
TS-053,V00144,Set_Default,Edge,Tablet,Low,Buyer
