Scenario_ID,Variant_ID,Browser,Device,Email_Format,Input_Validity,Network_Speed,User_Type
TS-002,V00045,Chrome,Tablet,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00046,Firefox,Desktop,Invalid_Domain,Invalid,High,Visitor
TS-002,V00047,Firefox,Desktop,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00048,Firefox,Desktop,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00049,Firefox,Mobile,Invalid_Domain,Invalid,High,Visitor
TS-002,V00050,Firefox,Mobile,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00051,Firefox,Mobile,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00052,Firefox,Tablet,Invalid_Domain,Invalid,High,Visitor
TS-002,V00053,Firefox,Tablet,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00054,Firefox,Tablet,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00055,Safari,Desktop,Invalid_Domain,Invalid,High,Visitor
TS-002,V00056,Safari,Desktop,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00057,Safari,Desktop,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00058,Safari,Mobile,Invalid_Domain,Invalid,High,Visitor
TS-002,V00059,Safari,Mobile,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00060,Safari,Mobile,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00061,Safari,Tablet,Invalid_Domain,Invalid,High,Visitor
TS-002,V00062,Safari,Tablet,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00063,Safari,Tablet,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00064,Edge,Desktop,Invalid_Domain,Invalid,High,Visitor
TS-002,V00065,Edge,Desktop,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00066,Edge,Desktop,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00067,Edge,Mobile,Invalid_Domain,Invalid,High,Visitor
TS-002,V00068,Edge,Mobile,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00069,Edge,Mobile,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00070,Edge,Tablet,Invalid_Domain,Invalid,High,Visitor
TS-002,V00071,Edge,Tablet,Invalid_Domain,Invalid,Medium,Visitor
TS-002,V00072,Edge,Tablet,Invalid_Domain,Invalid,Low,Visitor
TS-002,V00073,Chrome,Desktop,Special_Chars,Invalid,High,Visitor
TS-002,V00074,Chrome,Desktop,Special_Chars,Invalid,Medium,Visitor
TS-002,V00075,Chrome,Desktop,Special_Chars,Invalid,Low,Visitor
TS-002,V00076,Chrome,Mobile,Special_Chars,Invalid,High,Visitor
TS-002,V00077,Chrome,Mobile,Special_Chars,Invalid,Medium,Visitor
TS-002,V00078,Chrome,Mobile,Special_Chars,Invalid,Low,Visitor
TS-002,V00079,Chrome,Tablet,Special_Chars,Invalid,High,Visitor
TS-002,V00080,Chrome,Tablet,Special_Chars,Invalid,Medium,Visitor
TS-002,V00081,Chrome,Tablet,Special_Chars,Invalid,Low,Visitor
TS-002,V00082,Firefox,Desktop,Special_Chars,Invalid,High,Visitor
TS-002,V00083,Firefox,Desktop,Special_Chars,Invalid,Medium,Visitor
TS-002,V00084,Firefox,Desktop,Special_Chars,Invalid,Low,Visitor
TS-002,V00085,Firefox,Mobile,Special_Chars,Invalid,High,Visitor
TS-002,V00086,Firefox,Mobile,Special_Chars,Invalid,Medium,Visitor
TS-002,V00087,Firefox,Mobile,Special_Chars,Invalid,Low,Visitor
TS-002,V00088,Firefox,Tablet,Special_Chars,Invalid,High,Visitor
TS-002,V00089,Firefox,Tablet,Special_Chars,Invalid,Medium,Visitor
TS-002,V00090,Firefox,Tablet,Special_Chars,Invalid,Low,Visitor
TS-002,V00091,Safari,Desktop,Special_Chars,Invalid,High,Visitor
TS-002,V00092,Safari,Desktop,Special_Chars,Invalid,Medium,Visitor
TS-002,V00093,Safari,Desktop,Special_Chars,Invalid,Low,Visitor
TS-002,V00094,Safari,Mobile,Special_Chars,Invalid,High,Visitor
TS-002,V00095,Safari,Mobile,Special_Chars,Invalid,Medium,Visitor
TS-002,V00096,Safari,Mobile,Special_Chars,Invalid,Low,Visitor
TS-002,V00097,Safari,Tablet,Special_Chars,Invalid,High,Visitor
TS-002,V00098,Safari,Tablet,Special_Chars,Invalid,Medium,Visitor
TS-002,V00099,Safari,Tablet,Special_Chars,Invalid,Low,Visitor
TS-002,V00100,Edge,Desktop,Special_Chars,Invalid,High,Visitor
TS-002,V00101,Edge,Desktop,Special_Chars,Invalid,Medium,Visitor
TS-002,V00102,Edge,Desktop,Special_Chars,Invalid,Low,Visitor
TS-002,V00103,Edge,Mobile,Special_Chars,Invalid,High,Visitor
TS-002,V00104,Edge,Mobile,Special_Chars,Invalid,Medium,Visitor
TS-002,V00105,Edge,Mobile,Special_Chars,Invalid,Low,Visitor
TS-002,V00106,Edge,Tablet,Special_Chars,Invalid,High,Visitor
TS-002,V00107,Edge,Tablet,Special_Chars,Invalid,Medium,Visitor
TS-002,V00108,Edge,Tablet,Special_Chars,Invalid,Low,Visitor
TS-002,V00109,Chrome,Desktop,No_Domain,Invalid,High,Visitor
TS-002,V00110,Chrome,Desktop,No_Domain,Invalid,Medium,Visitor
TS-002,V00111,Chrome,Desktop,No_Domain,Invalid,Low,Visitor
TS-002,V00112,Chrome,Mobile,No_Domain,Invalid,High,Visitor
TS-002,V00113,Chrome,Mobile,No_Domain,Invalid,Medium,Visitor
TS-002,V00114,Chrome,Mobile,No_Domain,Invalid,Low,Visitor
TS-002,V00115,Chrome,Tablet,No_Domain,Invalid,High,Visitor
TS-002,V00116,Chrome,Tablet,No_Domain,Invalid,Medium,Visitor
TS-002,V00117,Chrome,Tablet,No_Domain,Invalid,Low,Visitor
TS-002,V00118,Firefox,Desktop,No_Domain,Invalid,High,Visitor
TS-002,V00119,Firefox,Desktop,No_Domain,Invalid,Medium,Visitor
TS-002,V00120,Firefox,Desktop,No_Domain,Invalid,Low,Visitor
TS-002,V00121,Firefox,Mobile,No_Domain,Invalid,High,Visitor
TS-002,V00122,Firefox,Mobile,No_Domain,Invalid,Medium,Visitor
TS-002,V00123,Firefox,Mobile,No_Domain,Invalid,Low,Visitor
TS-002,V00124,Firefox,Tablet,No_Domain,Invalid,High,Visitor
TS-002,V00125,Firefox,Tablet,No_Domain,Invalid,Medium,Visitor
TS-002,V00126,Firefox,Tablet,No_Domain,Invalid,Low,Visitor
TS-002,V00127,Safari,Desktop,No_Domain,Invalid,High,Visitor
TS-002,V00128,Safari,Desktop,No_Domain,Invalid,Medium,Visitor
TS-002,V00129,Safari,Desktop,No_Domain,Invalid,Low,Visitor
TS-002,V00130,Safari,Mobile,No_Domain,Invalid,High,Visitor
TS-002,V00131,Safari,Mobile,No_Domain,Invalid,Medium,Visitor
TS-002,V00132,Safari,Mobile,No_Domain,Invalid,Low,Visitor
TS-002,V00133,Safari,Tablet,No_Domain,Invalid,High,Visitor
TS-002,V00134,Safari,Tablet,No_Domain,Invalid,Medium,Visitor
TS-002,V00135,Safari,Tablet,No_Domain,Invalid,Low,Visitor
TS-002,V00136,Edge,Desktop,No_Domain,Invalid,High,Visitor
TS-002,V00137,Edge,Desktop,No_Domain,Invalid,Medium,Visitor
TS-002,V00138,Edge,Desktop,No_Domain,Invalid,Low,Visitor
TS-002,V00139,Edge,Mobile,No_Domain,Invalid,High,Visitor
TS-002,V00140,Edge,Mobile,No_Domain,Invalid,Medium,Visitor
TS-002,V00141,Edge,Mobile,No_Domain,Invalid,Low,Visitor
TS-002,V00142,Edge,Tablet,No_Domain,Invalid,High,Visitor
TS-002,V00143,Edge,Tablet,No_Domain,Invalid,Medium,Visitor
TS-002,V00144,Edge,Tablet,No_Domain,Invalid,Low,Visitor
