Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_State,User_Type,Wishlist_State
TS-030,V00061,Safari,Tablet,High,Out_Of_Stock,Buyer,Empty
TS-030,V00062,Safari,Tablet,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00063,Safari,Tablet,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00064,Edge,Desktop,High,Out_Of_Stock,Buyer,Empty
TS-030,V00065,Edge,Desktop,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00066,Edge,Desktop,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00067,Edge,Mobile,High,Out_Of_Stock,Buyer,Empty
TS-030,V00068,Edge,Mobile,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00069,Edge,Mobile,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00070,Edge,Tablet,High,Out_Of_Stock,Buyer,Empty
TS-030,V00071,Edge,Tablet,Medium,Out_Of_Stock,Buyer,Empty
TS-030,V00072,Edge,Tablet,Low,Out_Of_Stock,Buyer,Empty
TS-030,V00073,Chrome,Desktop,High,In_Stock,Buyer,Has_Items
TS-030,V00074,Chrome,Desktop,Medium,In_Stock,Buyer,Has_Items
TS-030,V00075,Chrome,Desktop,Low,In_Stock,Buyer,Has_Items
TS-030,V00076,Chrome,Mobile,High,In_Stock,Buyer,Has_Items
TS-030,V00077,Chrome,Mobile,Medium,In_Stock,Buyer,Has_Items
TS-030,V00078,Chrome,Mobile,Low,In_Stock,Buyer,Has_Items
TS-030,V00079,Chrome,Tablet,High,In_Stock,Buyer,Has_Items
TS-030,V00080,Chrome,Tablet,Medium,In_Stock,Buyer,Has_Items
TS-030,V00081,Chrome,Tablet,Low,In_Stock,Buyer,Has_Items
TS-030,V00082,Firefox,Desktop,High,In_Stock,Buyer,Has_Items
TS-030,V00083,Firefox,Desktop,Medium,In_Stock,Buyer,Has_Items
TS-030,V00084,Firefox,Desktop,Low,In_Stock,Buyer,Has_Items
TS-030,V00085,Firefox,Mobile,High,In_Stock,Buyer,Has_Items
TS-030,V00086,Firefox,Mobile,Medium,In_Stock,Buyer,Has_Items
TS-030,V00087,Firefox,Mobile,Low,In_Stock,Buyer,Has_Items
TS-030,V00088,Firefox,Tablet,High,In_Stock,Buyer,Has_Items
TS-030,V00089,Firefox,Tablet,Medium,In_Stock,Buyer,Has_Items
TS-030,V00090,Firefox,Tablet,Low,In_Stock,Buyer,Has_Items
TS-030,V00091,Safari,Desktop,High,In_Stock,Buyer,Has_Items
TS-030,V00092,Safari,Desktop,Medium,In_Stock,Buyer,Has_Items
TS-030,V00093,Safari,Desktop,Low,In_Stock,Buyer,Has_Items
TS-030,V00094,Safari,Mobile,High,In_Stock,Buyer,Has_Items
TS-030,V00095,Safari,Mobile,Medium,In_Stock,Buyer,Has_Items
TS-030,V00096,Safari,Mobile,Low,In_Stock,Buyer,Has_Items
TS-030,V00097,Safari,Tablet,High,In_Stock,Buyer,Has_Items
TS-030,V00098,Safari,Tablet,Medium,In_Stock,Buyer,Has_Items
TS-030,V00099,Safari,Tablet,Low,In_Stock,Buyer,Has_Items
TS-030,V00100,Edge,Desktop,High,In_Stock,Buyer,Has_Items
TS-030,V00101,Edge,Desktop,Medium,In_Stock,Buyer,Has_Items
TS-030,V00102,Edge,Desktop,Low,In_Stock,Buyer,Has_Items
TS-030,V00103,Edge,Mobile,High,In_Stock,Buyer,Has_Items
TS-030,V00104,Edge,Mobile,Medium,In_Stock,Buyer,Has_Items
TS-030,V00105,Edge,Mobile,Low,In_Stock,Buyer,Has_Items
TS-030,V00106,Edge,Tablet,High,In_Stock,Buyer,Has_Items
TS-030,V00107,Edge,Tablet,Medium,In_Stock,Buyer,Has_Items
TS-030,V00108,Edge,Tablet,Low,In_Stock,Buyer,Has_Items
TS-030,V00109,Chrome,Desktop,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00110,Chrome,Desktop,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00111,Chrome,Desktop,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00112,Chrome,Mobile,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00113,Chrome,Mobile,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00114,Chrome,Mobile,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00115,Chrome,Tablet,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00116,Chrome,Tablet,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00117,Chrome,Tablet,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00118,Firefox,Desktop,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00119,Firefox,Desktop,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00120,Firefox,Desktop,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00121,Firefox,Mobile,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00122,Firefox,Mobile,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00123,Firefox,Mobile,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00124,Firefox,Tablet,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00125,Firefox,Tablet,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00126,Firefox,Tablet,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00127,Safari,Desktop,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00128,Safari,Desktop,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00129,Safari,Desktop,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00130,Safari,Mobile,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00131,Safari,Mobile,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00132,Safari,Mobile,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00133,Safari,Tablet,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00134,Safari,Tablet,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00135,Safari,Tablet,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00136,Edge,Desktop,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00137,Edge,Desktop,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00138,Edge,Desktop,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00139,Edge,Mobile,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00140,Edge,Mobile,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00141,Edge,Mobile,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00142,Edge,Tablet,High,Out_Of_Stock,Buyer,Has_Items
TS-030,V00143,Edge,Tablet,Medium,Out_Of_Stock,Buyer,Has_Items
TS-030,V00144,Edge,Tablet,Low,Out_Of_Stock,Buyer,Has_Items
TS-030,V00145,Chrome,Desktop,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00146,Chrome,Desktop,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00147,Chrome,Desktop,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00148,Chrome,Mobile,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00149,Chrome,Mobile,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00150,Chrome,Mobile,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00151,Chrome,Tablet,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00152,Chrome,Tablet,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00153,Chrome,Tablet,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00154,Firefox,Desktop,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00155,Firefox,Desktop,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00156,Firefox,Desktop,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00157,Firefox,Mobile,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00158,Firefox,Mobile,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00159,Firefox,Mobile,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00160,Firefox,Tablet,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00161,Firefox,Tablet,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00162,Firefox,Tablet,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00163,Safari,Desktop,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00164,Safari,Desktop,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00165,Safari,Desktop,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00166,Safari,Mobile,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00167,Safari,Mobile,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00168,Safari,Mobile,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00169,Safari,Tablet,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00170,Safari,Tablet,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00171,Safari,Tablet,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00172,Edge,Desktop,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00173,Edge,Desktop,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00174,Edge,Desktop,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00175,Edge,Mobile,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00176,Edge,Mobile,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00177,Edge,Mobile,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00178,Edge,Tablet,High,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00179,Edge,Tablet,Medium,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00180,Edge,Tablet,Low,In_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00181,Chrome,Desktop,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00182,Chrome,Desktop,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00183,Chrome,Desktop,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00184,Chrome,Mobile,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00185,Chrome,Mobile,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00186,Chrome,Mobile,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00187,Chrome,Tablet,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00188,Chrome,Tablet,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00189,Chrome,Tablet,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00190,Firefox,Desktop,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00191,Firefox,Desktop,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00192,Firefox,Desktop,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00193,Firefox,Mobile,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00194,Firefox,Mobile,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00195,Firefox,Mobile,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00196,Firefox,Tablet,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00197,Firefox,Tablet,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00198,Firefox,Tablet,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00199,Safari,Desktop,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00200,Safari,Desktop,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00201,Safari,Desktop,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00202,Safari,Mobile,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00203,Safari,Mobile,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00204,Safari,Mobile,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00205,Safari,Tablet,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00206,Safari,Tablet,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00207,Safari,Tablet,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00208,Edge,Desktop,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00209,Edge,Desktop,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00210,Edge,Desktop,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00211,Edge,Mobile,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00212,Edge,Mobile,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00213,Edge,Mobile,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00214,Edge,Tablet,High,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00215,Edge,Tablet,Medium,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
TS-030,V00216,Edge,Tablet,Low,Out_Of_Stock,Buyer,Product_Already_In_Wishlist
