Requirement_ID,Requirement_Description,Priority,Type,Affected_Roles,Source_Page,Source_Excerpt,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-019,"Admin user will be able to Add/Edit/Active/Inactive products in catalog from this section. Admin user will also be able to manage following information of the products: Product name, Images, Description, Keywords, Variations (color, size).",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-093, TS-094, TS-095, TS-096, TS-097",No,Covered,Test scenarios defined but scripts not created
REQ-020,Ability for the admin to view/edit payment information i.e. bank account details to receive orders payments from buyers. Admin user will be able to view payment status of each order placed by the buyers. Stripe payment gateway will be used for online payment gateway integration.,Medium,Functional,Admin,N/A,N/A,"TS-051, TS-052, TS-053, TS-054, TS-098, TS-099, TS-100",No,Covered,Test scenarios defined but scripts not created
REQ-021,Admin user will be able to approve/reject ratings and reviews posted by the buyers for products.,Medium,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-101, TS-102",No,Covered,Test scenarios defined but scripts not created
REQ-022,"User will be able to view the following reports in system: Products uploaded (Date: From-To, Month, Year), Revenue/total sale (Today, Current week, Date: From-To, Month, Year). Admin user will be able to export reports into pdf and excel format.",High,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-103, TS-104, TS-105, TS-106",No,Covered,Test scenarios defined but scripts not created
REQ-023,Admin user will be able to create/edit/delete/active/inactive sub-users to operate the various sectional operations in system.,High,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-024,Ability to add/edit/delete/active/inactive sub-admin users with role based access.,High,Functional,"Admin, Sub-Admin",N/A,N/A,TS-016,No,Covered,Test scenarios defined but scripts not created
REQ-025,"Admin user will be able to edit the content for below CMS pages: About us, Contact us, Privacy policy, Terms and conditions.",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-026,"Admin user will be able to add/edit/delete content for emails to be sent to buyers regarding new product launch, offers, and promotions.",Medium,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-027,Admin user will be able to view queries/complaints/feedbacks received from the buyers. Admin will also receive an email regarding the feedback/complaints and queries sent by the buyers.,High,Functional,"Admin, Sub-Admin",N/A,N/A,TS-075,No,Covered,Test scenarios defined but scripts not created
REQ-028,The website repository shall accommodate up to 100 users concurrently.,High,Performance,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-029,Web pages should not take more than 30 seconds to load in good speed of internet.,High,Performance,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-030,Web pages should not get broken and display page not found error if page is not available.,High,Non-Functional,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-031,SSL security and encryption for online payments.,Critical,Security,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
