Scenario_ID,Variant_ID,Browser,Cart_Items,Device,Network_Speed,Shipping_Cost,Tax_Applicable,User_Type
TS-043,V00188,Chrome,Single,Tablet,Medium,Free,No,Buyer
TS-043,V00189,Chrome,Single,Tablet,Low,Free,No,Buyer
TS-043,V00190,Firefox,Single,Desktop,High,Free,No,Buyer
TS-043,V00191,Firefox,Single,Desktop,Medium,Free,No,Buyer
TS-043,V00192,Firefox,Single,Desktop,Low,Free,No,Buyer
TS-043,V00193,Firefox,Single,Mobile,High,Free,No,Buyer
TS-043,V00194,Firefox,Single,Mobile,Medium,Free,No,Buyer
TS-043,V00195,Firefox,Single,Mobile,Low,Free,No,Buyer
TS-043,V00196,Firefox,Single,Tablet,High,Free,No,Buyer
TS-043,V00197,Firefox,Single,Tablet,Medium,Free,No,Buyer
TS-043,V00198,Firefox,Single,Tablet,Low,Free,No,Buyer
TS-043,V00199,Safari,Single,Desktop,High,Free,No,Buyer
TS-043,V00200,Safari,Single,Desktop,Medium,Free,No,Buyer
TS-043,V00201,Safari,Single,Desktop,Low,Free,No,Buyer
TS-043,V00202,Safari,Single,Mobile,High,Free,No,Buyer
TS-043,V00203,Safari,Single,Mobile,Medium,Free,No,Buyer
TS-043,V00204,Safari,Single,Mobile,Low,Free,No,Buyer
TS-043,V00205,Safari,Single,Tablet,High,Free,No,Buyer
TS-043,V00206,Safari,Single,Tablet,Medium,Free,No,Buyer
TS-043,V00207,Safari,Single,Tablet,Low,Free,No,Buyer
TS-043,V00208,Edge,Single,Desktop,High,Free,No,Buyer
TS-043,V00209,Edge,Single,Desktop,Medium,Free,No,Buyer
TS-043,V00210,Edge,Single,Desktop,Low,Free,No,Buyer
TS-043,V00211,Edge,Single,Mobile,High,Free,No,Buyer
TS-043,V00212,Edge,Single,Mobile,Medium,Free,No,Buyer
TS-043,V00213,Edge,Single,Mobile,Low,Free,No,Buyer
TS-043,V00214,Edge,Single,Tablet,High,Free,No,Buyer
TS-043,V00215,Edge,Single,Tablet,Medium,Free,No,Buyer
TS-043,V00216,Edge,Single,Tablet,Low,Free,No,Buyer
TS-043,V00217,Chrome,Multiple,Desktop,High,Standard,Yes,Buyer
TS-043,V00218,Chrome,Multiple,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00219,Chrome,Multiple,Desktop,Low,Standard,Yes,Buyer
TS-043,V00220,Chrome,Multiple,Mobile,High,Standard,Yes,Buyer
TS-043,V00221,Chrome,Multiple,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00222,Chrome,Multiple,Mobile,Low,Standard,Yes,Buyer
TS-043,V00223,Chrome,Multiple,Tablet,High,Standard,Yes,Buyer
TS-043,V00224,Chrome,Multiple,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00225,Chrome,Multiple,Tablet,Low,Standard,Yes,Buyer
TS-043,V00226,Firefox,Multiple,Desktop,High,Standard,Yes,Buyer
TS-043,V00227,Firefox,Multiple,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00228,Firefox,Multiple,Desktop,Low,Standard,Yes,Buyer
TS-043,V00229,Firefox,Multiple,Mobile,High,Standard,Yes,Buyer
TS-043,V00230,Firefox,Multiple,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00231,Firefox,Multiple,Mobile,Low,Standard,Yes,Buyer
TS-043,V00232,Firefox,Multiple,Tablet,High,Standard,Yes,Buyer
TS-043,V00233,Firefox,Multiple,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00234,Firefox,Multiple,Tablet,Low,Standard,Yes,Buyer
TS-043,V00235,Safari,Multiple,Desktop,High,Standard,Yes,Buyer
TS-043,V00236,Safari,Multiple,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00237,Safari,Multiple,Desktop,Low,Standard,Yes,Buyer
TS-043,V00238,Safari,Multiple,Mobile,High,Standard,Yes,Buyer
TS-043,V00239,Safari,Multiple,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00240,Safari,Multiple,Mobile,Low,Standard,Yes,Buyer
TS-043,V00241,Safari,Multiple,Tablet,High,Standard,Yes,Buyer
TS-043,V00242,Safari,Multiple,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00243,Safari,Multiple,Tablet,Low,Standard,Yes,Buyer
TS-043,V00244,Edge,Multiple,Desktop,High,Standard,Yes,Buyer
TS-043,V00245,Edge,Multiple,Desktop,Medium,Standard,Yes,Buyer
TS-043,V00246,Edge,Multiple,Desktop,Low,Standard,Yes,Buyer
TS-043,V00247,Edge,Multiple,Mobile,High,Standard,Yes,Buyer
TS-043,V00248,Edge,Multiple,Mobile,Medium,Standard,Yes,Buyer
TS-043,V00249,Edge,Multiple,Mobile,Low,Standard,Yes,Buyer
TS-043,V00250,Edge,Multiple,Tablet,High,Standard,Yes,Buyer
TS-043,V00251,Edge,Multiple,Tablet,Medium,Standard,Yes,Buyer
TS-043,V00252,Edge,Multiple,Tablet,Low,Standard,Yes,Buyer
TS-043,V00253,Chrome,Multiple,Desktop,High,Standard,No,Buyer
TS-043,V00254,Chrome,Multiple,Desktop,Medium,Standard,No,Buyer
TS-043,V00255,Chrome,Multiple,Desktop,Low,Standard,No,Buyer
TS-043,V00256,Chrome,Multiple,Mobile,High,Standard,No,Buyer
TS-043,V00257,Chrome,Multiple,Mobile,Medium,Standard,No,Buyer
TS-043,V00258,Chrome,Multiple,Mobile,Low,Standard,No,Buyer
TS-043,V00259,Chrome,Multiple,Tablet,High,Standard,No,Buyer
TS-043,V00260,Chrome,Multiple,Tablet,Medium,Standard,No,Buyer
TS-043,V00261,Chrome,Multiple,Tablet,Low,Standard,No,Buyer
TS-043,V00262,Firefox,Multiple,Desktop,High,Standard,No,Buyer
TS-043,V00263,Firefox,Multiple,Desktop,Medium,Standard,No,Buyer
TS-043,V00264,Firefox,Multiple,Desktop,Low,Standard,No,Buyer
TS-043,V00265,Firefox,Multiple,Mobile,High,Standard,No,Buyer
TS-043,V00266,Firefox,Multiple,Mobile,Medium,Standard,No,Buyer
TS-043,V00267,Firefox,Multiple,Mobile,Low,Standard,No,Buyer
TS-043,V00268,Firefox,Multiple,Tablet,High,Standard,No,Buyer
TS-043,V00269,Firefox,Multiple,Tablet,Medium,Standard,No,Buyer
TS-043,V00270,Firefox,Multiple,Tablet,Low,Standard,No,Buyer
TS-043,V00271,Safari,Multiple,Desktop,High,Standard,No,Buyer
TS-043,V00272,Safari,Multiple,Desktop,Medium,Standard,No,Buyer
TS-043,V00273,Safari,Multiple,Desktop,Low,Standard,No,Buyer
TS-043,V00274,Safari,Multiple,Mobile,High,Standard,No,Buyer
TS-043,V00275,Safari,Multiple,Mobile,Medium,Standard,No,Buyer
TS-043,V00276,Safari,Multiple,Mobile,Low,Standard,No,Buyer
TS-043,V00277,Safari,Multiple,Tablet,High,Standard,No,Buyer
TS-043,V00278,Safari,Multiple,Tablet,Medium,Standard,No,Buyer
TS-043,V00279,Safari,Multiple,Tablet,Low,Standard,No,Buyer
TS-043,V00280,Edge,Multiple,Desktop,High,Standard,No,Buyer
TS-043,V00281,Edge,Multiple,Desktop,Medium,Standard,No,Buyer
TS-043,V00282,Edge,Multiple,Desktop,Low,Standard,No,Buyer
TS-043,V00283,Edge,Multiple,Mobile,High,Standard,No,Buyer
TS-043,V00284,Edge,Multiple,Mobile,Medium,Standard,No,Buyer
TS-043,V00285,Edge,Multiple,Mobile,Low,Standard,No,Buyer
TS-043,V00286,Edge,Multiple,Tablet,High,Standard,No,Buyer
TS-043,V00287,Edge,Multiple,Tablet,Medium,Standard,No,Buyer
TS-043,V00288,Edge,Multiple,Tablet,Low,Standard,No,Buyer
TS-043,V00289,Chrome,Multiple,Desktop,High,Express,Yes,Buyer
TS-043,V00290,Chrome,Multiple,Desktop,Medium,Express,Yes,Buyer
TS-043,V00291,Chrome,Multiple,Desktop,Low,Express,Yes,Buyer
TS-043,V00292,Chrome,Multiple,Mobile,High,Express,Yes,Buyer
TS-043,V00293,Chrome,Multiple,Mobile,Medium,Express,Yes,Buyer
TS-043,V00294,Chrome,Multiple,Mobile,Low,Express,Yes,Buyer
TS-043,V00295,Chrome,Multiple,Tablet,High,Express,Yes,Buyer
TS-043,V00296,Chrome,Multiple,Tablet,Medium,Express,Yes,Buyer
TS-043,V00297,Chrome,Multiple,Tablet,Low,Express,Yes,Buyer
TS-043,V00298,Firefox,Multiple,Desktop,High,Express,Yes,Buyer
TS-043,V00299,Firefox,Multiple,Desktop,Medium,Express,Yes,Buyer
TS-043,V00300,Firefox,Multiple,Desktop,Low,Express,Yes,Buyer
TS-043,V00301,Firefox,Multiple,Mobile,High,Express,Yes,Buyer
TS-043,V00302,Firefox,Multiple,Mobile,Medium,Express,Yes,Buyer
TS-043,V00303,Firefox,Multiple,Mobile,Low,Express,Yes,Buyer
TS-043,V00304,Firefox,Multiple,Tablet,High,Express,Yes,Buyer
TS-043,V00305,Firefox,Multiple,Tablet,Medium,Express,Yes,Buyer
TS-043,V00306,Firefox,Multiple,Tablet,Low,Express,Yes,Buyer
TS-043,V00307,Safari,Multiple,Desktop,High,Express,Yes,Buyer
TS-043,V00308,Safari,Multiple,Desktop,Medium,Express,Yes,Buyer
TS-043,V00309,Safari,Multiple,Desktop,Low,Express,Yes,Buyer
TS-043,V00310,Safari,Multiple,Mobile,High,Express,Yes,Buyer
TS-043,V00311,Safari,Multiple,Mobile,Medium,Express,Yes,Buyer
TS-043,V00312,Safari,Multiple,Mobile,Low,Express,Yes,Buyer
TS-043,V00313,Safari,Multiple,Tablet,High,Express,Yes,Buyer
TS-043,V00314,Safari,Multiple,Tablet,Medium,Express,Yes,Buyer
TS-043,V00315,Safari,Multiple,Tablet,Low,Express,Yes,Buyer
TS-043,V00316,Edge,Multiple,Desktop,High,Express,Yes,Buyer
TS-043,V00317,Edge,Multiple,Desktop,Medium,Express,Yes,Buyer
TS-043,V00318,Edge,Multiple,Desktop,Low,Express,Yes,Buyer
TS-043,V00319,Edge,Multiple,Mobile,High,Express,Yes,Buyer
TS-043,V00320,Edge,Multiple,Mobile,Medium,Express,Yes,Buyer
TS-043,V00321,Edge,Multiple,Mobile,Low,Express,Yes,Buyer
TS-043,V00322,Edge,Multiple,Tablet,High,Express,Yes,Buyer
TS-043,V00323,Edge,Multiple,Tablet,Medium,Express,Yes,Buyer
TS-043,V00324,Edge,Multiple,Tablet,Low,Express,Yes,Buyer
TS-043,V00325,Chrome,Multiple,Desktop,High,Express,No,Buyer
TS-043,V00326,Chrome,Multiple,Desktop,Medium,Express,No,Buyer
TS-043,V00327,Chrome,Multiple,Desktop,Low,Express,No,Buyer
TS-043,V00328,Chrome,Multiple,Mobile,High,Express,No,Buyer
TS-043,V00329,Chrome,Multiple,Mobile,Medium,Express,No,Buyer
TS-043,V00330,Chrome,Multiple,Mobile,Low,Express,No,Buyer
TS-043,V00331,Chrome,Multiple,Tablet,High,Express,No,Buyer
TS-043,V00332,Chrome,Multiple,Tablet,Medium,Express,No,Buyer
TS-043,V00333,Chrome,Multiple,Tablet,Low,Express,No,Buyer
TS-043,V00334,Firefox,Multiple,Desktop,High,Express,No,Buyer
TS-043,V00335,Firefox,Multiple,Desktop,Medium,Express,No,Buyer
TS-043,V00336,Firefox,Multiple,Desktop,Low,Express,No,Buyer
TS-043,V00337,Firefox,Multiple,Mobile,High,Express,No,Buyer
TS-043,V00338,Firefox,Multiple,Mobile,Medium,Express,No,Buyer
TS-043,V00339,Firefox,Multiple,Mobile,Low,Express,No,Buyer
TS-043,V00340,Firefox,Multiple,Tablet,High,Express,No,Buyer
TS-043,V00341,Firefox,Multiple,Tablet,Medium,Express,No,Buyer
TS-043,V00342,Firefox,Multiple,Tablet,Low,Express,No,Buyer
TS-043,V00343,Safari,Multiple,Desktop,High,Express,No,Buyer
TS-043,V00344,Safari,Multiple,Desktop,Medium,Express,No,Buyer
TS-043,V00345,Safari,Multiple,Desktop,Low,Express,No,Buyer
TS-043,V00346,Safari,Multiple,Mobile,High,Express,No,Buyer
TS-043,V00347,Safari,Multiple,Mobile,Medium,Express,No,Buyer
TS-043,V00348,Safari,Multiple,Mobile,Low,Express,No,Buyer
TS-043,V00349,Safari,Multiple,Tablet,High,Express,No,Buyer
TS-043,V00350,Safari,Multiple,Tablet,Medium,Express,No,Buyer
TS-043,V00351,Safari,Multiple,Tablet,Low,Express,No,Buyer
TS-043,V00352,Edge,Multiple,Desktop,High,Express,No,Buyer
TS-043,V00353,Edge,Multiple,Desktop,Medium,Express,No,Buyer
TS-043,V00354,Edge,Multiple,Desktop,Low,Express,No,Buyer
TS-043,V00355,Edge,Multiple,Mobile,High,Express,No,Buyer
TS-043,V00356,Edge,Multiple,Mobile,Medium,Express,No,Buyer
TS-043,V00357,Edge,Multiple,Mobile,Low,Express,No,Buyer
TS-043,V00358,Edge,Multiple,Tablet,High,Express,No,Buyer
TS-043,V00359,Edge,Multiple,Tablet,Medium,Express,No,Buyer
TS-043,V00360,Edge,Multiple,Tablet,Low,Express,No,Buyer
TS-043,V00361,Chrome,Multiple,Desktop,High,Free,Yes,Buyer
TS-043,V00362,Chrome,Multiple,Desktop,Medium,Free,Yes,Buyer
TS-043,V00363,Chrome,Multiple,Desktop,Low,Free,Yes,Buyer
TS-043,V00364,Chrome,Multiple,Mobile,High,Free,Yes,Buyer
TS-043,V00365,Chrome,Multiple,Mobile,Medium,Free,Yes,Buyer
TS-043,V00366,Chrome,Multiple,Mobile,Low,Free,Yes,Buyer
TS-043,V00367,Chrome,Multiple,Tablet,High,Free,Yes,Buyer
TS-043,V00368,Chrome,Multiple,Tablet,Medium,Free,Yes,Buyer
TS-043,V00369,Chrome,Multiple,Tablet,Low,Free,Yes,Buyer
TS-043,V00370,Firefox,Multiple,Desktop,High,Free,Yes,Buyer
TS-043,V00371,Firefox,Multiple,Desktop,Medium,Free,Yes,Buyer
TS-043,V00372,Firefox,Multiple,Desktop,Low,Free,Yes,Buyer
TS-043,V00373,Firefox,Multiple,Mobile,High,Free,Yes,Buyer
TS-043,V00374,Firefox,Multiple,Mobile,Medium,Free,Yes,Buyer
TS-043,V00375,Firefox,Multiple,Mobile,Low,Free,Yes,Buyer
TS-043,V00376,Firefox,Multiple,Tablet,High,Free,Yes,Buyer
TS-043,V00377,Firefox,Multiple,Tablet,Medium,Free,Yes,Buyer
