Scenario_ID,Variant_ID,Browser,Buyer_Filter,Device,Network_Speed,User_Type
TS-065,V00079,Chrome,Inactive,Tablet,High,Admin
TS-065,V00080,Chrome,Inactive,Tablet,Medium,Admin
TS-065,V00081,Chrome,Inactive,Tablet,Low,Admin
TS-065,V00082,Firefox,Inactive,Desktop,High,Admin
TS-065,V00083,Firefox,Inactive,Desktop,Medium,Admin
TS-065,V00084,Firefox,Inactive,Desktop,Low,Admin
TS-065,V00085,Firefox,Inactive,Mobile,High,Admin
TS-065,V00086,Firefox,Inactive,Mobile,Medium,Admin
TS-065,V00087,Firefox,Inactive,Mobile,Low,Admin
TS-065,V00088,Firefox,Inactive,Tablet,High,Admin
TS-065,V00089,Firefox,Inactive,Tablet,Medium,Admin
TS-065,V00090,Firefox,Inactive,Tablet,Low,Admin
TS-065,V00091,Safari,Inactive,Desktop,High,Admin
TS-065,V00092,Safari,Inactive,Desktop,Medium,Admin
TS-065,V00093,Safari,Inactive,Desktop,Low,Admin
TS-065,V00094,Safari,Inactive,Mobile,High,Admin
TS-065,V00095,Safari,Inactive,Mobile,Medium,Admin
TS-065,V00096,Safari,Inactive,Mobile,Low,Admin
TS-065,V00097,Safari,Inactive,Tablet,High,Admin
TS-065,V00098,Safari,Inactive,Tablet,Medium,Admin
TS-065,V00099,Safari,Inactive,Tablet,Low,Admin
TS-065,V00100,Edge,Inactive,Desktop,High,Admin
TS-065,V00101,Edge,Inactive,Desktop,Medium,Admin
TS-065,V00102,Edge,Inactive,Desktop,Low,Admin
TS-065,V00103,Edge,Inactive,Mobile,High,Admin
TS-065,V00104,Edge,Inactive,Mobile,Medium,Admin
TS-065,V00105,Edge,Inactive,Mobile,Low,Admin
TS-065,V00106,Edge,Inactive,Tablet,High,Admin
TS-065,V00107,Edge,Inactive,Tablet,Medium,Admin
TS-065,V00108,Edge,Inactive,Tablet,Low,Admin
