Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,User_Type
TS-012,V00029,Edge,Desktop,Not_Registered,Invalid,Medium,Visitor
TS-012,V00030,Edge,Desktop,Not_Registered,Invalid,Low,Visitor
TS-012,V00031,Edge,Mobile,Not_Registered,Invalid,High,Visitor
TS-012,V00032,Edge,Mobile,Not_Registered,Invalid,Medium,Visitor
TS-012,V00033,Edge,Mobile,Not_Registered,Invalid,Low,Visitor
TS-012,V00034,Edge,Tablet,Not_Registered,Invalid,High,Visitor
TS-012,V00035,Edge,Tablet,Not_Registered,Invalid,Medium,Visitor
TS-012,V00036,Edge,Tablet,Not_Registered,Invalid,Low,Visitor
TS-012,V00037,Chrome,Desktop,Invalid_Format,Invalid,High,Visitor
TS-012,V00038,Chrome,Desktop,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00039,Chrome,Desktop,Invalid_Format,Invalid,Low,Visitor
TS-012,V00040,Chrome,Mobile,Invalid_Format,Invalid,High,Visitor
TS-012,V00041,Chrome,Mobile,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00042,Chrome,Mobile,Invalid_Format,Invalid,Low,Visitor
TS-012,V00043,Chrome,Tablet,Invalid_Format,Invalid,High,Visitor
TS-012,V00044,Chrome,Tablet,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00045,Chrome,Tablet,Invalid_Format,Invalid,Low,Visitor
TS-012,V00046,Firefox,Desktop,Invalid_Format,Invalid,High,Visitor
TS-012,V00047,Firefox,Desktop,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00048,Firefox,Desktop,Invalid_Format,Invalid,Low,Visitor
TS-012,V00049,Firefox,Mobile,Invalid_Format,Invalid,High,Visitor
TS-012,V00050,Firefox,Mobile,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00051,Firefox,Mobile,Invalid_Format,Invalid,Low,Visitor
TS-012,V00052,Firefox,Tablet,Invalid_Format,Invalid,High,Visitor
TS-012,V00053,Firefox,Tablet,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00054,Firefox,Tablet,Invalid_Format,Invalid,Low,Visitor
TS-012,V00055,Safari,Desktop,Invalid_Format,Invalid,High,Visitor
TS-012,V00056,Safari,Desktop,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00057,Safari,Desktop,Invalid_Format,Invalid,Low,Visitor
TS-012,V00058,Safari,Mobile,Invalid_Format,Invalid,High,Visitor
TS-012,V00059,Safari,Mobile,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00060,Safari,Mobile,Invalid_Format,Invalid,Low,Visitor
TS-012,V00061,Safari,Tablet,Invalid_Format,Invalid,High,Visitor
TS-012,V00062,Safari,Tablet,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00063,Safari,Tablet,Invalid_Format,Invalid,Low,Visitor
TS-012,V00064,Edge,Desktop,Invalid_Format,Invalid,High,Visitor
TS-012,V00065,Edge,Desktop,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00066,Edge,Desktop,Invalid_Format,Invalid,Low,Visitor
TS-012,V00067,Edge,Mobile,Invalid_Format,Invalid,High,Visitor
TS-012,V00068,Edge,Mobile,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00069,Edge,Mobile,Invalid_Format,Invalid,Low,Visitor
TS-012,V00070,Edge,Tablet,Invalid_Format,Invalid,High,Visitor
TS-012,V00071,Edge,Tablet,Invalid_Format,Invalid,Medium,Visitor
TS-012,V00072,Edge,Tablet,Invalid_Format,Invalid,Low,Visitor
