Variant_ID,User_Type,Life_Event_Type,Plan_Type,Coverage_Level,Enrollment_Method,Action_Item_Status,Document_Status,Benefits_Relationship,Number_Of_Dependents,Payment_Method
V051,New Hire,New Hire,Medical,Family,Self-Service,Pending,Approved,Multiple Assignments,3,Payroll Deduction
V052,Active Employee,Marriage,Medical,Employee+Spouse,Self-Service,Completed,Approved,Multiple Assignments,1,Payroll Deduction
V053,Active Employee,Open Enrollment,Medical,Family,Self-Service,N/A,N/A,Multiple Assignments,2,Payroll Deduction
V054,Active Employee,Open Enrollment,Dental,Employee+Children,Self-Service,N/A,N/A,Multiple Assignments,2,Payroll Deduction
V055,New Hire,New Hire,Medical,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Payroll Deduction
V056,New Hire,New Hire,Dental,Employee+Spouse,Administrator-Assisted,Pending,Approved,Single Assignment,1,Payroll Deduction
V057,Active Employee,Marriage,Dental,Employee+Spouse,Administrator-Assisted,Completed,Approved,Single Assignment,1,Payroll Deduction
V058,Active Employee,Birth,Dental,Family,Self-Service,Pending,Pending Approval,Single Assignment,2,Payroll Deduction
V059,Active Employee,Open Enrollment,Medical,Employee+Children,Self-Service,N/A,N/A,Single Assignment,2,Payroll Deduction
V060,Active Employee,Open Enrollment,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V061,Active Employee,Open Enrollment,Vision,Family,Default Enrollment,N/A,N/A,Single Assignment,2,Payroll Deduction
V062,Active Employee,Open Enrollment,Life Insurance,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Payroll Deduction
V063,Active Employee,Open Enrollment,Disability,Employee Only,Default Enrollment,N/A,N/A,Single Assignment,0,Payroll Deduction
V064,New Hire,New Hire,Medical,Employee+Children,Self-Service,Completed,Approved,Single Assignment,2,Payroll Deduction
V065,New Hire,New Hire,Dental,Employee+Children,Self-Service,Pending,Pending Approval,Single Assignment,2,Payroll Deduction
V066,New Hire,New Hire,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V067,New Hire,New Hire,Vision,Family,Self-Service,Completed,Approved,Single Assignment,3,Payroll Deduction
V068,Active Employee,Adoption,Dental,Family,Self-Service,Completed,Approved,Single Assignment,2,Payroll Deduction
V069,Active Employee,Spouse Loss of Coverage,Medical,Family,Self-Service,Pending,Pending Approval,Single Assignment,3,Payroll Deduction
V070,Active Employee,Spouse Loss of Coverage,Vision,Employee+Spouse,Self-Service,Completed,Approved,Single Assignment,1,Payroll Deduction
V071,Active Employee,Death of Dependent,Dental,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V072,Active Employee,Address Change,Dental,Family,Self-Service,N/A,N/A,Single Assignment,2,Payroll Deduction
V073,Active Employee,Salary Change,Dental,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V074,Active Employee,Length of Service,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V075,Active Employee,Age Milestone,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V076,Terminated Employee,Termination,Vision,Employee Only,Administrator-Assisted,N/A,N/A,Single Assignment,0,Direct Bill
V077,Terminated Employee,Termination,Life Insurance,N/A,Administrator-Assisted,N/A,N/A,Single Assignment,N/A,N/A
V078,Active Employee,Return from Leave,Dental,Family,Self-Service,N/A,N/A,Single Assignment,2,Payroll Deduction
V079,Active Employee,Late Life Event,Vision,Employee+Children,Administrator-Assisted,Pending,Approved,Single Assignment,2,Payroll Deduction
V080,New Hire,New Hire,Disability,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V081,Active Employee,Marriage,Vision,Employee+Spouse,Self-Service,Completed,Approved,Single Assignment,1,Payroll Deduction
V082,Active Employee,Birth,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V083,Active Employee,Divorce,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V084,Active Employee,Dependent Age Out,Dental,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V085,Active Employee,Death of Dependent,Vision,Employee+Spouse,Self-Service,N/A,N/A,Single Assignment,1,Payroll Deduction
V086,Active Employee,Address Change,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V087,Active Employee,Salary Change,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V088,Active Employee,Salary Change,Life Insurance,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V089,Active Employee,Length of Service,Vision,Employee Only,Self-Service,N/A,N/A,Single Assignment,0,Payroll Deduction
V090,Active Employee,Open Enrollment,Retirement,N/A,Self-Service,N/A,N/A,Single Assignment,N/A,N/A
V091,New Hire,New Hire,Medical,Family,Default Enrollment,N/A,N/A,Single Assignment,2,Payroll Deduction
V092,New Hire,New Hire,Dental,Employee Only,Default Enrollment,N/A,N/A,Single Assignment,0,Payroll Deduction
V093,Active Employee,Open Enrollment,Medical,Employee Only,Default Enrollment,N/A,N/A,Single Assignment,0,Payroll Deduction
V094,Active Employee,Open Enrollment,Dental,Employee Only,Default Enrollment,N/A,N/A,Single Assignment,0,Payroll Deduction
V095,Active Employee,Marriage,Medical,Family,Self-Service,Suspended,Pending Approval,Single Assignment,2,Payroll Deduction
V096,Active Employee,Birth,Medical,Employee+Children,Administrator-Assisted,Completed,Approved,Single Assignment,1,Payroll Deduction
V097,Active Employee,Adoption,Medical,Employee+Children,Administrator-Assisted,Pending,Pending Approval,Single Assignment,1,Payroll Deduction
V098,Active Employee,Divorce,Dental,Employee+Children,Self-Service,N/A,N/A,Single Assignment,1,Payroll Deduction
V099,Active Employee,Spouse Loss of Coverage,Dental,Employee+Spouse,Self-Service,Completed,Approved,Single Assignment,1,Payroll Deduction
V100,Active Employee,Dependent Age Out,Medical,Employee+Spouse,Self-Service,N/A,N/A,Single Assignment,1,Payroll Deduction
