Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Order_Details,User_Type
TS-072,V00090,Firefox,Tablet,Low,With_Payment,Admin
TS-072,V00091,Safari,Desktop,High,With_Payment,Admin
TS-072,V00092,Safari,Desktop,Medium,With_Payment,Admin
TS-072,V00093,Safari,Desktop,Low,With_Payment,Admin
TS-072,V00094,Safari,Mobile,High,With_Payment,Admin
TS-072,V00095,Safari,Mobile,Medium,With_Payment,Admin
TS-072,V00096,Safari,Mobile,Low,With_Payment,Admin
TS-072,V00097,Safari,Tablet,High,With_Payment,Admin
TS-072,V00098,Safari,Tablet,Medium,With_Payment,Admin
TS-072,V00099,Safari,Tablet,Low,With_Payment,Admin
TS-072,V00100,Edge,Desktop,High,With_Payment,Admin
TS-072,V00101,Edge,Desktop,Medium,With_Payment,Admin
TS-072,V00102,Edge,Desktop,Low,With_Payment,Admin
TS-072,V00103,Edge,Mobile,High,With_Payment,Admin
TS-072,V00104,Edge,Mobile,Medium,With_Payment,Admin
TS-072,V00105,Edge,Mobile,Low,With_Payment,Admin
TS-072,V00106,Edge,Tablet,High,With_Payment,Admin
TS-072,V00107,Edge,Tablet,Medium,With_Payment,Admin
TS-072,V00108,Edge,Tablet,Low,With_Payment,Admin
