Scenario_ID,Variant_ID,Browser,Device,Edit_Type,Network_Speed,User_Type
TS-097,V00079,Chrome,Tablet,Role,High,Admin
TS-097,V00080,Chrome,Tablet,Role,Medium,Admin
TS-097,V00081,Chrome,Tablet,Role,Low,Admin
TS-097,V00082,Firefox,Desktop,Role,High,Admin
TS-097,V00083,Firefox,Desktop,Role,Medium,Admin
TS-097,V00084,Firefox,Desktop,Role,Low,Admin
TS-097,V00085,Firefox,Mobile,Role,High,Admin
TS-097,V00086,Firefox,Mobile,Role,Medium,Admin
TS-097,V00087,Firefox,Mobile,Role,Low,Admin
TS-097,V00088,Firefox,Tablet,Role,High,Admin
TS-097,V00089,Firefox,Tablet,Role,Medium,Admin
TS-097,V00090,Firefox,Tablet,Role,Low,Admin
TS-097,V00091,Safari,Desktop,Role,High,Admin
TS-097,V00092,Safari,Desktop,Role,Medium,Admin
TS-097,V00093,Safari,Desktop,Role,Low,Admin
TS-097,V00094,Safari,Mobile,Role,High,Admin
TS-097,V00095,Safari,Mobile,Role,Medium,Admin
TS-097,V00096,Safari,Mobile,Role,Low,Admin
TS-097,V00097,Safari,Tablet,Role,High,Admin
TS-097,V00098,Safari,Tablet,Role,Medium,Admin
TS-097,V00099,Safari,Tablet,Role,Low,Admin
TS-097,V00100,Edge,Desktop,Role,High,Admin
TS-097,V00101,Edge,Desktop,Role,Medium,Admin
TS-097,V00102,Edge,Desktop,Role,Low,Admin
TS-097,V00103,Edge,Mobile,Role,High,Admin
TS-097,V00104,Edge,Mobile,Role,Medium,Admin
TS-097,V00105,Edge,Mobile,Role,Low,Admin
TS-097,V00106,Edge,Tablet,Role,High,Admin
TS-097,V00107,Edge,Tablet,Role,Medium,Admin
TS-097,V00108,Edge,Tablet,Role,Low,Admin
