Scenario_ID,Variant_ID,Browser,Device,Message_Type,Network_Speed,User_Type
TS-059,V00042,Chrome,Mobile,Complaint,Low,Buyer
TS-059,V00043,Chrome,Tablet,Complaint,High,Buyer
TS-059,V00044,Chrome,Tablet,Complaint,Medium,Buyer
TS-059,V00045,Chrome,Tablet,Complaint,Low,Buyer
TS-059,V00046,Firefox,Desktop,Complaint,High,Buyer
TS-059,V00047,Firefox,Desktop,Complaint,Medium,Buyer
TS-059,V00048,Firefox,Desktop,Complaint,Low,Buyer
TS-059,V00049,Firefox,Mobile,Complaint,High,Buyer
TS-059,V00050,Firefox,Mobile,Complaint,Medium,Buyer
TS-059,V00051,Firefox,Mobile,Complaint,Low,Buyer
TS-059,V00052,Firefox,Tablet,Complaint,High,Buyer
TS-059,V00053,Firefox,Tablet,Complaint,Medium,Buyer
TS-059,V00054,Firefox,Tablet,Complaint,Low,Buyer
TS-059,V00055,Safari,Desktop,Complaint,High,Buyer
TS-059,V00056,Safari,Desktop,Complaint,Medium,Buyer
TS-059,V00057,Safari,Desktop,Complaint,Low,Buyer
TS-059,V00058,Safari,Mobile,Complaint,High,Buyer
TS-059,V00059,Safari,Mobile,Complaint,Medium,Buyer
TS-059,V00060,Safari,Mobile,Complaint,Low,Buyer
TS-059,V00061,Safari,Tablet,Complaint,High,Buyer
TS-059,V00062,Safari,Tablet,Complaint,Medium,Buyer
TS-059,V00063,Safari,Tablet,Complaint,Low,Buyer
TS-059,V00064,Edge,Desktop,Complaint,High,Buyer
TS-059,V00065,Edge,Desktop,Complaint,Medium,Buyer
TS-059,V00066,Edge,Desktop,Complaint,Low,Buyer
TS-059,V00067,Edge,Mobile,Complaint,High,Buyer
TS-059,V00068,Edge,Mobile,Complaint,Medium,Buyer
TS-059,V00069,Edge,Mobile,Complaint,Low,Buyer
TS-059,V00070,Edge,Tablet,Complaint,High,Buyer
TS-059,V00071,Edge,Tablet,Complaint,Medium,Buyer
TS-059,V00072,Edge,Tablet,Complaint,Low,Buyer
TS-059,V00073,Chrome,Desktop,Feedback,High,Buyer
TS-059,V00074,Chrome,Desktop,Feedback,Medium,Buyer
TS-059,V00075,Chrome,Desktop,Feedback,Low,Buyer
TS-059,V00076,Chrome,Mobile,Feedback,High,Buyer
TS-059,V00077,Chrome,Mobile,Feedback,Medium,Buyer
TS-059,V00078,Chrome,Mobile,Feedback,Low,Buyer
TS-059,V00079,Chrome,Tablet,Feedback,High,Buyer
TS-059,V00080,Chrome,Tablet,Feedback,Medium,Buyer
TS-059,V00081,Chrome,Tablet,Feedback,Low,Buyer
TS-059,V00082,Firefox,Desktop,Feedback,High,Buyer
TS-059,V00083,Firefox,Desktop,Feedback,Medium,Buyer
TS-059,V00084,Firefox,Desktop,Feedback,Low,Buyer
TS-059,V00085,Firefox,Mobile,Feedback,High,Buyer
TS-059,V00086,Firefox,Mobile,Feedback,Medium,Buyer
TS-059,V00087,Firefox,Mobile,Feedback,Low,Buyer
TS-059,V00088,Firefox,Tablet,Feedback,High,Buyer
TS-059,V00089,Firefox,Tablet,Feedback,Medium,Buyer
TS-059,V00090,Firefox,Tablet,Feedback,Low,Buyer
TS-059,V00091,Safari,Desktop,Feedback,High,Buyer
TS-059,V00092,Safari,Desktop,Feedback,Medium,Buyer
TS-059,V00093,Safari,Desktop,Feedback,Low,Buyer
TS-059,V00094,Safari,Mobile,Feedback,High,Buyer
TS-059,V00095,Safari,Mobile,Feedback,Medium,Buyer
TS-059,V00096,Safari,Mobile,Feedback,Low,Buyer
TS-059,V00097,Safari,Tablet,Feedback,High,Buyer
TS-059,V00098,Safari,Tablet,Feedback,Medium,Buyer
TS-059,V00099,Safari,Tablet,Feedback,Low,Buyer
TS-059,V00100,Edge,Desktop,Feedback,High,Buyer
TS-059,V00101,Edge,Desktop,Feedback,Medium,Buyer
TS-059,V00102,Edge,Desktop,Feedback,Low,Buyer
TS-059,V00103,Edge,Mobile,Feedback,High,Buyer
TS-059,V00104,Edge,Mobile,Feedback,Medium,Buyer
TS-059,V00105,Edge,Mobile,Feedback,Low,Buyer
TS-059,V00106,Edge,Tablet,Feedback,High,Buyer
TS-059,V00107,Edge,Tablet,Feedback,Medium,Buyer
TS-059,V00108,Edge,Tablet,Feedback,Low,Buyer
