Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,Product_State,User_Type
TS-034,V00031,Edge,Empty,Mobile,High,In_Stock,Buyer
TS-034,V00032,Edge,Empty,Mobile,Medium,In_Stock,Buyer
TS-034,V00033,Edge,Empty,Mobile,Low,In_Stock,Buyer
TS-034,V00034,Edge,Empty,Tablet,High,In_Stock,Buyer
TS-034,V00035,Edge,Empty,Tablet,Medium,In_Stock,Buyer
TS-034,V00036,Edge,Empty,Tablet,Low,In_Stock,Buyer
TS-034,V00037,Chrome,Has_Items,Desktop,High,In_Stock,Buyer
TS-034,V00038,Chrome,Has_Items,Desktop,Medium,In_Stock,Buyer
TS-034,V00039,Chrome,Has_Items,Desktop,Low,In_Stock,Buyer
TS-034,V00040,Chrome,Has_Items,Mobile,High,In_Stock,Buyer
TS-034,V00041,Chrome,Has_Items,Mobile,Medium,In_Stock,Buyer
TS-034,V00042,Chrome,Has_Items,Mobile,Low,In_Stock,Buyer
TS-034,V00043,Chrome,Has_Items,Tablet,High,In_Stock,Buyer
TS-034,V00044,Chrome,Has_Items,Tablet,Medium,In_Stock,Buyer
TS-034,V00045,Chrome,Has_Items,Tablet,Low,In_Stock,Buyer
TS-034,V00046,Firefox,Has_Items,Desktop,High,In_Stock,Buyer
TS-034,V00047,Firefox,Has_Items,Desktop,Medium,In_Stock,Buyer
TS-034,V00048,Firefox,Has_Items,Desktop,Low,In_Stock,Buyer
TS-034,V00049,Firefox,Has_Items,Mobile,High,In_Stock,Buyer
TS-034,V00050,Firefox,Has_Items,Mobile,Medium,In_Stock,Buyer
TS-034,V00051,Firefox,Has_Items,Mobile,Low,In_Stock,Buyer
TS-034,V00052,Firefox,Has_Items,Tablet,High,In_Stock,Buyer
TS-034,V00053,Firefox,Has_Items,Tablet,Medium,In_Stock,Buyer
TS-034,V00054,Firefox,Has_Items,Tablet,Low,In_Stock,Buyer
TS-034,V00055,Safari,Has_Items,Desktop,High,In_Stock,Buyer
TS-034,V00056,Safari,Has_Items,Desktop,Medium,In_Stock,Buyer
TS-034,V00057,Safari,Has_Items,Desktop,Low,In_Stock,Buyer
TS-034,V00058,Safari,Has_Items,Mobile,High,In_Stock,Buyer
TS-034,V00059,Safari,Has_Items,Mobile,Medium,In_Stock,Buyer
TS-034,V00060,Safari,Has_Items,Mobile,Low,In_Stock,Buyer
TS-034,V00061,Safari,Has_Items,Tablet,High,In_Stock,Buyer
TS-034,V00062,Safari,Has_Items,Tablet,Medium,In_Stock,Buyer
TS-034,V00063,Safari,Has_Items,Tablet,Low,In_Stock,Buyer
TS-034,V00064,Edge,Has_Items,Desktop,High,In_Stock,Buyer
TS-034,V00065,Edge,Has_Items,Desktop,Medium,In_Stock,Buyer
TS-034,V00066,Edge,Has_Items,Desktop,Low,In_Stock,Buyer
TS-034,V00067,Edge,Has_Items,Mobile,High,In_Stock,Buyer
TS-034,V00068,Edge,Has_Items,Mobile,Medium,In_Stock,Buyer
TS-034,V00069,Edge,Has_Items,Mobile,Low,In_Stock,Buyer
TS-034,V00070,Edge,Has_Items,Tablet,High,In_Stock,Buyer
TS-034,V00071,Edge,Has_Items,Tablet,Medium,In_Stock,Buyer
TS-034,V00072,Edge,Has_Items,Tablet,Low,In_Stock,Buyer
TS-034,V00073,Chrome,Empty,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00074,Chrome,Empty,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00075,Chrome,Empty,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00076,Chrome,Empty,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00077,Chrome,Empty,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00078,Chrome,Empty,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00079,Chrome,Empty,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00080,Chrome,Empty,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00081,Chrome,Empty,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00082,Firefox,Empty,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00083,Firefox,Empty,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00084,Firefox,Empty,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00085,Firefox,Empty,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00086,Firefox,Empty,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00087,Firefox,Empty,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00088,Firefox,Empty,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00089,Firefox,Empty,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00090,Firefox,Empty,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00091,Safari,Empty,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00092,Safari,Empty,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00093,Safari,Empty,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00094,Safari,Empty,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00095,Safari,Empty,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00096,Safari,Empty,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00097,Safari,Empty,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00098,Safari,Empty,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00099,Safari,Empty,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00100,Edge,Empty,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00101,Edge,Empty,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00102,Edge,Empty,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00103,Edge,Empty,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00104,Edge,Empty,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00105,Edge,Empty,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00106,Edge,Empty,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00107,Edge,Empty,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00108,Edge,Empty,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00109,Chrome,Has_Items,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00110,Chrome,Has_Items,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00111,Chrome,Has_Items,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00112,Chrome,Has_Items,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00113,Chrome,Has_Items,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00114,Chrome,Has_Items,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00115,Chrome,Has_Items,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00116,Chrome,Has_Items,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00117,Chrome,Has_Items,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00118,Firefox,Has_Items,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00119,Firefox,Has_Items,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00120,Firefox,Has_Items,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00121,Firefox,Has_Items,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00122,Firefox,Has_Items,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00123,Firefox,Has_Items,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00124,Firefox,Has_Items,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00125,Firefox,Has_Items,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00126,Firefox,Has_Items,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00127,Safari,Has_Items,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00128,Safari,Has_Items,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00129,Safari,Has_Items,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00130,Safari,Has_Items,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00131,Safari,Has_Items,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00132,Safari,Has_Items,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00133,Safari,Has_Items,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00134,Safari,Has_Items,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00135,Safari,Has_Items,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00136,Edge,Has_Items,Desktop,High,Out_Of_Stock,Buyer
TS-034,V00137,Edge,Has_Items,Desktop,Medium,Out_Of_Stock,Buyer
TS-034,V00138,Edge,Has_Items,Desktop,Low,Out_Of_Stock,Buyer
TS-034,V00139,Edge,Has_Items,Mobile,High,Out_Of_Stock,Buyer
TS-034,V00140,Edge,Has_Items,Mobile,Medium,Out_Of_Stock,Buyer
TS-034,V00141,Edge,Has_Items,Mobile,Low,Out_Of_Stock,Buyer
TS-034,V00142,Edge,Has_Items,Tablet,High,Out_Of_Stock,Buyer
TS-034,V00143,Edge,Has_Items,Tablet,Medium,Out_Of_Stock,Buyer
TS-034,V00144,Edge,Has_Items,Tablet,Low,Out_Of_Stock,Buyer
TS-034,V00145,Chrome,Empty,Desktop,High,Price_Changed,Buyer
TS-034,V00146,Chrome,Empty,Desktop,Medium,Price_Changed,Buyer
TS-034,V00147,Chrome,Empty,Desktop,Low,Price_Changed,Buyer
TS-034,V00148,Chrome,Empty,Mobile,High,Price_Changed,Buyer
TS-034,V00149,Chrome,Empty,Mobile,Medium,Price_Changed,Buyer
TS-034,V00150,Chrome,Empty,Mobile,Low,Price_Changed,Buyer
TS-034,V00151,Chrome,Empty,Tablet,High,Price_Changed,Buyer
TS-034,V00152,Chrome,Empty,Tablet,Medium,Price_Changed,Buyer
TS-034,V00153,Chrome,Empty,Tablet,Low,Price_Changed,Buyer
TS-034,V00154,Firefox,Empty,Desktop,High,Price_Changed,Buyer
TS-034,V00155,Firefox,Empty,Desktop,Medium,Price_Changed,Buyer
TS-034,V00156,Firefox,Empty,Desktop,Low,Price_Changed,Buyer
TS-034,V00157,Firefox,Empty,Mobile,High,Price_Changed,Buyer
TS-034,V00158,Firefox,Empty,Mobile,Medium,Price_Changed,Buyer
TS-034,V00159,Firefox,Empty,Mobile,Low,Price_Changed,Buyer
TS-034,V00160,Firefox,Empty,Tablet,High,Price_Changed,Buyer
TS-034,V00161,Firefox,Empty,Tablet,Medium,Price_Changed,Buyer
TS-034,V00162,Firefox,Empty,Tablet,Low,Price_Changed,Buyer
TS-034,V00163,Safari,Empty,Desktop,High,Price_Changed,Buyer
TS-034,V00164,Safari,Empty,Desktop,Medium,Price_Changed,Buyer
TS-034,V00165,Safari,Empty,Desktop,Low,Price_Changed,Buyer
TS-034,V00166,Safari,Empty,Mobile,High,Price_Changed,Buyer
TS-034,V00167,Safari,Empty,Mobile,Medium,Price_Changed,Buyer
TS-034,V00168,Safari,Empty,Mobile,Low,Price_Changed,Buyer
TS-034,V00169,Safari,Empty,Tablet,High,Price_Changed,Buyer
TS-034,V00170,Safari,Empty,Tablet,Medium,Price_Changed,Buyer
TS-034,V00171,Safari,Empty,Tablet,Low,Price_Changed,Buyer
TS-034,V00172,Edge,Empty,Desktop,High,Price_Changed,Buyer
TS-034,V00173,Edge,Empty,Desktop,Medium,Price_Changed,Buyer
TS-034,V00174,Edge,Empty,Desktop,Low,Price_Changed,Buyer
TS-034,V00175,Edge,Empty,Mobile,High,Price_Changed,Buyer
TS-034,V00176,Edge,Empty,Mobile,Medium,Price_Changed,Buyer
TS-034,V00177,Edge,Empty,Mobile,Low,Price_Changed,Buyer
TS-034,V00178,Edge,Empty,Tablet,High,Price_Changed,Buyer
TS-034,V00179,Edge,Empty,Tablet,Medium,Price_Changed,Buyer
TS-034,V00180,Edge,Empty,Tablet,Low,Price_Changed,Buyer
TS-034,V00181,Chrome,Has_Items,Desktop,High,Price_Changed,Buyer
TS-034,V00182,Chrome,Has_Items,Desktop,Medium,Price_Changed,Buyer
TS-034,V00183,Chrome,Has_Items,Desktop,Low,Price_Changed,Buyer
TS-034,V00184,Chrome,Has_Items,Mobile,High,Price_Changed,Buyer
TS-034,V00185,Chrome,Has_Items,Mobile,Medium,Price_Changed,Buyer
TS-034,V00186,Chrome,Has_Items,Mobile,Low,Price_Changed,Buyer
TS-034,V00187,Chrome,Has_Items,Tablet,High,Price_Changed,Buyer
TS-034,V00188,Chrome,Has_Items,Tablet,Medium,Price_Changed,Buyer
TS-034,V00189,Chrome,Has_Items,Tablet,Low,Price_Changed,Buyer
TS-034,V00190,Firefox,Has_Items,Desktop,High,Price_Changed,Buyer
TS-034,V00191,Firefox,Has_Items,Desktop,Medium,Price_Changed,Buyer
TS-034,V00192,Firefox,Has_Items,Desktop,Low,Price_Changed,Buyer
TS-034,V00193,Firefox,Has_Items,Mobile,High,Price_Changed,Buyer
TS-034,V00194,Firefox,Has_Items,Mobile,Medium,Price_Changed,Buyer
TS-034,V00195,Firefox,Has_Items,Mobile,Low,Price_Changed,Buyer
TS-034,V00196,Firefox,Has_Items,Tablet,High,Price_Changed,Buyer
TS-034,V00197,Firefox,Has_Items,Tablet,Medium,Price_Changed,Buyer
TS-034,V00198,Firefox,Has_Items,Tablet,Low,Price_Changed,Buyer
TS-034,V00199,Safari,Has_Items,Desktop,High,Price_Changed,Buyer
TS-034,V00200,Safari,Has_Items,Desktop,Medium,Price_Changed,Buyer
TS-034,V00201,Safari,Has_Items,Desktop,Low,Price_Changed,Buyer
TS-034,V00202,Safari,Has_Items,Mobile,High,Price_Changed,Buyer
TS-034,V00203,Safari,Has_Items,Mobile,Medium,Price_Changed,Buyer
TS-034,V00204,Safari,Has_Items,Mobile,Low,Price_Changed,Buyer
TS-034,V00205,Safari,Has_Items,Tablet,High,Price_Changed,Buyer
TS-034,V00206,Safari,Has_Items,Tablet,Medium,Price_Changed,Buyer
TS-034,V00207,Safari,Has_Items,Tablet,Low,Price_Changed,Buyer
TS-034,V00208,Edge,Has_Items,Desktop,High,Price_Changed,Buyer
TS-034,V00209,Edge,Has_Items,Desktop,Medium,Price_Changed,Buyer
TS-034,V00210,Edge,Has_Items,Desktop,Low,Price_Changed,Buyer
TS-034,V00211,Edge,Has_Items,Mobile,High,Price_Changed,Buyer
TS-034,V00212,Edge,Has_Items,Mobile,Medium,Price_Changed,Buyer
TS-034,V00213,Edge,Has_Items,Mobile,Low,Price_Changed,Buyer
TS-034,V00214,Edge,Has_Items,Tablet,High,Price_Changed,Buyer
TS-034,V00215,Edge,Has_Items,Tablet,Medium,Price_Changed,Buyer
TS-034,V00216,Edge,Has_Items,Tablet,Low,Price_Changed,Buyer
