Scenario_ID,Variant_ID,Browser,Device,Edit_Field,Network_Speed,User_Type
TS-067,V00036,Edge,Tablet,Name,Low,Admin
TS-067,V00037,Chrome,Desktop,Email,High,Admin
TS-067,V00038,Chrome,Desktop,Email,Medium,Admin
TS-067,V00039,Chrome,Desktop,Email,Low,Admin
TS-067,V00040,Chrome,Mobile,Email,High,Admin
TS-067,V00041,Chrome,Mobile,Email,Medium,Admin
TS-067,V00042,Chrome,Mobile,Email,Low,Admin
TS-067,V00043,Chrome,Tablet,Email,High,Admin
TS-067,V00044,Chrome,Tablet,Email,Medium,Admin
TS-067,V00045,Chrome,Tablet,Email,Low,Admin
TS-067,V00046,Firefox,Desktop,Email,High,Admin
TS-067,V00047,Firefox,Desktop,Email,Medium,Admin
TS-067,V00048,Firefox,Desktop,Email,Low,Admin
TS-067,V00049,Firefox,Mobile,Email,High,Admin
TS-067,V00050,Firefox,Mobile,Email,Medium,Admin
TS-067,V00051,Firefox,Mobile,Email,Low,Admin
TS-067,V00052,Firefox,Tablet,Email,High,Admin
TS-067,V00053,Firefox,Tablet,Email,Medium,Admin
TS-067,V00054,Firefox,Tablet,Email,Low,Admin
TS-067,V00055,Safari,Desktop,Email,High,Admin
TS-067,V00056,Safari,Desktop,Email,Medium,Admin
TS-067,V00057,Safari,Desktop,Email,Low,Admin
TS-067,V00058,Safari,Mobile,Email,High,Admin
TS-067,V00059,Safari,Mobile,Email,Medium,Admin
TS-067,V00060,Safari,Mobile,Email,Low,Admin
TS-067,V00061,Safari,Tablet,Email,High,Admin
TS-067,V00062,Safari,Tablet,Email,Medium,Admin
TS-067,V00063,Safari,Tablet,Email,Low,Admin
TS-067,V00064,Edge,Desktop,Email,High,Admin
TS-067,V00065,Edge,Desktop,Email,Medium,Admin
TS-067,V00066,Edge,Desktop,Email,Low,Admin
TS-067,V00067,Edge,Mobile,Email,High,Admin
TS-067,V00068,Edge,Mobile,Email,Medium,Admin
TS-067,V00069,Edge,Mobile,Email,Low,Admin
TS-067,V00070,Edge,Tablet,Email,High,Admin
TS-067,V00071,Edge,Tablet,Email,Medium,Admin
TS-067,V00072,Edge,Tablet,Email,Low,Admin
TS-067,V00073,Chrome,Desktop,Phone,High,Admin
TS-067,V00074,Chrome,Desktop,Phone,Medium,Admin
TS-067,V00075,Chrome,Desktop,Phone,Low,Admin
TS-067,V00076,Chrome,Mobile,Phone,High,Admin
TS-067,V00077,Chrome,Mobile,Phone,Medium,Admin
TS-067,V00078,Chrome,Mobile,Phone,Low,Admin
TS-067,V00079,Chrome,Tablet,Phone,High,Admin
TS-067,V00080,Chrome,Tablet,Phone,Medium,Admin
TS-067,V00081,Chrome,Tablet,Phone,Low,Admin
TS-067,V00082,Firefox,Desktop,Phone,High,Admin
TS-067,V00083,Firefox,Desktop,Phone,Medium,Admin
TS-067,V00084,Firefox,Desktop,Phone,Low,Admin
TS-067,V00085,Firefox,Mobile,Phone,High,Admin
TS-067,V00086,Firefox,Mobile,Phone,Medium,Admin
TS-067,V00087,Firefox,Mobile,Phone,Low,Admin
TS-067,V00088,Firefox,Tablet,Phone,High,Admin
TS-067,V00089,Firefox,Tablet,Phone,Medium,Admin
TS-067,V00090,Firefox,Tablet,Phone,Low,Admin
TS-067,V00091,Safari,Desktop,Phone,High,Admin
TS-067,V00092,Safari,Desktop,Phone,Medium,Admin
TS-067,V00093,Safari,Desktop,Phone,Low,Admin
TS-067,V00094,Safari,Mobile,Phone,High,Admin
TS-067,V00095,Safari,Mobile,Phone,Medium,Admin
TS-067,V00096,Safari,Mobile,Phone,Low,Admin
TS-067,V00097,Safari,Tablet,Phone,High,Admin
TS-067,V00098,Safari,Tablet,Phone,Medium,Admin
TS-067,V00099,Safari,Tablet,Phone,Low,Admin
TS-067,V00100,Edge,Desktop,Phone,High,Admin
TS-067,V00101,Edge,Desktop,Phone,Medium,Admin
TS-067,V00102,Edge,Desktop,Phone,Low,Admin
TS-067,V00103,Edge,Mobile,Phone,High,Admin
TS-067,V00104,Edge,Mobile,Phone,Medium,Admin
TS-067,V00105,Edge,Mobile,Phone,Low,Admin
TS-067,V00106,Edge,Tablet,Phone,High,Admin
TS-067,V00107,Edge,Tablet,Phone,Medium,Admin
TS-067,V00108,Edge,Tablet,Phone,Low,Admin
TS-067,V00109,Chrome,Desktop,Multiple,High,Admin
TS-067,V00110,Chrome,Desktop,Multiple,Medium,Admin
TS-067,V00111,Chrome,Desktop,Multiple,Low,Admin
TS-067,V00112,Chrome,Mobile,Multiple,High,Admin
TS-067,V00113,Chrome,Mobile,Multiple,Medium,Admin
TS-067,V00114,Chrome,Mobile,Multiple,Low,Admin
TS-067,V00115,Chrome,Tablet,Multiple,High,Admin
TS-067,V00116,Chrome,Tablet,Multiple,Medium,Admin
TS-067,V00117,Chrome,Tablet,Multiple,Low,Admin
TS-067,V00118,Firefox,Desktop,Multiple,High,Admin
TS-067,V00119,Firefox,Desktop,Multiple,Medium,Admin
TS-067,V00120,Firefox,Desktop,Multiple,Low,Admin
TS-067,V00121,Firefox,Mobile,Multiple,High,Admin
TS-067,V00122,Firefox,Mobile,Multiple,Medium,Admin
TS-067,V00123,Firefox,Mobile,Multiple,Low,Admin
TS-067,V00124,Firefox,Tablet,Multiple,High,Admin
TS-067,V00125,Firefox,Tablet,Multiple,Medium,Admin
TS-067,V00126,Firefox,Tablet,Multiple,Low,Admin
TS-067,V00127,Safari,Desktop,Multiple,High,Admin
TS-067,V00128,Safari,Desktop,Multiple,Medium,Admin
TS-067,V00129,Safari,Desktop,Multiple,Low,Admin
TS-067,V00130,Safari,Mobile,Multiple,High,Admin
TS-067,V00131,Safari,Mobile,Multiple,Medium,Admin
TS-067,V00132,Safari,Mobile,Multiple,Low,Admin
TS-067,V00133,Safari,Tablet,Multiple,High,Admin
TS-067,V00134,Safari,Tablet,Multiple,Medium,Admin
TS-067,V00135,Safari,Tablet,Multiple,Low,Admin
TS-067,V00136,Edge,Desktop,Multiple,High,Admin
TS-067,V00137,Edge,Desktop,Multiple,Medium,Admin
TS-067,V00138,Edge,Desktop,Multiple,Low,Admin
TS-067,V00139,Edge,Mobile,Multiple,High,Admin
TS-067,V00140,Edge,Mobile,Multiple,Medium,Admin
TS-067,V00141,Edge,Mobile,Multiple,Low,Admin
TS-067,V00142,Edge,Tablet,Multiple,High,Admin
TS-067,V00143,Edge,Tablet,Multiple,Medium,Admin
TS-067,V00144,Edge,Tablet,Multiple,Low,Admin
