Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,User_Type
TS-029,V00047,Firefox,Previously_Had_Items,Desktop,Medium,Buyer
TS-029,V00048,Firefox,Previously_Had_Items,Desktop,Low,Buyer
TS-029,V00049,Firefox,Previously_Had_Items,Mobile,High,Buyer
TS-029,V00050,Firefox,Previously_Had_Items,Mobile,Medium,Buyer
TS-029,V00051,Firefox,Previously_Had_Items,Mobile,Low,Buyer
TS-029,V00052,Firefox,Previously_Had_Items,Tablet,High,Buyer
TS-029,V00053,Firefox,Previously_Had_Items,Tablet,Medium,Buyer
TS-029,V00054,Firefox,Previously_Had_Items,Tablet,Low,Buyer
TS-029,V00055,Safari,Previously_Had_Items,Desktop,High,Buyer
TS-029,V00056,Safari,Previously_Had_Items,Desktop,Medium,Buyer
TS-029,V00057,Safari,Previously_Had_Items,Desktop,Low,Buyer
TS-029,V00058,Safari,Previously_Had_Items,Mobile,High,Buyer
TS-029,V00059,Safari,Previously_Had_Items,Mobile,Medium,Buyer
TS-029,V00060,Safari,Previously_Had_Items,Mobile,Low,Buyer
TS-029,V00061,Safari,Previously_Had_Items,Tablet,High,Buyer
TS-029,V00062,Safari,Previously_Had_Items,Tablet,Medium,Buyer
TS-029,V00063,Safari,Previously_Had_Items,Tablet,Low,Buyer
TS-029,V00064,Edge,Previously_Had_Items,Desktop,High,Buyer
TS-029,V00065,Edge,Previously_Had_Items,Desktop,Medium,Buyer
TS-029,V00066,Edge,Previously_Had_Items,Desktop,Low,Buyer
TS-029,V00067,Edge,Previously_Had_Items,Mobile,High,Buyer
TS-029,V00068,Edge,Previously_Had_Items,Mobile,Medium,Buyer
TS-029,V00069,Edge,Previously_Had_Items,Mobile,Low,Buyer
TS-029,V00070,Edge,Previously_Had_Items,Tablet,High,Buyer
TS-029,V00071,Edge,Previously_Had_Items,Tablet,Medium,Buyer
TS-029,V00072,Edge,Previously_Had_Items,Tablet,Low,Buyer
TS-029,V00073,Chrome,Items_Removed,Desktop,High,Buyer
TS-029,V00074,Chrome,Items_Removed,Desktop,Medium,Buyer
TS-029,V00075,Chrome,Items_Removed,Desktop,Low,Buyer
TS-029,V00076,Chrome,Items_Removed,Mobile,High,Buyer
TS-029,V00077,Chrome,Items_Removed,Mobile,Medium,Buyer
TS-029,V00078,Chrome,Items_Removed,Mobile,Low,Buyer
TS-029,V00079,Chrome,Items_Removed,Tablet,High,Buyer
TS-029,V00080,Chrome,Items_Removed,Tablet,Medium,Buyer
TS-029,V00081,Chrome,Items_Removed,Tablet,Low,Buyer
TS-029,V00082,Firefox,Items_Removed,Desktop,High,Buyer
TS-029,V00083,Firefox,Items_Removed,Desktop,Medium,Buyer
TS-029,V00084,Firefox,Items_Removed,Desktop,Low,Buyer
TS-029,V00085,Firefox,Items_Removed,Mobile,High,Buyer
TS-029,V00086,Firefox,Items_Removed,Mobile,Medium,Buyer
TS-029,V00087,Firefox,Items_Removed,Mobile,Low,Buyer
TS-029,V00088,Firefox,Items_Removed,Tablet,High,Buyer
TS-029,V00089,Firefox,Items_Removed,Tablet,Medium,Buyer
TS-029,V00090,Firefox,Items_Removed,Tablet,Low,Buyer
TS-029,V00091,Safari,Items_Removed,Desktop,High,Buyer
TS-029,V00092,Safari,Items_Removed,Desktop,Medium,Buyer
TS-029,V00093,Safari,Items_Removed,Desktop,Low,Buyer
TS-029,V00094,Safari,Items_Removed,Mobile,High,Buyer
TS-029,V00095,Safari,Items_Removed,Mobile,Medium,Buyer
TS-029,V00096,Safari,Items_Removed,Mobile,Low,Buyer
TS-029,V00097,Safari,Items_Removed,Tablet,High,Buyer
TS-029,V00098,Safari,Items_Removed,Tablet,Medium,Buyer
TS-029,V00099,Safari,Items_Removed,Tablet,Low,Buyer
TS-029,V00100,Edge,Items_Removed,Desktop,High,Buyer
TS-029,V00101,Edge,Items_Removed,Desktop,Medium,Buyer
TS-029,V00102,Edge,Items_Removed,Desktop,Low,Buyer
TS-029,V00103,Edge,Items_Removed,Mobile,High,Buyer
TS-029,V00104,Edge,Items_Removed,Mobile,Medium,Buyer
TS-029,V00105,Edge,Items_Removed,Mobile,Low,Buyer
TS-029,V00106,Edge,Items_Removed,Tablet,High,Buyer
TS-029,V00107,Edge,Items_Removed,Tablet,Medium,Buyer
TS-029,V00108,Edge,Items_Removed,Tablet,Low,Buyer
