Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Social_Platform,User_Type
TS-045,V00183,Chrome,Desktop,Low,Twitter,Buyer
TS-045,V00184,Chrome,Mobile,High,Twitter,Buyer
TS-045,V00185,Chrome,Mobile,Medium,Twitter,Buyer
TS-045,V00186,Chrome,Mobile,Low,Twitter,Buyer
TS-045,V00187,Chrome,Tablet,High,Twitter,Buyer
TS-045,V00188,Chrome,Tablet,Medium,Twitter,Buyer
TS-045,V00189,Chrome,Tablet,Low,Twitter,Buyer
TS-045,V00190,Firefox,Desktop,High,Twitter,Buyer
TS-045,V00191,Firefox,Desktop,Medium,Twitter,Buyer
TS-045,V00192,Firefox,Desktop,Low,Twitter,Buyer
TS-045,V00193,Firefox,Mobile,High,Twitter,Buyer
TS-045,V00194,Firefox,Mobile,Medium,Twitter,Buyer
TS-045,V00195,Firefox,Mobile,Low,Twitter,Buyer
TS-045,V00196,Firefox,Tablet,High,Twitter,Buyer
TS-045,V00197,Firefox,Tablet,Medium,Twitter,Buyer
TS-045,V00198,Firefox,Tablet,Low,Twitter,Buyer
TS-045,V00199,Safari,Desktop,High,Twitter,Buyer
TS-045,V00200,Safari,Desktop,Medium,Twitter,Buyer
TS-045,V00201,Safari,Desktop,Low,Twitter,Buyer
TS-045,V00202,Safari,Mobile,High,Twitter,Buyer
TS-045,V00203,Safari,Mobile,Medium,Twitter,Buyer
TS-045,V00204,Safari,Mobile,Low,Twitter,Buyer
TS-045,V00205,Safari,Tablet,High,Twitter,Buyer
TS-045,V00206,Safari,Tablet,Medium,Twitter,Buyer
TS-045,V00207,Safari,Tablet,Low,Twitter,Buyer
TS-045,V00208,Edge,Desktop,High,Twitter,Buyer
TS-045,V00209,Edge,Desktop,Medium,Twitter,Buyer
TS-045,V00210,Edge,Desktop,Low,Twitter,Buyer
TS-045,V00211,Edge,Mobile,High,Twitter,Buyer
TS-045,V00212,Edge,Mobile,Medium,Twitter,Buyer
TS-045,V00213,Edge,Mobile,Low,Twitter,Buyer
TS-045,V00214,Edge,Tablet,High,Twitter,Buyer
TS-045,V00215,Edge,Tablet,Medium,Twitter,Buyer
TS-045,V00216,Edge,Tablet,Low,Twitter,Buyer
TS-045,V00217,Chrome,Desktop,High,Pinterest,Buyer
TS-045,V00218,Chrome,Desktop,Medium,Pinterest,Buyer
TS-045,V00219,Chrome,Desktop,Low,Pinterest,Buyer
TS-045,V00220,Chrome,Mobile,High,Pinterest,Buyer
TS-045,V00221,Chrome,Mobile,Medium,Pinterest,Buyer
TS-045,V00222,Chrome,Mobile,Low,Pinterest,Buyer
TS-045,V00223,Chrome,Tablet,High,Pinterest,Buyer
TS-045,V00224,Chrome,Tablet,Medium,Pinterest,Buyer
TS-045,V00225,Chrome,Tablet,Low,Pinterest,Buyer
TS-045,V00226,Firefox,Desktop,High,Pinterest,Buyer
TS-045,V00227,Firefox,Desktop,Medium,Pinterest,Buyer
TS-045,V00228,Firefox,Desktop,Low,Pinterest,Buyer
TS-045,V00229,Firefox,Mobile,High,Pinterest,Buyer
TS-045,V00230,Firefox,Mobile,Medium,Pinterest,Buyer
TS-045,V00231,Firefox,Mobile,Low,Pinterest,Buyer
TS-045,V00232,Firefox,Tablet,High,Pinterest,Buyer
TS-045,V00233,Firefox,Tablet,Medium,Pinterest,Buyer
TS-045,V00234,Firefox,Tablet,Low,Pinterest,Buyer
TS-045,V00235,Safari,Desktop,High,Pinterest,Buyer
TS-045,V00236,Safari,Desktop,Medium,Pinterest,Buyer
TS-045,V00237,Safari,Desktop,Low,Pinterest,Buyer
TS-045,V00238,Safari,Mobile,High,Pinterest,Buyer
TS-045,V00239,Safari,Mobile,Medium,Pinterest,Buyer
TS-045,V00240,Safari,Mobile,Low,Pinterest,Buyer
TS-045,V00241,Safari,Tablet,High,Pinterest,Buyer
TS-045,V00242,Safari,Tablet,Medium,Pinterest,Buyer
TS-045,V00243,Safari,Tablet,Low,Pinterest,Buyer
TS-045,V00244,Edge,Desktop,High,Pinterest,Buyer
TS-045,V00245,Edge,Desktop,Medium,Pinterest,Buyer
TS-045,V00246,Edge,Desktop,Low,Pinterest,Buyer
TS-045,V00247,Edge,Mobile,High,Pinterest,Buyer
TS-045,V00248,Edge,Mobile,Medium,Pinterest,Buyer
TS-045,V00249,Edge,Mobile,Low,Pinterest,Buyer
TS-045,V00250,Edge,Tablet,High,Pinterest,Buyer
TS-045,V00251,Edge,Tablet,Medium,Pinterest,Buyer
TS-045,V00252,Edge,Tablet,Low,Pinterest,Buyer
TS-045,V00253,Chrome,Desktop,High,Instagram,Buyer
TS-045,V00254,Chrome,Desktop,Medium,Instagram,Buyer
TS-045,V00255,Chrome,Desktop,Low,Instagram,Buyer
TS-045,V00256,Chrome,Mobile,High,Instagram,Buyer
TS-045,V00257,Chrome,Mobile,Medium,Instagram,Buyer
TS-045,V00258,Chrome,Mobile,Low,Instagram,Buyer
TS-045,V00259,Chrome,Tablet,High,Instagram,Buyer
TS-045,V00260,Chrome,Tablet,Medium,Instagram,Buyer
TS-045,V00261,Chrome,Tablet,Low,Instagram,Buyer
TS-045,V00262,Firefox,Desktop,High,Instagram,Buyer
TS-045,V00263,Firefox,Desktop,Medium,Instagram,Buyer
TS-045,V00264,Firefox,Desktop,Low,Instagram,Buyer
TS-045,V00265,Firefox,Mobile,High,Instagram,Buyer
TS-045,V00266,Firefox,Mobile,Medium,Instagram,Buyer
TS-045,V00267,Firefox,Mobile,Low,Instagram,Buyer
TS-045,V00268,Firefox,Tablet,High,Instagram,Buyer
TS-045,V00269,Firefox,Tablet,Medium,Instagram,Buyer
TS-045,V00270,Firefox,Tablet,Low,Instagram,Buyer
TS-045,V00271,Safari,Desktop,High,Instagram,Buyer
TS-045,V00272,Safari,Desktop,Medium,Instagram,Buyer
TS-045,V00273,Safari,Desktop,Low,Instagram,Buyer
TS-045,V00274,Safari,Mobile,High,Instagram,Buyer
TS-045,V00275,Safari,Mobile,Medium,Instagram,Buyer
TS-045,V00276,Safari,Mobile,Low,Instagram,Buyer
TS-045,V00277,Safari,Tablet,High,Instagram,Buyer
TS-045,V00278,Safari,Tablet,Medium,Instagram,Buyer
TS-045,V00279,Safari,Tablet,Low,Instagram,Buyer
TS-045,V00280,Edge,Desktop,High,Instagram,Buyer
TS-045,V00281,Edge,Desktop,Medium,Instagram,Buyer
TS-045,V00282,Edge,Desktop,Low,Instagram,Buyer
TS-045,V00283,Edge,Mobile,High,Instagram,Buyer
TS-045,V00284,Edge,Mobile,Medium,Instagram,Buyer
TS-045,V00285,Edge,Mobile,Low,Instagram,Buyer
TS-045,V00286,Edge,Tablet,High,Instagram,Buyer
TS-045,V00287,Edge,Tablet,Medium,Instagram,Buyer
TS-045,V00288,Edge,Tablet,Low,Instagram,Buyer
