Scenario_ID,Variant_ID,Browser,Device,Email_State,Input_Validity,Network_Speed,User_Type
TS-004,V00077,Chrome,Mobile,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00078,Chrome,Mobile,Unverified_Account,Invalid,Low,Visitor
TS-004,V00079,Chrome,Tablet,Unverified_Account,Invalid,High,Visitor
TS-004,V00080,Chrome,Tablet,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00081,Chrome,Tablet,Unverified_Account,Invalid,Low,Visitor
TS-004,V00082,Firefox,Desktop,Unverified_Account,Invalid,High,Visitor
TS-004,V00083,Firefox,Desktop,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00084,Firefox,Desktop,Unverified_Account,Invalid,Low,Visitor
TS-004,V00085,Firefox,Mobile,Unverified_Account,Invalid,High,Visitor
TS-004,V00086,Firefox,Mobile,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00087,Firefox,Mobile,Unverified_Account,Invalid,Low,Visitor
TS-004,V00088,Firefox,Tablet,Unverified_Account,Invalid,High,Visitor
TS-004,V00089,Firefox,Tablet,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00090,Firefox,Tablet,Unverified_Account,Invalid,Low,Visitor
TS-004,V00091,Safari,Desktop,Unverified_Account,Invalid,High,Visitor
TS-004,V00092,Safari,Desktop,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00093,Safari,Desktop,Unverified_Account,Invalid,Low,Visitor
TS-004,V00094,Safari,Mobile,Unverified_Account,Invalid,High,Visitor
TS-004,V00095,Safari,Mobile,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00096,Safari,Mobile,Unverified_Account,Invalid,Low,Visitor
TS-004,V00097,Safari,Tablet,Unverified_Account,Invalid,High,Visitor
TS-004,V00098,Safari,Tablet,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00099,Safari,Tablet,Unverified_Account,Invalid,Low,Visitor
TS-004,V00100,Edge,Desktop,Unverified_Account,Invalid,High,Visitor
TS-004,V00101,Edge,Desktop,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00102,Edge,Desktop,Unverified_Account,Invalid,Low,Visitor
TS-004,V00103,Edge,Mobile,Unverified_Account,Invalid,High,Visitor
TS-004,V00104,Edge,Mobile,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00105,Edge,Mobile,Unverified_Account,Invalid,Low,Visitor
TS-004,V00106,Edge,Tablet,Unverified_Account,Invalid,High,Visitor
TS-004,V00107,Edge,Tablet,Unverified_Account,Invalid,Medium,Visitor
TS-004,V00108,Edge,Tablet,Unverified_Account,Invalid,Low,Visitor
