Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Product_State,Rating,User_Type
TS-047,V00029,Edge,Desktop,Medium,Purchased,1_Star,Buyer
TS-047,V00030,Edge,Desktop,Low,Purchased,1_Star,Buyer
TS-047,V00031,Edge,Mobile,High,Purchased,1_Star,Buyer
TS-047,V00032,Edge,Mobile,Medium,Purchased,1_Star,Buyer
TS-047,V00033,Edge,Mobile,Low,Purchased,1_Star,Buyer
TS-047,V00034,Edge,Tablet,High,Purchased,1_Star,Buyer
TS-047,V00035,Edge,Tablet,Medium,Purchased,1_Star,Buyer
TS-047,V00036,Edge,Tablet,Low,Purchased,1_Star,Buyer
TS-047,V00037,Chrome,Desktop,High,Purchased,2_Star,Buyer
TS-047,V00038,Chrome,Desktop,Medium,Purchased,2_Star,Buyer
TS-047,V00039,Chrome,Desktop,Low,Purchased,2_Star,Buyer
TS-047,V00040,Chrome,Mobile,High,Purchased,2_Star,Buyer
TS-047,V00041,Chrome,Mobile,Medium,Purchased,2_Star,Buyer
TS-047,V00042,Chrome,Mobile,Low,Purchased,2_Star,Buyer
TS-047,V00043,Chrome,Tablet,High,Purchased,2_Star,Buyer
TS-047,V00044,Chrome,Tablet,Medium,Purchased,2_Star,Buyer
TS-047,V00045,Chrome,Tablet,Low,Purchased,2_Star,Buyer
TS-047,V00046,Firefox,Desktop,High,Purchased,2_Star,Buyer
TS-047,V00047,Firefox,Desktop,Medium,Purchased,2_Star,Buyer
TS-047,V00048,Firefox,Desktop,Low,Purchased,2_Star,Buyer
TS-047,V00049,Firefox,Mobile,High,Purchased,2_Star,Buyer
TS-047,V00050,Firefox,Mobile,Medium,Purchased,2_Star,Buyer
TS-047,V00051,Firefox,Mobile,Low,Purchased,2_Star,Buyer
TS-047,V00052,Firefox,Tablet,High,Purchased,2_Star,Buyer
TS-047,V00053,Firefox,Tablet,Medium,Purchased,2_Star,Buyer
TS-047,V00054,Firefox,Tablet,Low,Purchased,2_Star,Buyer
TS-047,V00055,Safari,Desktop,High,Purchased,2_Star,Buyer
TS-047,V00056,Safari,Desktop,Medium,Purchased,2_Star,Buyer
TS-047,V00057,Safari,Desktop,Low,Purchased,2_Star,Buyer
TS-047,V00058,Safari,Mobile,High,Purchased,2_Star,Buyer
TS-047,V00059,Safari,Mobile,Medium,Purchased,2_Star,Buyer
TS-047,V00060,Safari,Mobile,Low,Purchased,2_Star,Buyer
TS-047,V00061,Safari,Tablet,High,Purchased,2_Star,Buyer
TS-047,V00062,Safari,Tablet,Medium,Purchased,2_Star,Buyer
TS-047,V00063,Safari,Tablet,Low,Purchased,2_Star,Buyer
TS-047,V00064,Edge,Desktop,High,Purchased,2_Star,Buyer
TS-047,V00065,Edge,Desktop,Medium,Purchased,2_Star,Buyer
TS-047,V00066,Edge,Desktop,Low,Purchased,2_Star,Buyer
TS-047,V00067,Edge,Mobile,High,Purchased,2_Star,Buyer
TS-047,V00068,Edge,Mobile,Medium,Purchased,2_Star,Buyer
TS-047,V00069,Edge,Mobile,Low,Purchased,2_Star,Buyer
TS-047,V00070,Edge,Tablet,High,Purchased,2_Star,Buyer
TS-047,V00071,Edge,Tablet,Medium,Purchased,2_Star,Buyer
TS-047,V00072,Edge,Tablet,Low,Purchased,2_Star,Buyer
TS-047,V00073,Chrome,Desktop,High,Purchased,3_Star,Buyer
TS-047,V00074,Chrome,Desktop,Medium,Purchased,3_Star,Buyer
TS-047,V00075,Chrome,Desktop,Low,Purchased,3_Star,Buyer
TS-047,V00076,Chrome,Mobile,High,Purchased,3_Star,Buyer
TS-047,V00077,Chrome,Mobile,Medium,Purchased,3_Star,Buyer
TS-047,V00078,Chrome,Mobile,Low,Purchased,3_Star,Buyer
TS-047,V00079,Chrome,Tablet,High,Purchased,3_Star,Buyer
TS-047,V00080,Chrome,Tablet,Medium,Purchased,3_Star,Buyer
TS-047,V00081,Chrome,Tablet,Low,Purchased,3_Star,Buyer
TS-047,V00082,Firefox,Desktop,High,Purchased,3_Star,Buyer
TS-047,V00083,Firefox,Desktop,Medium,Purchased,3_Star,Buyer
TS-047,V00084,Firefox,Desktop,Low,Purchased,3_Star,Buyer
TS-047,V00085,Firefox,Mobile,High,Purchased,3_Star,Buyer
TS-047,V00086,Firefox,Mobile,Medium,Purchased,3_Star,Buyer
TS-047,V00087,Firefox,Mobile,Low,Purchased,3_Star,Buyer
TS-047,V00088,Firefox,Tablet,High,Purchased,3_Star,Buyer
TS-047,V00089,Firefox,Tablet,Medium,Purchased,3_Star,Buyer
TS-047,V00090,Firefox,Tablet,Low,Purchased,3_Star,Buyer
TS-047,V00091,Safari,Desktop,High,Purchased,3_Star,Buyer
TS-047,V00092,Safari,Desktop,Medium,Purchased,3_Star,Buyer
TS-047,V00093,Safari,Desktop,Low,Purchased,3_Star,Buyer
TS-047,V00094,Safari,Mobile,High,Purchased,3_Star,Buyer
TS-047,V00095,Safari,Mobile,Medium,Purchased,3_Star,Buyer
TS-047,V00096,Safari,Mobile,Low,Purchased,3_Star,Buyer
TS-047,V00097,Safari,Tablet,High,Purchased,3_Star,Buyer
TS-047,V00098,Safari,Tablet,Medium,Purchased,3_Star,Buyer
TS-047,V00099,Safari,Tablet,Low,Purchased,3_Star,Buyer
TS-047,V00100,Edge,Desktop,High,Purchased,3_Star,Buyer
TS-047,V00101,Edge,Desktop,Medium,Purchased,3_Star,Buyer
TS-047,V00102,Edge,Desktop,Low,Purchased,3_Star,Buyer
TS-047,V00103,Edge,Mobile,High,Purchased,3_Star,Buyer
TS-047,V00104,Edge,Mobile,Medium,Purchased,3_Star,Buyer
TS-047,V00105,Edge,Mobile,Low,Purchased,3_Star,Buyer
TS-047,V00106,Edge,Tablet,High,Purchased,3_Star,Buyer
TS-047,V00107,Edge,Tablet,Medium,Purchased,3_Star,Buyer
TS-047,V00108,Edge,Tablet,Low,Purchased,3_Star,Buyer
TS-047,V00109,Chrome,Desktop,High,Purchased,4_Star,Buyer
TS-047,V00110,Chrome,Desktop,Medium,Purchased,4_Star,Buyer
TS-047,V00111,Chrome,Desktop,Low,Purchased,4_Star,Buyer
TS-047,V00112,Chrome,Mobile,High,Purchased,4_Star,Buyer
TS-047,V00113,Chrome,Mobile,Medium,Purchased,4_Star,Buyer
TS-047,V00114,Chrome,Mobile,Low,Purchased,4_Star,Buyer
TS-047,V00115,Chrome,Tablet,High,Purchased,4_Star,Buyer
TS-047,V00116,Chrome,Tablet,Medium,Purchased,4_Star,Buyer
TS-047,V00117,Chrome,Tablet,Low,Purchased,4_Star,Buyer
TS-047,V00118,Firefox,Desktop,High,Purchased,4_Star,Buyer
TS-047,V00119,Firefox,Desktop,Medium,Purchased,4_Star,Buyer
TS-047,V00120,Firefox,Desktop,Low,Purchased,4_Star,Buyer
TS-047,V00121,Firefox,Mobile,High,Purchased,4_Star,Buyer
TS-047,V00122,Firefox,Mobile,Medium,Purchased,4_Star,Buyer
TS-047,V00123,Firefox,Mobile,Low,Purchased,4_Star,Buyer
TS-047,V00124,Firefox,Tablet,High,Purchased,4_Star,Buyer
TS-047,V00125,Firefox,Tablet,Medium,Purchased,4_Star,Buyer
TS-047,V00126,Firefox,Tablet,Low,Purchased,4_Star,Buyer
TS-047,V00127,Safari,Desktop,High,Purchased,4_Star,Buyer
TS-047,V00128,Safari,Desktop,Medium,Purchased,4_Star,Buyer
TS-047,V00129,Safari,Desktop,Low,Purchased,4_Star,Buyer
TS-047,V00130,Safari,Mobile,High,Purchased,4_Star,Buyer
TS-047,V00131,Safari,Mobile,Medium,Purchased,4_Star,Buyer
TS-047,V00132,Safari,Mobile,Low,Purchased,4_Star,Buyer
TS-047,V00133,Safari,Tablet,High,Purchased,4_Star,Buyer
TS-047,V00134,Safari,Tablet,Medium,Purchased,4_Star,Buyer
TS-047,V00135,Safari,Tablet,Low,Purchased,4_Star,Buyer
TS-047,V00136,Edge,Desktop,High,Purchased,4_Star,Buyer
TS-047,V00137,Edge,Desktop,Medium,Purchased,4_Star,Buyer
TS-047,V00138,Edge,Desktop,Low,Purchased,4_Star,Buyer
TS-047,V00139,Edge,Mobile,High,Purchased,4_Star,Buyer
TS-047,V00140,Edge,Mobile,Medium,Purchased,4_Star,Buyer
TS-047,V00141,Edge,Mobile,Low,Purchased,4_Star,Buyer
TS-047,V00142,Edge,Tablet,High,Purchased,4_Star,Buyer
TS-047,V00143,Edge,Tablet,Medium,Purchased,4_Star,Buyer
TS-047,V00144,Edge,Tablet,Low,Purchased,4_Star,Buyer
TS-047,V00145,Chrome,Desktop,High,Purchased,5_Star,Buyer
TS-047,V00146,Chrome,Desktop,Medium,Purchased,5_Star,Buyer
TS-047,V00147,Chrome,Desktop,Low,Purchased,5_Star,Buyer
TS-047,V00148,Chrome,Mobile,High,Purchased,5_Star,Buyer
TS-047,V00149,Chrome,Mobile,Medium,Purchased,5_Star,Buyer
TS-047,V00150,Chrome,Mobile,Low,Purchased,5_Star,Buyer
TS-047,V00151,Chrome,Tablet,High,Purchased,5_Star,Buyer
TS-047,V00152,Chrome,Tablet,Medium,Purchased,5_Star,Buyer
TS-047,V00153,Chrome,Tablet,Low,Purchased,5_Star,Buyer
TS-047,V00154,Firefox,Desktop,High,Purchased,5_Star,Buyer
TS-047,V00155,Firefox,Desktop,Medium,Purchased,5_Star,Buyer
TS-047,V00156,Firefox,Desktop,Low,Purchased,5_Star,Buyer
TS-047,V00157,Firefox,Mobile,High,Purchased,5_Star,Buyer
TS-047,V00158,Firefox,Mobile,Medium,Purchased,5_Star,Buyer
TS-047,V00159,Firefox,Mobile,Low,Purchased,5_Star,Buyer
TS-047,V00160,Firefox,Tablet,High,Purchased,5_Star,Buyer
TS-047,V00161,Firefox,Tablet,Medium,Purchased,5_Star,Buyer
TS-047,V00162,Firefox,Tablet,Low,Purchased,5_Star,Buyer
TS-047,V00163,Safari,Desktop,High,Purchased,5_Star,Buyer
TS-047,V00164,Safari,Desktop,Medium,Purchased,5_Star,Buyer
TS-047,V00165,Safari,Desktop,Low,Purchased,5_Star,Buyer
TS-047,V00166,Safari,Mobile,High,Purchased,5_Star,Buyer
TS-047,V00167,Safari,Mobile,Medium,Purchased,5_Star,Buyer
TS-047,V00168,Safari,Mobile,Low,Purchased,5_Star,Buyer
TS-047,V00169,Safari,Tablet,High,Purchased,5_Star,Buyer
TS-047,V00170,Safari,Tablet,Medium,Purchased,5_Star,Buyer
TS-047,V00171,Safari,Tablet,Low,Purchased,5_Star,Buyer
TS-047,V00172,Edge,Desktop,High,Purchased,5_Star,Buyer
TS-047,V00173,Edge,Desktop,Medium,Purchased,5_Star,Buyer
TS-047,V00174,Edge,Desktop,Low,Purchased,5_Star,Buyer
TS-047,V00175,Edge,Mobile,High,Purchased,5_Star,Buyer
TS-047,V00176,Edge,Mobile,Medium,Purchased,5_Star,Buyer
TS-047,V00177,Edge,Mobile,Low,Purchased,5_Star,Buyer
TS-047,V00178,Edge,Tablet,High,Purchased,5_Star,Buyer
TS-047,V00179,Edge,Tablet,Medium,Purchased,5_Star,Buyer
TS-047,V00180,Edge,Tablet,Low,Purchased,5_Star,Buyer
