Scenario_ID,Variant_ID,Browser,Cart_State,Device,Network_Speed,Product_Variation,Quantity,User_Type
TS-023,V00060,Safari,Has_Items,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00061,Safari,Has_Items,Tablet,High,No_Variation,Single,Buyer
TS-023,V00062,Safari,Has_Items,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00063,Safari,Has_Items,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00064,Edge,Has_Items,Desktop,High,No_Variation,Single,Buyer
TS-023,V00065,Edge,Has_Items,Desktop,Medium,No_Variation,Single,Buyer
TS-023,V00066,Edge,Has_Items,Desktop,Low,No_Variation,Single,Buyer
TS-023,V00067,Edge,Has_Items,Mobile,High,No_Variation,Single,Buyer
TS-023,V00068,Edge,Has_Items,Mobile,Medium,No_Variation,Single,Buyer
TS-023,V00069,Edge,Has_Items,Mobile,Low,No_Variation,Single,Buyer
TS-023,V00070,Edge,Has_Items,Tablet,High,No_Variation,Single,Buyer
TS-023,V00071,Edge,Has_Items,Tablet,Medium,No_Variation,Single,Buyer
TS-023,V00072,Edge,Has_Items,Tablet,Low,No_Variation,Single,Buyer
TS-023,V00073,Chrome,Empty,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00074,Chrome,Empty,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00075,Chrome,Empty,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00076,Chrome,Empty,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00077,Chrome,Empty,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00078,Chrome,Empty,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00079,Chrome,Empty,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00080,Chrome,Empty,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00081,Chrome,Empty,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00082,Firefox,Empty,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00083,Firefox,Empty,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00084,Firefox,Empty,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00085,Firefox,Empty,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00086,Firefox,Empty,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00087,Firefox,Empty,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00088,Firefox,Empty,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00089,Firefox,Empty,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00090,Firefox,Empty,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00091,Safari,Empty,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00092,Safari,Empty,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00093,Safari,Empty,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00094,Safari,Empty,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00095,Safari,Empty,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00096,Safari,Empty,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00097,Safari,Empty,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00098,Safari,Empty,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00099,Safari,Empty,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00100,Edge,Empty,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00101,Edge,Empty,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00102,Edge,Empty,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00103,Edge,Empty,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00104,Edge,Empty,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00105,Edge,Empty,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00106,Edge,Empty,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00107,Edge,Empty,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00108,Edge,Empty,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00109,Chrome,Has_Items,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00110,Chrome,Has_Items,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00111,Chrome,Has_Items,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00112,Chrome,Has_Items,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00113,Chrome,Has_Items,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00114,Chrome,Has_Items,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00115,Chrome,Has_Items,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00116,Chrome,Has_Items,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00117,Chrome,Has_Items,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00118,Firefox,Has_Items,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00119,Firefox,Has_Items,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00120,Firefox,Has_Items,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00121,Firefox,Has_Items,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00122,Firefox,Has_Items,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00123,Firefox,Has_Items,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00124,Firefox,Has_Items,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00125,Firefox,Has_Items,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00126,Firefox,Has_Items,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00127,Safari,Has_Items,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00128,Safari,Has_Items,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00129,Safari,Has_Items,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00130,Safari,Has_Items,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00131,Safari,Has_Items,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00132,Safari,Has_Items,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00133,Safari,Has_Items,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00134,Safari,Has_Items,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00135,Safari,Has_Items,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00136,Edge,Has_Items,Desktop,High,No_Variation,Multiple,Buyer
TS-023,V00137,Edge,Has_Items,Desktop,Medium,No_Variation,Multiple,Buyer
TS-023,V00138,Edge,Has_Items,Desktop,Low,No_Variation,Multiple,Buyer
TS-023,V00139,Edge,Has_Items,Mobile,High,No_Variation,Multiple,Buyer
TS-023,V00140,Edge,Has_Items,Mobile,Medium,No_Variation,Multiple,Buyer
TS-023,V00141,Edge,Has_Items,Mobile,Low,No_Variation,Multiple,Buyer
TS-023,V00142,Edge,Has_Items,Tablet,High,No_Variation,Multiple,Buyer
TS-023,V00143,Edge,Has_Items,Tablet,Medium,No_Variation,Multiple,Buyer
TS-023,V00144,Edge,Has_Items,Tablet,Low,No_Variation,Multiple,Buyer
TS-023,V00145,Chrome,Empty,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00146,Chrome,Empty,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00147,Chrome,Empty,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00148,Chrome,Empty,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00149,Chrome,Empty,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00150,Chrome,Empty,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00151,Chrome,Empty,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00152,Chrome,Empty,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00153,Chrome,Empty,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00154,Firefox,Empty,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00155,Firefox,Empty,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00156,Firefox,Empty,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00157,Firefox,Empty,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00158,Firefox,Empty,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00159,Firefox,Empty,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00160,Firefox,Empty,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00161,Firefox,Empty,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00162,Firefox,Empty,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00163,Safari,Empty,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00164,Safari,Empty,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00165,Safari,Empty,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00166,Safari,Empty,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00167,Safari,Empty,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00168,Safari,Empty,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00169,Safari,Empty,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00170,Safari,Empty,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00171,Safari,Empty,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00172,Edge,Empty,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00173,Edge,Empty,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00174,Edge,Empty,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00175,Edge,Empty,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00176,Edge,Empty,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00177,Edge,Empty,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00178,Edge,Empty,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00179,Edge,Empty,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00180,Edge,Empty,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00181,Chrome,Has_Items,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00182,Chrome,Has_Items,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00183,Chrome,Has_Items,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00184,Chrome,Has_Items,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00185,Chrome,Has_Items,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00186,Chrome,Has_Items,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00187,Chrome,Has_Items,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00188,Chrome,Has_Items,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00189,Chrome,Has_Items,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00190,Firefox,Has_Items,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00191,Firefox,Has_Items,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00192,Firefox,Has_Items,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00193,Firefox,Has_Items,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00194,Firefox,Has_Items,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00195,Firefox,Has_Items,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00196,Firefox,Has_Items,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00197,Firefox,Has_Items,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00198,Firefox,Has_Items,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00199,Safari,Has_Items,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00200,Safari,Has_Items,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00201,Safari,Has_Items,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00202,Safari,Has_Items,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00203,Safari,Has_Items,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00204,Safari,Has_Items,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00205,Safari,Has_Items,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00206,Safari,Has_Items,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00207,Safari,Has_Items,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00208,Edge,Has_Items,Desktop,High,Size_Selected,Single,Buyer
TS-023,V00209,Edge,Has_Items,Desktop,Medium,Size_Selected,Single,Buyer
TS-023,V00210,Edge,Has_Items,Desktop,Low,Size_Selected,Single,Buyer
TS-023,V00211,Edge,Has_Items,Mobile,High,Size_Selected,Single,Buyer
TS-023,V00212,Edge,Has_Items,Mobile,Medium,Size_Selected,Single,Buyer
TS-023,V00213,Edge,Has_Items,Mobile,Low,Size_Selected,Single,Buyer
TS-023,V00214,Edge,Has_Items,Tablet,High,Size_Selected,Single,Buyer
TS-023,V00215,Edge,Has_Items,Tablet,Medium,Size_Selected,Single,Buyer
TS-023,V00216,Edge,Has_Items,Tablet,Low,Size_Selected,Single,Buyer
TS-023,V00217,Chrome,Empty,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00218,Chrome,Empty,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00219,Chrome,Empty,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00220,Chrome,Empty,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00221,Chrome,Empty,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00222,Chrome,Empty,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00223,Chrome,Empty,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00224,Chrome,Empty,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00225,Chrome,Empty,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00226,Firefox,Empty,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00227,Firefox,Empty,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00228,Firefox,Empty,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00229,Firefox,Empty,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00230,Firefox,Empty,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00231,Firefox,Empty,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00232,Firefox,Empty,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00233,Firefox,Empty,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00234,Firefox,Empty,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00235,Safari,Empty,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00236,Safari,Empty,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00237,Safari,Empty,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00238,Safari,Empty,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00239,Safari,Empty,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00240,Safari,Empty,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00241,Safari,Empty,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00242,Safari,Empty,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00243,Safari,Empty,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00244,Edge,Empty,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00245,Edge,Empty,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00246,Edge,Empty,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00247,Edge,Empty,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00248,Edge,Empty,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00249,Edge,Empty,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00250,Edge,Empty,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00251,Edge,Empty,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00252,Edge,Empty,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00253,Chrome,Has_Items,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00254,Chrome,Has_Items,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00255,Chrome,Has_Items,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00256,Chrome,Has_Items,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00257,Chrome,Has_Items,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00258,Chrome,Has_Items,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00259,Chrome,Has_Items,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00260,Chrome,Has_Items,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00261,Chrome,Has_Items,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00262,Firefox,Has_Items,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00263,Firefox,Has_Items,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00264,Firefox,Has_Items,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00265,Firefox,Has_Items,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00266,Firefox,Has_Items,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00267,Firefox,Has_Items,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00268,Firefox,Has_Items,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00269,Firefox,Has_Items,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00270,Firefox,Has_Items,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00271,Safari,Has_Items,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00272,Safari,Has_Items,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00273,Safari,Has_Items,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00274,Safari,Has_Items,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00275,Safari,Has_Items,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00276,Safari,Has_Items,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00277,Safari,Has_Items,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00278,Safari,Has_Items,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00279,Safari,Has_Items,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00280,Edge,Has_Items,Desktop,High,Size_Selected,Multiple,Buyer
TS-023,V00281,Edge,Has_Items,Desktop,Medium,Size_Selected,Multiple,Buyer
TS-023,V00282,Edge,Has_Items,Desktop,Low,Size_Selected,Multiple,Buyer
TS-023,V00283,Edge,Has_Items,Mobile,High,Size_Selected,Multiple,Buyer
TS-023,V00284,Edge,Has_Items,Mobile,Medium,Size_Selected,Multiple,Buyer
TS-023,V00285,Edge,Has_Items,Mobile,Low,Size_Selected,Multiple,Buyer
TS-023,V00286,Edge,Has_Items,Tablet,High,Size_Selected,Multiple,Buyer
TS-023,V00287,Edge,Has_Items,Tablet,Medium,Size_Selected,Multiple,Buyer
TS-023,V00288,Edge,Has_Items,Tablet,Low,Size_Selected,Multiple,Buyer
TS-023,V00289,Chrome,Empty,Desktop,High,Color_Selected,Single,Buyer
TS-023,V00290,Chrome,Empty,Desktop,Medium,Color_Selected,Single,Buyer
TS-023,V00291,Chrome,Empty,Desktop,Low,Color_Selected,Single,Buyer
TS-023,V00292,Chrome,Empty,Mobile,High,Color_Selected,Single,Buyer
TS-023,V00293,Chrome,Empty,Mobile,Medium,Color_Selected,Single,Buyer
TS-023,V00294,Chrome,Empty,Mobile,Low,Color_Selected,Single,Buyer
TS-023,V00295,Chrome,Empty,Tablet,High,Color_Selected,Single,Buyer
TS-023,V00296,Chrome,Empty,Tablet,Medium,Color_Selected,Single,Buyer
TS-023,V00297,Chrome,Empty,Tablet,Low,Color_Selected,Single,Buyer
TS-023,V00298,Firefox,Empty,Desktop,High,Color_Selected,Single,Buyer
TS-023,V00299,Firefox,Empty,Desktop,Medium,Color_Selected,Single,Buyer
TS-023,V00300,Firefox,Empty,Desktop,Low,Color_Selected,Single,Buyer
TS-023,V00301,Firefox,Empty,Mobile,High,Color_Selected,Single,Buyer
TS-023,V00302,Firefox,Empty,Mobile,Medium,Color_Selected,Single,Buyer
TS-023,V00303,Firefox,Empty,Mobile,Low,Color_Selected,Single,Buyer
TS-023,V00304,Firefox,Empty,Tablet,High,Color_Selected,Single,Buyer
TS-023,V00305,Firefox,Empty,Tablet,Medium,Color_Selected,Single,Buyer
TS-023,V00306,Firefox,Empty,Tablet,Low,Color_Selected,Single,Buyer
TS-023,V00307,Safari,Empty,Desktop,High,Color_Selected,Single,Buyer
TS-023,V00308,Safari,Empty,Desktop,Medium,Color_Selected,Single,Buyer
TS-023,V00309,Safari,Empty,Desktop,Low,Color_Selected,Single,Buyer
TS-023,V00310,Safari,Empty,Mobile,High,Color_Selected,Single,Buyer
TS-023,V00311,Safari,Empty,Mobile,Medium,Color_Selected,Single,Buyer
TS-023,V00312,Safari,Empty,Mobile,Low,Color_Selected,Single,Buyer
TS-023,V00313,Safari,Empty,Tablet,High,Color_Selected,Single,Buyer
TS-023,V00314,Safari,Empty,Tablet,Medium,Color_Selected,Single,Buyer
TS-023,V00315,Safari,Empty,Tablet,Low,Color_Selected,Single,Buyer
TS-023,V00316,Edge,Empty,Desktop,High,Color_Selected,Single,Buyer
TS-023,V00317,Edge,Empty,Desktop,Medium,Color_Selected,Single,Buyer
TS-023,V00318,Edge,Empty,Desktop,Low,Color_Selected,Single,Buyer
TS-023,V00319,Edge,Empty,Mobile,High,Color_Selected,Single,Buyer
TS-023,V00320,Edge,Empty,Mobile,Medium,Color_Selected,Single,Buyer
TS-023,V00321,Edge,Empty,Mobile,Low,Color_Selected,Single,Buyer
TS-023,V00322,Edge,Empty,Tablet,High,Color_Selected,Single,Buyer
TS-023,V00323,Edge,Empty,Tablet,Medium,Color_Selected,Single,Buyer
TS-023,V00324,Edge,Empty,Tablet,Low,Color_Selected,Single,Buyer
TS-023,V00325,Chrome,Has_Items,Desktop,High,Color_Selected,Single,Buyer
TS-023,V00326,Chrome,Has_Items,Desktop,Medium,Color_Selected,Single,Buyer
TS-023,V00327,Chrome,Has_Items,Desktop,Low,Color_Selected,Single,Buyer
TS-023,V00328,Chrome,Has_Items,Mobile,High,Color_Selected,Single,Buyer
TS-023,V00329,Chrome,Has_Items,Mobile,Medium,Color_Selected,Single,Buyer
TS-023,V00330,Chrome,Has_Items,Mobile,Low,Color_Selected,Single,Buyer
TS-023,V00331,Chrome,Has_Items,Tablet,High,Color_Selected,Single,Buyer
